Beds,Bath,Sqft,Price,Address,Province,Region
,,,27500.0,5469 HIGHWAY 1 ,NS,Atlantic region
,,,275000.0,2780 Hwy 340 ,NS,Atlantic region
,,,59900.0,HWY 8 & Fisher Lake Rd ,NS,Atlantic region
,,,69900.0,67 Osprey Ridge Road ,NS,Atlantic region
,,2378.0,499000.0,474 Harbour Acres ,NS,Atlantic region
,,,325000.0,Lot - St. Catherine's River Rd. ,NS,Atlantic region
,,,175000.0,1514 Eastern Shore Rd. ,NS,Atlantic region
,,,84900.0,68 Osprey Ridge Road ,NS,Atlantic region
,,,69000.0,"62 Lake Doucette  Road, Lake Doucette ",NS,Atlantic region
,,,54900.0,Lot 22 Fisher Lake Road ,NS,Atlantic region
,,,255000.0,"197 CJA Road, Concession ",NS,Atlantic region
,,,375000.0,112 Brooklyn Shore Rd. ,NS,Atlantic region
,,,115000.0,Lot 27 Wilderness Dr ,NS,Atlantic region
,,,299000.0,186 Mehlman Rd. ,NS,Atlantic region
3.0,,1072.0,89900.0,53 Mountain View Drive ,NS,Atlantic region
,,,60000.0,163 Parker Mountain Road ,NS,Atlantic region
,,1955.0,169900.0,74 Myra Road ,NS,Atlantic region
1.0,,240.0,100000.0,6 Champlain Road ,NS,Atlantic region
,,3788.0,1199900.0,1225 Webster Terrace ,NS,Atlantic region
4.0,,742.0,60000.0,"4322 Hwy #3, Atwood's Brook 3",NS,Atlantic region
,,320.0,49900.0,1415 McLeans Lake Road ,NS,Atlantic region
,,1202.0,59900.0,3351 Hwy #3|Lockeport ,NS,Atlantic region
2.0,,,275000.0,2780 Hwy 340 ,NS,Atlantic region
,,2016.0,129900.0,3821 White Hill Road ,NS,Atlantic region
,,1004.0,138000.0,7 PEPPETT Street ,NS,Atlantic region
,,1299.0,69000.0,62 Lake Doucette Road ,NS,Atlantic region
,,3400.0,149900.0,32 R.Grant Road ,NS,Atlantic region
5.0,,1748.0,750000.0,Rous Island ,NS,Atlantic region
3.0,,1390.0,125000.0,14144 Highway 1 ,NS,Atlantic region
,,,29900.0,SE-23 Marbern Street ,NS,Atlantic region
,,2374.0,499000.0,474 HARBOUR ACRES Road ,NS,Atlantic region
,,,269900.0,6666 Hwy 3 ,NS,Atlantic region
,,,215000.0,1000 Shore Rd. ,NS,Atlantic region
,,,395000.0,49 School St. ,NS,Atlantic region
,,,234900.0,15100 Cabot Trail Highway ,NS,Atlantic region
3.0,,2125.0,259000.0,470 Patrice Road ,NS,Atlantic region
,,,57000.0,Gallant Lane - Lots  31 & 32 ,PE,Atlantic region
,,,66500.0,Highland Vista Dr ,PE,Atlantic region
2.0,,704.0,189000.0,79 Unknown Rd 62135 ,PE,Atlantic region
,,,99900.0,Lot Splendid View Dr ,PE,Atlantic region
,,1646.0,349000.0,4153 Cape Bear Rd ,PE,Atlantic region
,,,49900.0,Garden Shore Rd and Sunset Cre. West Cove Head ,PE,Atlantic region
,,1646.0,349000.0,4153 Cape Bear Road ,PE,Atlantic region
,,,1040000.0,Lot Kingston Rd ,PE,Atlantic region
,,,30000.0,5 Hopeton Road ,PE,Atlantic region
,,,449000.0,258 Line Road ,PE,Atlantic region
,,,128750.0,102 River Road ,PE,Atlantic region
,,,32000.0,Mt Stewart Rd ,PE,Atlantic region
,,,47400.0,Gallant Lane - Lot #6 ,PE,Atlantic region
,,,52900.0,Lot 8 Sandy Cove Road ,PE,Atlantic region
,,,159900.0,387 Duvar Rd - Rte 146 ,PE,Atlantic region
1.0,,650.0,299900.0,424 McCourt Road ,PE,Atlantic region
,,,52900.0,Lot 8 Sandy Cove Road ,PE,Atlantic region
,,,250000.0,92 Lecky Road|Rte 164,PE,Atlantic region
,,2980.0,80000.0,32 Birch Point Road ,PE,Atlantic region
,,,159900.0,387 Duvar Rd - Rte 146 ,PE,Atlantic region
,,,179900.0,2921 rte 19 Rocky Point ,PE,Atlantic region
,,,49900.0,Lot 42 Sunset Crescent ,PE,Atlantic region
,,,49900.0,Lot 42 Sunset Crescent ,PE,Atlantic region
,,,249900.0,"32 Louis Sud  Néguac, E9G 1K7 ",NB,Atlantic region
,,1556.0,399000.0,207 Morris Rd ,NB,Atlantic region
,,1152.0,349900.0,"24 Cedar Ridge Rd, Blackville, E9B 0C7 ",NB,Atlantic region
,,,259900.0,"5114 Route 108 Municipality:\tMillerton, E1V 7K5 ",NB,Atlantic region
,,400.0,94900.0,Lot & Camp Route 126 ,NB,Atlantic region
,,,59900.0,120 Hectres (296 acres) ,NB,Atlantic region
,,2.0,159900.0,3205 Route 108 ,NB,Atlantic region
,,,119900.0,"Acerage off of O""Keefe Rd ",NB,Atlantic region
,,,29995.0,"Johnson Road; Renous, New Brunswick ",NB,Atlantic region
,,900.0,269900.0,"3086 108 Hwy Renous, E9E 2M7 ",NB,Atlantic region
,,,30000.0,"Sillikers, New Brunswick ",NB,Atlantic region
,,800.0,39900.0,1.7 Hec Route 420 Matthews Settlement ,NB,Atlantic region
,,,79901.0,347 Halcomb Rd ,NB,Atlantic region
,,,44500.0,"9720 sq m Sorel Rd, Wayerton, E9E 0A4 ",NB,Atlantic region
,,1397.0,179500.0,725 Route 435 Highway ,NB,Atlantic region
,,,119900.0,1120 Route 420 Cassilis ,NB,Atlantic region
,,836.0,141000.0,106 Tardy Ave ,NB,Atlantic region
