Beds,Bath,Sqft,Lot_Size,Type,Price,Address
3,1,"1,630",3.81,Residential,"$225,000 CAD",1368 Forties Rd. 
2,1,944,.826,Residential,"$174,500 CAD",111 Lakeshore Dr. 
4,2,"4,000",NaN,Residential,"$599,000 CAD",1734 HWY 1 
5,2,"2,721",>107,Residential,"$690,000 CAD",2591 Clarence Road 
15,6,"6,630",.709,Residential,"$495,000 CAD",4616 Highway 1 Weymouth 
5,3,"3,000",>593,Residential,"$1,295,000 CAD",1218 Lake Pleasant Rd 
4,2,"3,800",g>17,Residential,"$849,000 CAD",58 Pipers Lane 
5,5,"2,700",0.19,Residential,"$499,950 CAD",372 ST George St 
5,4,"4,554",NaN,Single,"$1,379,500 CAD",Lot CL21 75 Cairnstone Lane 
4,4,"3,060",NaN,Single,"$349,900 CAD",79 Glenmore Road 
4,1,"1,929",NaN,Single,"$449,900 CAD",8 & 12 MERRYS Road 
3,2,"1,709",NaN,Residential,"$250,000 CAD",18 Cole Drive 
4,3,"2,636",NaN,Single,"$299,900 CAD",122 Thornhill Drive 
3,2,"1,408",NaN,Single,"$249,900 CAD",12 Ridgecrest Drive 
4,4,"2,082",NaN,Single,"$439,900 CAD",Lot 112A Sam Crescent 
4,3,"1,938",NaN,Residential,"$199,000 CAD",193 Shore Road 
3,3,"1,699",NaN,Single,"$349,900 CAD",29 Orcadian Court 
5,3,"2,857",NaN,Single,"$499,900 CAD",21 Winston Drive 
4,3,"2,053",NaN,Single,"$599,900 CAD",119 Midnight Run 
4,4,"2,888",NaN,Single,"$659,900 CAD",111 Waxwing Lane 
4,4,"2,430",NaN,Single,"$449,900 CAD",65 Pearl Drive 
5,2,"1,600",NaN,Single,"$139,000 CAD",16 HEMLOCK Drive 
2,1,"1,162",NaN,Single,"$99,000 CAD",5902 West Dalhousie Road 
3,1,"1,046",NaN,Single,"$250,000 CAD",622 Bennetts Bay Road 
4,2,"2,166",NaN,Residential,"$349,900 CAD",29 MARLBORO Drive 
8,5,"6,200",NaN,Single,"$975,000 CAD",610 Main Street 
4,3,"1,843",NaN,Single,"$419,900 CAD",60 Talon Drive 
2,2,743,NaN,Residential,"$536,000 CAD",907 1650 Granville Street 
3,2,"1,720",NaN,Residential,"$299,900 CAD",16 Spruce Drive 
5,4,"3,284",NaN,Single,"$549,000 CAD",782 Heckmans Island Road 
3,2,"1,350",NaN,Residential,"$149,900 CAD",47 Cottage Street 
5,2,"2,268",NaN,Residential,"$399,900 CAD",2 Serocco Crescent 
2,1,"1,441",NaN,Single,"$1,200,000 CAD",87 Giles Drive 
4,4,"2,545",NaN,Single,"$645,000 CAD",65 Herring Cove Road 
3,1,"1,562",NaN,Single,"$159,900 CAD",2241 North Wallace Road 
5,2,"2,231",NaN,Single,"$389,900 CAD",133 White Hills Run 
1,2,"1,330",NaN,Residential,"$399,000 CAD",5 Jaycor Court 
3,2,"1,192",NaN,Single,"$224,900 CAD",177 Flying Cloud Drive 
2,1,770,NaN,Single,"$79,900 CAD",7 Autumn Street 
3,1,"1,300",NaN,Single,"$210,000 CAD",41 Rand Street 
3,1,952,NaN,Single,"$169,900 CAD",34 Campbell Avenue 
3,1,"1,120",NaN,Single,"$849,000 CAD",2899 Cornwall Road 
3,1,"1,895",NaN,Single,"$265,000 CAD",55 Christies Road 
4,4,"2,720",NaN,Single,"$719,900 CAD",83 Tilbury Avenue 
