Beds,Bath,Sqft,Lot_Size,Type,Price,Address,Province,Region
3.0,2.0,1200.0,,Residential,397700 CAD,4738 BRIDGE STREET ,ON,Central
4.0,1.0,,,Residential,420000 CAD,2020 6th Ave W ,ON,Central
4.0,2.0,1430.0,,Residential,499900 CAD,1581 Skead Road ,ON,Central
1.0,1.0,,,Residential,320000 CAD,"640 Bayport Blvd, Midland ",ON,Central
,,,,Residential,389000 CAD,"3274 SARSFILED ROAD, Sarsfield Ontario ",ON,Central
3.0,1.0,680.0,,Other,399000 CAD,3 - WAHBEZEE DRIVE ,ON,Central
,,7600.0,,Residential,125000 CAD,"1 Frederick St., Clinton, Ontario ",ON,Central
3.0,2.0,1498.0,,Residential,469000 CAD,97 WINNIETT Street ,ON,Central
2.0,1.0,1193.0,,Residential,369900 CAD,15 SINCLAIR Drive ,ON,Central
4.0,2.0,1600.0,,Residential,479000 CAD,14 CHARLES Street ,ON,Central
4.0,2.0,1124.0,,Residential,475000 CAD,115 JOHN Street ,ON,Central
3.0,2.0,,,Residential,499000 CAD,No address available ,ON,Central
3.0,4.0,,,Residential,499900 CAD,107 GILLESPIE CRES ,ON,Central
3.0,1.0,600.0,,Residential,169900 CAD,5 South Street ,ON,Central
2.0,1.0,950.0,,Residential,399900 CAD,11 Sauer Ave ,ON,Central
3.0,1.0,730.0,,Residential,359000 CAD,47 5TH AVE SOUTH ,ON,Central
3.0,1.0,1800.0,,Residential,479900 CAD,205 Colonial Drive ,ON,Central
3.0,1.0,938.0,,Residential,489900 CAD,328 MARLBOROUGH Street ,ON,Central
3.0,1.0,,1.11,Residential,369900 CAD,"2871 CONCESSION 3 N ROAD PLANTAGENET, ONTARIO ",ON,Central
2.0,2.0,1046.0,,Residential,399900 CAD,511 Weber St N ,ON,Central
,,,,Residential,499900 CAD,45 St Andrews Street ,ON,Central
4.0,2.0,,ng>3,Residential,419900 CAD,1598 Ritchance Rd. ,ON,Central
2.0,1.0,900.0,,Residential,499000 CAD,7 - MCKENZIE STREET ,ON,Central
3.0,2.0,,,Residential,447500 CAD,189 HANNAH ST ,ON,Central
2.0,1.0,805.0,,Residential,499900 CAD,5 GORDON Street Unit #303 ,ON,Central
2.0,1.0,930.0,,Residential,439900 CAD,40 SILVERCREEK Parkway N Unit #1 ,ON,Central
1.0,1.0,1043.0,.493,Residential,499000 CAD,7434 ROAD 164 ,ON,Central
2.0,1.0,1255.0,,Residential,494000 CAD,166 Stanton Street ,ON,Central
2.0,2.0,1274.0,,Residential,469900 CAD,33 Lasalle St ,ON,Central
4.0,1.0,,,Residential,424900 CAD,147 Graham Road ,ON,Central
1.0,1.0,595.0,,Residential,499000 CAD,51 Harrison Garden Blvd ,ON,Central
4.0,2.0,,>0.5,Residential,475000 CAD,115 Mill St. ,ON,Central
,,,,Residential,474000 CAD,Georgetown ,ON,Central
3.0,2.0,1327.0,,Residential,419900 CAD,152 MCKENZIE Street E ,ON,Central
3.0,2.0,,,Residential,324900 CAD,15 Harris St Perth ON K7H 2Y1 ,ON,Central
3.0,2.0,,,Residential,489900 CAD,53 WHITEGATE CRES ,ON,Central
4.0,,,,Residential,449000 CAD,17 - AH SINEESE CRESCENT ,ON,Central
3.0,2.0,,,Residential,399000 CAD,960 Glen St ,ON,Central
1.0,1.0,,,Residential,500000 CAD,Westline Condos ,ON,Central
,,,,Residential,500000 CAD,"MISSISSAUGA, ON// Arte Condos available for booking // Great Investment Opportunity ",ON,Central
3.0,1.0,1061.0,,Residential,399900 CAD,269 Dufferin Street ,ON,Central
3.0,2.0,1200.0,,Residential,499899 CAD,No address available ,ON,Central
3.0,2.0,,,Single,319900 CAD,11 BELMONT ST E ,ON,Central
3.0,2.0,,,Single,499900 CAD,504 BUNKER HILL Road ,ON,Central
3.0,1.0,,,Single,399900 CAD,166 NELSON Street ,ON,Central
3.0,3.0,,,Single,499900 CAD,265 GERALDINE ,ON,Central
2.0,1.0,,,Single,199000 CAD,1196 Curry Ave. ,ON,Central
2.0,1.0,,,Single,389900 CAD,40 SAMUEL Street ,ON,Central
3.0,2.0,,.381,Single,484900 CAD,4989 38 Road ,ON,Central
4.0,1.0,,,Single,165900 CAD,3001 COUNTY RD 29 ROAD ,ON,Central
2.0,1.0,,,Single,249000 CAD,1368 St. Luke ,ON,Central
3.0,2.0,,,Single,289000 CAD,268 Albinson Street ,ON,Central
3.0,1.0,,,Single,356000 CAD,48 GRIER ST ,ON,Central
3.0,2.0,,,Single,269900 CAD,1839 GLADSTONE ,ON,Central
,2.0,,,Single,349900 CAD,3895 FIRELANE 14,ON,Central
1.0,1.0,,,Single,37900 CAD,7489 SIDEROAD 5 E Unit5 TAMARAK,ON,Central
3.0,1.0,,,Single,279900 CAD,6414 VICTORIA Avenue ,ON,Central
3.0,2.0,,,Single,199000 CAD,309 Pim ST ,ON,Central
3.0,2.0,1079.0,,Single,500000 CAD,29 MORGAN Road ,ON,Central
3.0,2.0,1329.0,,Single,475000 CAD,675 OPTIMIST STREET ,ON,Central
3.0,2.0,,,Single,289900 CAD,138 Henrietta AVE ,ON,Central
3.0,2.0,,,Single,487500 CAD,270 JOHN Street W ,ON,Central
2.0,1.0,,,Residential,165000 CAD,296 Birch  St S ,ON,Central
3.0,1.0,,,Single,449000 CAD,164 HOMEWOOD Avenue ,ON,Central
3.0,2.0,,,Single,399900 CAD,303 RONALD Street ,ON,Central
3.0,2.0,,,Single,159900 CAD,13 Bloor ,ON,Central
2.0,1.0,,>0.2,Single,499900 CAD,5 ROOSEVELT Street ,ON,Central
2.0,3.0,,,Single,444900 CAD,33 BERGERON PRIVATE ,ON,Central
2.0,1.0,,,Single,279900 CAD,22 MECHANIC STREET W ,ON,Central
3.0,2.0,,,Single,229900 CAD,356 Balsam ST S ,ON,Central
3.0,1.0,,,Single,235900 CAD,636 DURRIL Street ,ON,Central
3.0,2.0,,,Single,399000 CAD,523 VICTORIA Place ,ON,Central
4.0,3.0,,,Single,379900 CAD,1065 Langlois ,ON,Central
3.0,2.0,,,Single,385000 CAD,143 Glendale Avenue ,ON,Central
2.0,1.0,,,Single,474900 CAD,5361 HOUCK Drive ,ON,Central
4.0,1.0,,,Single,399900 CAD,16 MATILDA ST ,ON,Central
3.0,2.0,,,Residential,389900 CAD,185 Teal Cres ,ON,Central
1.0,1.0,,2.29,Single,269900 CAD,831 ORIN ROAD ,ON,Central
2.0,1.0,,0.26,Single,224900 CAD,73 PARK Street ,ON,Central
3.0,1.0,,,Single,409900 CAD,5402 HIGHWAY 12 ,ON,Central
4.0,1.0,,,Single,499000 CAD,10 TURNER Crescent ,ON,Central
4.0,2.0,,,Single,488000 CAD,3026 LEMAY CIRCLE ,ON,Central
3.0,2.0,,,Single,379900 CAD,522 RHOLAINE ,ON,Central
2.0,1.0,,,Single,58888 CAD,216 BARRACUDA ,ON,Central
2.0,2.0,,,Single,129900 CAD,124 MARLIN ,ON,Central
5.0,2.0,,>104,Single,479000 CAD,083195 Swamp Hallow Drive DR ,ON,Central
4.0,2.0,,,Single,329900 CAD,984 Ellrose AVENUE ,ON,Central
3.0,2.0,,,Single,479900 CAD,110 BANCROFT Road ,ON,Central
2.0,2.0,,,Single,309900 CAD,43 PARK LANE East ,ON,Central
3.0,2.0,,,Single,199900 CAD,3062 Erindale ,ON,Central
3.0,2.0,,,Single,425000 CAD,16 JOYCE Street ,ON,Central
7.0,2.0,,,Residential,499900 CAD,779 Partington ,ON,Central
3.0,1.0,,,Single,309900 CAD,784 BURROUGHS STREET ,ON,Central
3.0,2.0,,,Single,199900 CAD,1180 WIGLE ,ON,Central
3.0,1.0,,,Single,224900 CAD,79 Retta ,ON,Central
2.0,1.0,,,Single,399999 CAD,6 CHAMPLAIN CRT ,ON,Central
2.0,1.0,,0.23,Single,379000 CAD,178 APPIN Road ,ON,Central
4.0,2.0,1080.0,,Single,399900 CAD,2435 TOURANGEAU ,ON,Central
3.0,2.0,,,Single,329900 CAD,85 MARSHALL PARK Drive ,ON,Central
5.0,2.0,,,Single,499900 CAD,21 BROCK Street ,ON,Central
2.0,1.0,,,Single,149900 CAD,36 WILDER ,ON,Central
3.0,2.0,,,Single,399900 CAD,16 ANTWERP Street ,ON,Central
3.0,2.0,,,Single,399900 CAD,387 RAILWAY Street ,ON,Central
3.0,1.0,,,Residential,289900 CAD,"19 Railway St., ",ON,Central
3.0,2.0,,,Single,439900 CAD,404 CUSHMAN RD ,ON,Central
3.0,3.0,,,Residential,480000 CAD,24 Desmond Trudeau Dr ,ON,Central
2.0,1.0,,,Single,269500 CAD,2313 COUNTY RD 22 ,ON,Central
3.0,2.0,,.497,Single,199900 CAD,476B CALNAN Road ,ON,Central
3.0,2.0,,,Single,259900 CAD,692 University AVE ,ON,Central
2.0,1.0,,,Single,499900 CAD,5 ROOSEVELT ST ,ON,Central
3.0,1.0,,,Single,399000 CAD,467 BETHESDA Road ,ON,Central
3.0,1.0,,,Single,499999 CAD,854 16TH Street E ,ON,Central
2.0,2.0,,,Residential,419900 CAD,4118 Broughton Ave ,ON,Central
2.0,1.0,,,Single,345000 CAD,70 SEVENTH Avenue ,ON,Central
4.0,2.0,,,Single,349000 CAD,28 KENSINGTON AVENUE ,ON,Central
3.0,1.0,,,Single,399000 CAD,622 TALBOT ROAD ,ON,Central
3.0,3.0,,,Residential,499000 CAD,185 Pickett Cres ,ON,Central
4.0,2.0,,,Single,424900 CAD,104 GLENROY Crescent ,ON,Central
3.0,1.0,,,Single,409900 CAD,12 Highway 5402,ON,Central
4.0,2.0,,,Single,499000 CAD,21 GOLDEN Boulevard W ,ON,Central
1.0,1.0,,,Residential,165000 CAD,59 Delamere Rd ,ON,Central
2.0,2.0,,,Residential,329900 CAD,6710 JEANNE D'ARC BLVD N ,ON,Central
10.0,5.0,,,Single,345000 CAD,76 SETTERINGTON ST ,ON,Central
3.0,2.0,,,Single,339900 CAD,440 YVES STREET ,ON,Central
3.0,1.0,1060.0,,Residential,449900 CAD,114 Warren Avenue ,ON,Central
1.0,1.0,,,Residential,350000 CAD,2785 Baseline Rd ,ON,Central
3.0,1.0,,,Single,399900 CAD,236 JOHN Street ,ON,Central
4.0,1.0,,,Single,399900 CAD,16 MATILDA Street ,ON,Central
2.0,1.0,,,Single,499900 CAD,37 LEVERGOOD ROAD ,ON,Central
3.0,2.0,,,Single,399900 CAD,44 Stone AVENUE ,ON,Central
3.0,2.0,1485.0,,Single,499900 CAD,268 ROBINSON ,ON,Central
2.0,1.0,,,Single,249900 CAD,9 MOUNT PLEASANT Avenue ,ON,Central
3.0,2.0,,,Single,299900 CAD,1370 Hall ,ON,Central
3.0,2.0,,,Single,249900 CAD,12 WHITE ,ON,Central
3.0,2.0,1570.0,,Residential,495000 CAD,4 Fife Street ,ON,Central
2.0,1.0,,,Single,124900 CAD,6170 A LIN ,ON,Central
3.0,1.0,,,Single,199900 CAD,415 South STREET ,ON,Central
3.0,2.0,,,Single,479900 CAD,336 KATHARINE Street ,ON,Central
2.0,2.0,1711.0,,Residential,469900 CAD,36 WILMOT Street S ,ON,Central
2.0,2.0,,,Residential,499900 CAD,363 Mathew St ,ON,Central
3.0,2.0,,,Single,489900 CAD,62 KIDD Drive ,ON,Central
5.0,2.0,,,Single,361000 CAD,3654 CHAMPLAIN STREET UNIT#A&B ,ON,Central
4.0,2.0,,,Single,499900 CAD,12539 LITTLE RIVER ,ON,Central
4.0,1.0,,,Single,399900 CAD,4010 HAMILTON Road ,ON,Central
3.0,1.0,,,Single,250000 CAD,48 Cote ,ON,Central
3.0,2.0,,,Single,324900 CAD,15 HARRIS STREET ,ON,Central
3.0,2.0,1200.0,,Single,399900 CAD,156 VERMONT ,ON,Central
3.0,1.0,,,Single,399900 CAD,51017 RON MCNEIL Line ,ON,Central
3.0,1.0,,,Single,249900 CAD,218 FRANKLIN ST S ,ON,Central
3.0,2.0,800.0,,Single,499900 CAD,88 WENDOVER Drive ,ON,Central
3.0,2.0,,,Single,379900 CAD,14254 CONCESSION 1-2 ROAD ,ON,Central
