Beds,Bath,Sqft,Lot_Size,Type,Price,Address
2,1,"1,200",.869,Residential,"$240,000 CAD",2782 Hwy 362 
3,1,"1,630",3.81,Residential,"$225,000 CAD",1368 Forties Rd. 
5,2,"2,721",>107,Residential,"$690,000 CAD",2591 Clarence Road 
15,6,"6,630",.709,Residential,"$495,000 CAD",4616 Highway 1 Weymouth 
5,5,"2,700",0.19,Residential,"$499,950 CAD",372 ST George St 
2,1,944,.826,Residential,"$174,500 CAD",111 Lakeshore Dr. 
5,3,"3,000",>593,Residential,"$1,295,000 CAD",1218 Lake Pleasant Rd 
4,2,"4,000",NaN,Residential,"$599,000 CAD",1734 HWY 1 
4,2,"3,800",g>17,Residential,"$849,000 CAD",58 Pipers Lane 
4,2,"2,337",NaN,Single,"$399,000 CAD",1579 Cole Harbour Road 
2,3,"2,228",NaN,Residential,"$625,000 CAD",85 Otter Point Road 
3,1,"1,378",NaN,Residential,"$89,500 CAD",37 Maillet Road 
3,2,"2,213",NaN,Single,"$399,900 CAD",6 Julies Walk 
4,1,"2,447",NaN,Single,"$154,999 CAD",931 Doucetteville Road 
2,1,880,NaN,Single,"$157,500 CAD",22 Century Street 
2,1,676,NaN,Single,"$112,500 CAD",353 Lower Truro Road 
3,1,"1,091",NaN,Single,"$179,000 CAD",24 LIGHTHOUSE Road 
2,2,"1,400",NaN,Single,"$399,900 CAD",33 Patton Road 
5,2,"1,900",NaN,Single,"$275,000 CAD",11 RENDELL Drive 
2,1,748,NaN,Single,"$329,000 CAD",2603 Clementsvale Road 
3,1,980,NaN,Residential,"$275,000 CAD",23 Celtic Drive 
3,2,"1,610",NaN,Single,"$299,000 CAD",227 Poplar Street 
5,3,"2,734",NaN,Single,"$225,000 CAD",11 BLOIS Avenue 
3,1,"1,221",NaN,Single,"$119,900 CAD",2 Bent Street 
4,2,"3,098",NaN,Residential,"$639,900 CAD",3738 High Street 
4,4,"3,650",NaN,Single,"$640,000 CAD",192 Robert Street 
3,2,"1,372",NaN,Single,"$209,900 CAD",4944 Medway River 
4,3,"2,720",NaN,Single,"$599,900 CAD",2777 Highway 2 
3,1,750,NaN,Residential,"$130,000 CAD",12726 Cabot Trail 
3,3,"1,853",NaN,Single,"$219,000 CAD",9985 Highway 3 
3,1,900,NaN,Residential,"$199,500 CAD",18 & 22 Old Redman Road 
3,2,"1,408",NaN,Residential,"$262,500 CAD",145 Briarwood Drive 
5,3,"2,300",NaN,Single,"$349,000 CAD",47 Mill Road 
6,3,"2,800",NaN,Single,"$399,900 CAD",752 Main Street 
3,3,"1,892",NaN,Residential,"$475,000 CAD",363 McGraths Cove Road 
3,2,"1,788",NaN,Single,"$550,000 CAD",18 Minas View Drive 
2,1,768,NaN,Single,"$79,200 CAD",39 General Avenue 
3,2,"2,961",NaN,Single,"$399,000 CAD",4935 HWY 10 
