Beds,Bath,Sqft,Lot_Size,Type,Price,Address,Province,Region
3.0,2.0,1982.0,>0.3,Residential,389900,125 Belgrave Drive ,PE,Atlantic region
3.0,2.0,1664.0,1.14,Residential,895000,208 Sherwood Forest Drive ,PE,Atlantic region
6.0,3.0,3000.0,0.57,Residential,910000,Settlers Ridge Road ,PE,Atlantic region
1.0,2.0,2600.0,0.55,Residential,499900,25 Queens Road ,PE,Atlantic region
3.0,3.0,1968.0,1.03,Residential,325000,3830 Rte 6 ,PE,Atlantic region
3.0,2.0,,1.03,Residential,574500,"129 Georgetown Road, Stratford PE ",PE,Atlantic region
4.0,3.0,2460.0,0.41,Residential,650000,86 Sunnyside Lane ,PE,Atlantic region
4.0,3.0,3471.0,0.59,Residential,1299000,55 Furber Drive ,PE,Atlantic region
6.0,2.0,2336.0,>0.2,Residential,525000,613-615 Queen Street ,PE,Atlantic region
4.0,3.0,,0.28,Residential,545000,15 MacBeth Court ,PE,Atlantic region
4.0,2.0,2626.0,0.17,Residential,549000,7 Chancellor ,PE,Atlantic region
4.0,2.0,2072.0,ng>1,Residential,530000,"Sarah Court, civic 24-26 ",PE,Atlantic region
4.0,3.0,1651.0,ng>4,Residential,429900,333 Robertson Road ,PE,Atlantic region
4.0,3.0,2316.0,0.23,Residential,449900,2222 Route 20 ,PE,Atlantic region
3.0,1.0,1212.0,0.52,Residential,269000,39 Macks Place ,PE,Atlantic region
3.0,2.0,1941.0,,Residential,635000,112 Millpond Lane ,PE,Atlantic region
2.0,1.0,768.0,,Residential,115000,Burlington Road ,PE,Atlantic region
3.0,2.0,1710.0,,Residential,499000,230 Hollis Avenue ,PE,Atlantic region
5.0,2.0,2068.0,0.37,Residential,465000,131 Bunbury Road ,PE,Atlantic region
3.0,1.0,2166.0,2.52,Residential,550000,5552 Route 19 ,PE,Atlantic region
4.0,4.0,4000.0,0.37,Residential,1499900,143 Lantern Hill Drive ,PE,Atlantic region
3.0,1.0,1264.0,,Residential,439000,93 Fitzsimmons Lane ,PE,Atlantic region
3.0,2.0,1241.0,.413,Single,295000,288 Glenn Drive ,PE,Atlantic region
