Beds,Bath,Sqft,Lot_Size,Type,Price,Address
4,3,,,Residential,900000.0,Saint-Laurent 
1,1,692.0,,Residential,230000.0,3810 Notre-Dame 
1,,715.0,,Residential,550000.0,René-Levesque Ouest 
6,3,,,Residential,1100000.0,103 rue Denault 
4,1,1880.0,,Residential,1083000.0,456 Sebastopol 
2,2,130028.0,,Residential,475000.0,5740 Av. Rembrandt 
4,5,4300.0,.244,Residential,3390000.0,Chemin du Bord-du-lac. Lakeshore 
1,1,578.0,,Residential,428900.0,Crescent street 
,1,470.0,,Residential,300000.0,4295 Beaubien Est 
1,1,603.0,,Residential,457000.0,René-Levesque Ouest 
1,1,564.0,,Residential,299000.0,4295 Beaubien Est 
2,2,1200.0,,Residential,600000.0,100 André-Prevost 
3,2,,0.12,Residential,699000.0,1185 crois sabourin 
3,2,1600.0,,Residential,699000.0,8245 Boul. St-Laurent 
2,2,945.0,,Residential,398000.0,7275 Lunan 
2,1,1061.0,,Residential,399000.0,1222 Rue Ste-Élisabeth 
5,3,,,Residential,998000.0,975 rembrandt 
4,2,,,Residential,668000.0,1965 Jacques-Hertel 
2,1,810.0,,Residential,439000.0,3608 
1,1,675.0,,Residential,259000.0,5700 boulevard Cavendish 
2,1,900.0,,Residential,359000.0,3845 Rue Emma-Collin #202 
3,1,1100.0,,Single,150000.0,8 Rue de la Côte 
3,1,,0.31,Residential,269900.0,2630 Mtée Major 
3,4,,.536,Residential,3875000.0,1681 Rue de la Seigneurie 
3,1,,.171,Residential,189900.0,34 Rue Martel 
3,2,,.137,Residential,479900.0,3837 Av. François-Foucault 
5,2,,.186,Other,499900.0,21 Desc. de la Côte-Double 
3,1,,.164,Residential,499900.0,1060Z Rue St-Georges (Longueuil) 
3,3,2175.0,,Residential,1249000.0,3640 Rue Jeanne-Mance #PH305 
3,1,,0.39,Residential,239000.0,26 415e Avenue 
4,3,,,Single,1100000.0,21 CHEMIN DU REFUGE 
3,3,,,Single,888000.0,23 CHEMIN DU REFUGE 
3,1,128844.0,,Residential,360000.0,8179 Rue Joséphine-Marchand 
3,2,157498.0,.106,Other,644800.0,24 Rue Merlin 
4,2,172804.0,.248,Residential,514000.0,54 Rue Morin 
3,2,112504.0,.059,Residential,249900.0,132 Rue de la Terrasse-Eardley 
3,1,,.139,Residential,219900.0,26 102e Avenue 
2,1,,.207,Residential,249000.0,117 104e Avenue 
5,2,,.107,Residential,649000.0,5885 Boul. Robert 
3,1,,.101,Residential,549900.0,878 Rue Hyacinthe-Hudon 
1,1,,0.08,Other,1200000.0,2521 Rue Bossuet 
2,1,961.0,,Residential,300000.0,937 Boul. Jean-Paul-Vincent #2 
4,2,,.347,Residential,549000.0,8635 Rue Desrosiers 
4,2,197496.0,.512,Residential,645000.0,78 Rue Venne 
5,4,3084.0,.148,Residential,3150000.0,386 Ch. de la Côte-Ste-Catherine 
3,4,,.495,Residential,1249000.0,65 Rue de la Montagne 
3,2,1240.0,.918,Single,374900.0,132 Ch. des Mésanges 
2,1,922.0,,Residential,499000.0,4539 Rue Parthenais 
4,2,217603.0,.211,Residential,349900.0,597 Rue Chamberland 
4,2,211123.0,.149,Residential,425000.0,4358 Rue D'Angoulême 
3,3,,,Single,1288000.0,22 CHEMIN DU REFUGE 
3,3,1232.0,,Residential,220000.0,150 Ch. au Pied-de-la-Montagne #328-D 
1,,40752.0,.321,Residential,49000.0,1101 Rang E. 
1,1,747.0,,Residential,369000.0,550 Boul. de la Côte-Vertu #204 
4,1,,,Residential,299000.0,1688 Boul Lorrain  
5,2,,.175,Residential,569900.0,4955 Rue Montigny 
4,1,,.139,Residential,497000.0,560 Rue Choinière 
3,2,2741.0,,Residential,2280000.0,6301 Place Northcrest #PH-R1 
5,1,172223.0,.557,Residential,649000.0,117 Ch. du Petit-Chicot 
2,1,,0.23,Residential,330000.0,845 Ch. Ste-Angélique 
3,2,1290.0,.101,Single,419900.0,1 Rue du Merle 
4,2,,.192,Residential,419000.0,1995 Rue du Ruisseau 
4,4,,.064,Residential,1700000.0,4322 Av. Laval 
1,1,723.0,,Residential,129000.0,150 Ch. au Pied-de-la-Montagne #412-A 
1,1,101256.0,.634,Residential,235000.0,171 Ch. Bérubé 
4,2,,.241,Residential,279000.0,7910 Route 125 
2,1,134334.0,.168,Residential,460000.0,351 84e Avenue 
4,4,,,Single,1828000.0,9 CHEMIN DU REFUGE 
4,2,,.103,Residential,699888.0,3030 Rue Lepailleur 
2,2,1053.0,,Residential,599000.0,450 Rue St-Antoine E. 201
2,1,1107.0,,Residential,449000.0,6400 Chambéry 
3,2,3085.0,,Residential,2199000.0,"1155 Rue de la Montagne, #3201-02 "
1,1,675.0,,Residential,349000.0,"301 Rue Emery, #403 "
4,1,,.067,Residential,624900.0,1013 Rue François-Dugas 
3,3,1535.0,,Residential,1447190.0,1000 de la Montagne 
4,3,,,Residential,525000.0,3410 Crois. Boulogne 
3,2,1350.0,.002,Residential,299900.0,2160 Beaudoin 
3,2,2000.0,,Residential,1418000.0,"1500 Rue des Bassins, #110 "
2,1,608.0,,Residential,510305.0,1000 de la Montagne 
2,2,1420.0,,Residential,1249000.0,"365 Rue St-Andre, #1703 "
1,1,800.0,,Residential,599000.0,1414 Rue Chomedey 
1,1,,0.06,Residential,499000.0,6309 Rue Cartier 
4,1,2010.0,,Residential,907000.0,6554 Rue St-Denis 
2,2,3165.0,,Residential,3950000.0,"1280 Rue Sherbrooke O., #610 "
3,2,2940.0,,Residential,1175000.0,"4450 Prom. Paton, #1016 "
4,1,1500.0,.109,Residential,289000.0,30 Rue Louis 
2,2,3100.0,,Residential,1279000.0,412 Rue du Champ-de-Mars 
3,2,2045.0,,Residential,1450000.0,175 Av. Metcalfe 
2,1,1063.0,,Residential,599000.0,4418 Hôtel-de-Ville 
2,3,1105.0,,Residential,1008158.0,1000 de la Montagne 
4,2,2810.0,.251,Residential,808000.0,48 Rue Cadillac 
2,1,744.0,.243,Residential,79900.0,19 chemin du Lac-Sinclair 
