Beds,Bath,Sqft,Price,Address,Province,Region,Latitude,Longitude,Location
5.0,4.0,4554.0,1379500.0,lot cl21 75 cairnstone lane ,NS,Atlantic region,,,NaN
4.0,4.0,2082.0,439900.0,lot 112a sam crescent ,NS,Atlantic region,,,NaN
2.0,2.0,743.0,536000.0,907 1650 granville street ,NS,Atlantic region,,,NaN
3.0,3.0,1675.0,299900.0,701 windemere road ,NS,Atlantic region,,,NaN
3.0,4.0,2077.0,674900.0,lot 157 24 chardonnay court ,NS,Atlantic region,,,NaN
4.0,4.0,2239.0,699900.0,lot 94 68 tuscany run ,NS,Atlantic region,,,NaN
3.0,1.0,2159.0,224500.0,1448 caledonia marydale road|caledonia ,NS,Atlantic region,,,NaN
4.0,3.0,2053.0,599900.0,lot 252 goldthread lane ,NS,Atlantic region,,,NaN
2.0,2.0,804.0,309900.0,12 - 56 meek arm trail way ,NS,Atlantic region,,,NaN
1.0,1.0,1300.0,350000.0,unit 5 - 11 beach view lane ,NS,Atlantic region,,,NaN
3.0,2.0,1535.0,399900.0,389 deep brook highway 1 ,NS,Atlantic region,,,NaN
3.0,1.0,1247.0,285000.0,"3245 2nd division road, concession ",NS,Atlantic region,,,NaN
3.0,3.0,3129.0,980000.0,86 freddies lane ,NS,Atlantic region,,,NaN
5.0,3.0,3362.0,853000.0,122 peter sosna drive ,NS,Atlantic region,,,NaN
2.0,1.0,948.0,314900.0,12-60 meek arm trail 12-60,NS,Atlantic region,,,NaN
3.0,2.0,2042.0,799000.0,big glode island ,NS,Atlantic region,,,NaN
3.0,2.0,1080.0,367885.0,54 heritage way 54,NS,Atlantic region,,,NaN
2.0,2.0,1387.0,439000.0,lot 1 10525 highway 7 ,NS,Atlantic region,,,NaN
3.0,1.0,1211.0,259000.0,lot a 19194 highway 7 lot a,NS,Atlantic region,,,NaN
2.0,1.0,720.0,290000.0,53 fargher lane ,NS,Atlantic region,,,NaN
2.0,1.0,832.0,334900.0,12-66 meek arm way 12-66,NS,Atlantic region,,,NaN
3.0,2.0,2412.0,699000.0,1396 merland road rr #1 ,NS,Atlantic region,,,NaN
2.0,2.0,864.0,369900.0,6-70 grandview 6-70,NS,Atlantic region,,,NaN
4.0,1.0,592.0,275000.0,36 cja road ,NS,Atlantic region,,,NaN
3.0,1.0,999.0,244900.0,354 highway 8013,NS,Atlantic region,,,NaN
4.0,5.0,3107.0,849900.0,ta67 145 talus avenue ,NS,Atlantic region,,,NaN
3.0,2.0,1160.0,169000.0,101 highway 8490,NS,Atlantic region,,,NaN
3.0,1.0,1211.0,98900.0,10880 hwy#204 highway ,NS,Atlantic region,,,NaN
3.0,2.0,1564.0,259000.0,335 highway 1384,NS,Atlantic region,,,NaN
5.0,3.0,2805.0,425000.0,3 route 10129,NS,Atlantic region,,,NaN
3.0,2.0,1524.0,169000.0,320 highway 505,NS,Atlantic region,,,NaN
3.0,2.0,2450.0,799900.0,57 calmwater lane ,NS,Atlantic region,,,NaN
5.0,5.0,4569.0,1400000.0,93 shirley elliot court ,NS,Atlantic region,,,NaN
3.0,2.0,1700.0,309900.0,60 lapierre crescent ,NS,Atlantic region,,,NaN
2.0,1.0,804.0,25000.0,c-20 40 oasis trailer court|c-20 road ,NS,Atlantic region,,,NaN
4.0,2.0,592.0,275000.0,36 cja road ,NS,Atlantic region,,,NaN
3.0,2.0,1934.0,249000.0,101 highway 9187,NS,Atlantic region,,,NaN
