Beds,Bath,Sqft,Price,Address,Province,Region
,,,27500.0,5469 HIGHWAY 1 ,NS,Atlantic region
,,,275000.0,2780 Hwy 340 ,NS,Atlantic region
,,,59900.0,HWY 8 & Fisher Lake Rd ,NS,Atlantic region
,,,69900.0,67 Osprey Ridge Road ,NS,Atlantic region
,,2378.0,499000.0,474 Harbour Acres ,NS,Atlantic region
6.0,5.0,,495000.0,147 Hwy 8 ,NS,Atlantic region
,3.0,,745900.0,74 Parkdale Avenue ,NS,Atlantic region
,,,325000.0,Lot - St. Catherine's River Rd. ,NS,Atlantic region
,,,175000.0,1514 Eastern Shore Rd. ,NS,Atlantic region
,,,84900.0,68 Osprey Ridge Road ,NS,Atlantic region
,,,69000.0,"62 Lake Doucette  Road, Lake Doucette ",NS,Atlantic region
,,,54900.0,Lot 22 Fisher Lake Road ,NS,Atlantic region
,,,255000.0,"197 CJA Road, Concession ",NS,Atlantic region
,,,375000.0,112 Brooklyn Shore Rd. ,NS,Atlantic region
,,,115000.0,Lot 27 Wilderness Dr ,NS,Atlantic region
,,,299000.0,186 Mehlman Rd. ,NS,Atlantic region
3.0,,1072.0,89900.0,53 Mountain View Drive ,NS,Atlantic region
,2.0,1950.0,225000.0,2732 Main Street S ,NS,Atlantic region
3.0,2.0,,378000.0,2 Shieling Court ,NS,Atlantic region
,1.0,2200.0,397500.0,11452 Peggy's Cove Road ,NS,Atlantic region
5.0,1.0,,174900.0,8153 highway 7 sherbrooke ,NS,Atlantic region
3.0,1.0,,249000.0,"96 Main Street, Guysborough ",NS,Atlantic region
,,,60000.0,163 Parker Mountain Road ,NS,Atlantic region
,,1955.0,169900.0,74 Myra Road ,NS,Atlantic region
1.0,,240.0,100000.0,6 Champlain Road ,NS,Atlantic region
,,3788.0,1199900.0,1225 Webster Terrace ,NS,Atlantic region
,1.0,400.0,149900.0,5680 Rhuland Street 4,NS,Atlantic region
5.0,1.0,,50000.0,5296 Highway 1 ,NS,Atlantic region
4.0,,742.0,60000.0,"4322 Hwy #3, Atwood's Brook 3",NS,Atlantic region
5.0,3.0,,299000.0,422 Highway 316 Loch Katrin ,NS,Atlantic region
3.0,2.0,,249000.0,14750 Highway 316  ,NS,Atlantic region
3.0,1.0,,199000.0,"36 Carr Road, St. Francis Harbour ",NS,Atlantic region
5.0,2.0,,249900.0,130 Larry's River ,NS,Atlantic region
,,320.0,49900.0,1415 McLeans Lake Road ,NS,Atlantic region
,,1202.0,59900.0,3351 Hwy #3|Lockeport ,NS,Atlantic region
,1.0,,675000.0,280 GREEN BAY Road ,NS,Atlantic region
,1.0,651.0,195000.0,8920 Highway 1 ,NS,Atlantic region
2.0,,,275000.0,2780 Hwy 340 ,NS,Atlantic region
,,2016.0,129900.0,3821 White Hill Road ,NS,Atlantic region
,1.0,1986.0,169900.0,40 East Chezzetcook Road ,NS,Atlantic region
3.0,1.0,,199900.0,"9 Ocean View Drive, Port Bickerton ",NS,Atlantic region
,,1004.0,138000.0,7 PEPPETT Street ,NS,Atlantic region
,,1299.0,69000.0,62 Lake Doucette Road ,NS,Atlantic region
3.0,2.0,,179900.0,11822 CABOT TRAIL Road ,NS,Atlantic region
4.0,1.0,,699000.0,130 Kavanaugh Lane ,NS,Atlantic region
,1.0,1702.0,179900.0,287 KING Street ,NS,Atlantic region
,,3400.0,149900.0,32 R.Grant Road ,NS,Atlantic region
5.0,,1748.0,750000.0,Rous Island ,NS,Atlantic region
3.0,,1390.0,125000.0,14144 Highway 1 ,NS,Atlantic region
,,,29900.0,SE-23 Marbern Street ,NS,Atlantic region
,,2374.0,499000.0,474 HARBOUR ACRES Road ,NS,Atlantic region
4.0,2.0,,325000.0,244 Chester ,NS,Atlantic region
,,,269900.0,6666 Hwy 3 ,NS,Atlantic region
,2.0,2144.0,244900.0,431 Hwy 8 ,NS,Atlantic region
,,,215000.0,1000 Shore Rd. ,NS,Atlantic region
2.0,1.0,,249900.0,199 Old Trunk Rd Elmsdale NS ,NS,Atlantic region
,,,395000.0,49 School St. ,NS,Atlantic region
,,,234900.0,15100 Cabot Trail Highway ,NS,Atlantic region
3.0,,2125.0,259000.0,470 Patrice Road ,NS,Atlantic region
3.0,2.0,,574500.0,"129 Georgetown Road, Stratford PE ",PE,Atlantic region
4.0,3.0,,545000.0,15 MacBeth Court ,PE,Atlantic region
,,,57000.0,Gallant Lane - Lots  31 & 32 ,PE,Atlantic region
5.0,1.0,,165000.0,1092 Fernwood Road ,PE,Atlantic region
,,,66500.0,Highland Vista Dr ,PE,Atlantic region
2.0,,704.0,189000.0,79 Unknown Rd 62135 ,PE,Atlantic region
4.0,2.0,,329000.0,2084 Valleyfield Rd ,PE,Atlantic region
,,,99900.0,Lot Splendid View Dr ,PE,Atlantic region
,,1646.0,349000.0,4153 Cape Bear Rd ,PE,Atlantic region
,,,49900.0,Garden Shore Rd and Sunset Cre. West Cove Head ,PE,Atlantic region
5.0,1.0,,444000.0,430 Lower Montague Rd ,PE,Atlantic region
2.0,2.0,,349000.0,5 Mill Street ,PE,Atlantic region
,,1646.0,349000.0,4153 Cape Bear Road ,PE,Atlantic region
,,,1040000.0,Lot Kingston Rd ,PE,Atlantic region
,,,30000.0,5 Hopeton Road ,PE,Atlantic region
,,,449000.0,258 Line Road ,PE,Atlantic region
,,,128750.0,102 River Road ,PE,Atlantic region
