Beds,Bath,Sqft,Price,Address,Province,Region,Latitude,Longitude,Location
3.0,2.0,1008.0,895000.0,6471 no. 19 highway ,NS,Atlantic region,32.044763,34.760774,"19, נס לגויים, תל אביב - יפו, מכללת יפו תל אביב ודקר, יפו, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, no, ישראל"
6.0,2.0,2664.0,289900.0,66 242 highway ,NS,Atlantic region,47.0629774,28.171275136959828,"66, Raionul Nisporeni, Moldova"
3.0,3.0,2400.0,489000.0,444 jordan branch road ,NS,Atlantic region,22.2978573,114.1691094,"Ns Luxury 鑽石及婚戒專門店, 海防道 Haiphong Road, 官涌 Kwun Chung, 尖沙咀 Tsim Sha Tsui, 油尖旺區 Yau Tsim Mong District, 九龍 Kowloon, 香港 Hong Kong, 000000, 中国"
4.0,4.0,2252.0,599900.0,3 marble court 1215,NS,Atlantic region,39.753119,-75.01166089484798,"3, Marble Court, Cobblestone Farms, Bishop Wood, Gloucester Township, Camden County, New Jersey, 08081, United States"
2.0,1.0,930.0,212500.0,1301 no 1 highway ,NS,Atlantic region,32.9896991,35.6804943,"חד נס, בתרא, קצרין, נפת רמת הגולן, מחוז הצפון, no, ישראל"
3.0,1.0,1400.0,350000.0,4760-62 no 1 highway ,NS,Atlantic region,47.08946345,28.198840045250225,"62, Raionul Nisporeni, Moldova"
2.0,2.0,1218.0,369900.0,24 fairfield court ,NS,Atlantic region,42.4100785,-83.1346285,"Puritan / Fairfield NS (WB), Puritan Street, Pilgrim Village, Detroit, Wayne County, Michigan, 48223, United States"
1.0,1.0,515.0,85000.0,2981 main street ,NS,Atlantic region,38.453978,-99.912722,"Main Street, Ness City, Ness County, Kansas, 67560, United States"
3.0,2.0,1640.0,399900.0,7874 no 1 highway ,NS,Atlantic region,33.204477,35.5686741,"איי נס כח אדם בע""מ, 4, יוסף ייגר, זאב זבוטינסקי, קרית שמונה, נפת צפת, מחוז הצפון, no, ישראל"
4.0,2.0,4000.0,599000.0,1734 no 1 highway ,NS,Atlantic region,33.204477,35.5686741,"איי נס כח אדם בע""מ, 4, יוסף ייגר, זאב זבוטינסקי, קרית שמונה, נפת צפת, מחוז הצפון, no, ישראל"
2.0,1.0,915.0,195000.0,16 highway 6523,NS,Atlantic region,51.781906,5.9168244,"16, Dominee J.A. Visscherlaan, Groesbeek, Berg en Dal, Gelderland, Nederland, 6561KA, Nederland"
4.0,3.0,2600.0,429900.0,4571 no 1 highway ,NS,Atlantic region,33.204477,35.5686741,"איי נס כח אדם בע""מ, 4, יוסף ייגר, זאב זבוטינסקי, קרית שמונה, נפת צפת, מחוז הצפון, no, ישראל"
3.0,2.0,2306.0,299000.0,30 wireless road ,NS,Atlantic region,23.7548322,90.41254858831554,"NS Alam's Garden, 27/C, Purbo Noyatola Road, মধুবাগ, মগবাজার, ঢাকা, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ"
4.0,2.0,1946.0,299900.0,3265 trans canada highway ,PE,Atlantic region,46.1911899,-63.7776761,"Confederation Bridge, Botsford Parish, Prince County, Prince Edward Island, E4M 3Z8, Canada"
4.0,2.0,2626.0,549000.0,7 chancellor ,PE,Atlantic region,4.38134865,100.96625951958131,"Chancellor Park, Seri Iskandar, Perak Tengah, Perak, 32610, Malaysia"
4.0,2.0,1077.0,298500.0,7398 tch ,PE,Atlantic region,59.8587424,30.272442563708324,"Электродепо ТЧ-1 «Автово», округ Княжево, Санкт-Петербург, Северо-Западный федеральный округ, 190000, Россия"
3.0,1.0,2124.0,319900.0,5380 route 495 ,NB,Atlantic region,42.6072144,-71.3243181,"Interstate 495 Nb Cd Road, Lowell, Middlesex County, Massachusetts, 01851, United States"
3.0,1.0,1664.0,169000.0,302 route 735 ,NB,Atlantic region,-8.3885178,116.2361302,"302, Gang Dsn Selelos, Lombok Utara, Nusa Tenggara Barat, Indonesia"
3.0,2.0,1210.0,194000.0,41 river ,NB,Atlantic region,21.3325606,105.3879697,"NB, Việt Trì, Tỉnh Phú Thọ, 0210, Việt Nam"
3.0,3.0,1150.0,269900.0,144 francois rd ,NB,Atlantic region,13.5093736,2.1065761,"Avenue François Mitterrand, Niamey-Bas, Kombo, Niamey, 10973, Niger"
6.0,2.0,2484.0,159900.0,54 route 955 ,NB,Atlantic region,-8.719334499999999,116.3774628,"54, Jalan Lingkok Belek-kompek, Kecamatan Janapria, Kabupaten Lombok Tengah, Nusa Tenggara Barat, Indonesia"
3.0,1.0,1072.0,155000.0,273 route 725 ,NB,Atlantic region,-8.3799189,116.2438397,"273, Jalan Gangga, Genggelang, Lombok Utara, Nusa Tenggara Barat, Indonesia"
3.0,4.0,4157.0,380000.0,140 despres ,NB,Atlantic region,13.5088527,2.111341,"Rue du Président Lubke, Niamey-Bas, Terminus, Niamey, 11363, Niger"
4.0,2.0,1440.0,219900.0,346 radio street ,NB,Atlantic region,51.54044,4.4802,"Radiostraat, Roosendaal, Noord-Brabant, Nederland, 4702NB, Nederland"
3.0,1.0,1032.0,169900.0,3672 route 505 ,NB,Atlantic region,51.5625878,5.0633123,"505, Reitseplein, Hagelkruis, West, Tilburg, Noord-Brabant, Nederland, 5037AA, Nederland"
4.0,1.0,1232.0,149900.0,2327 route 305 ,NB,Atlantic region,51.5627511,5.062844,"305, Reitseplein, Hagelkruis, West, Tilburg, Noord-Brabant, Nederland, 5037AA, Nederland"
