Beds,Bath,Sqft,Lot_Size,Type,Price,Address,Province,Region
2.0,3.0,1496196.0,,Single,159900,4708 51Ave ,AB,Prairie Provinces
4.0,5.0,1651.0,.099,Single,435000,154 Creek Gardens Place NW ,AB,Prairie Provinces
2.0,1.0,525.0,0.13,Residential,35000,316 1st Street ,AB,Prairie Provinces
5.0,1.0,2023.0,0.77,Residential,280000,11015 99 Street ,AB,Prairie Provinces
4.0,3.0,2281.0,4.28,Residential,999000,248 Webb Avenue ,AB,Prairie Provinces
3.0,2.0,1457.0,,Residential,149900,5413 56 Street ,AB,Prairie Provinces
3.0,2.0,1220.0,7.84,Residential,475000,82522 Hwy 2 ,AB,Prairie Provinces
2.0,1.0,960.0,,Residential,105000,5007A 47 Street ,AB,Prairie Provinces
3.0,1.0,118404.0,.067,Residential,169900,5614 148 ST ,AB,Prairie Provinces
2.0,1.0,1107.0,,Other,34900,9531 98 Street 21,AB,Prairie Provinces
1.0,1.0,645.0,,Residential,64800,9707 100 Avenue ,AB,Prairie Provinces
,,,,Residential,1155000,32 and 33 Range 282 ,AB,Prairie Provinces
3.0,2.0,1848.0,8.61,Residential,699900,80105 Range Road 211 ,AB,Prairie Provinces
,,753.0,,Residential,50000,4720-47AVE ,AB,Prairie Provinces
3.0,2.0,1216.0,,Single,79900,"127, 10615  88 Street 127",AB,Prairie Provinces
2.0,2.0,1605.0,.132,Single,375000,229 1 Street S ,AB,Prairie Provinces
1.0,1.0,685.0,0.14,Single,127500,9305 107 Avenue ,AB,Prairie Provinces
2.0,1.0,776.0,.182,Single,112900,11004 106 Avenue ,AB,Prairie Provinces
4.0,3.0,1560.0,2.71,Residential,435000,5815 48 Avenue ,AB,Prairie Provinces
2.0,3.0,14161.0,.087,Single,399900,320 Midpark Gardens SE ,AB,Prairie Provinces
4.0,3.0,2076.0,.247,Single,280000,5202 52 Street ,AB,Prairie Provinces
4.0,3.0,2162.0,>0.3,Residential,349000,26 Princess Place W ,AB,Prairie Provinces
3.0,2.0,1515894.0,,Single,125825,51508B Range Road 280 ,AB,Prairie Provinces
3.0,1.0,1122039.0,1.87,Single,989789,5308 Lac St Anne Trail N ,AB,Prairie Provinces
6.0,4.0,3505512.0,1.44,Single,898000,26229 MEADOWVIEW DR ,AB,Prairie Provinces
3.0,2.0,1200.0,>6.7,Residential,200000,46515 Range Road 161 ,AB,Prairie Provinces
6.0,2.0,1102.0,.132,Single,425000,329 33 Avenue NE ,AB,Prairie Provinces
2.0,1.0,1134.0,.344,Single,150000,106 4 Street NW ,AB,Prairie Provinces
2.0,1.0,747.0,g>35,Residential,299900,36456 Range Road 232 ,AB,Prairie Provinces
3.0,1.0,1020.0,.179,Single,120000,11402 Norris Cres ,AB,Prairie Provinces
3.0,2.0,148597.0,,Single,150000,49 AV 4924,AB,Prairie Provinces
3.0,3.0,1790053.0,>160,Single,649900,61008 Rg Rd 104,AB,Prairie Provinces
1.0,1.0,649.0,.143,Single,80000,314 3 Avenue ,AB,Prairie Provinces
4.0,3.0,441749.0,3.92,Residential,1099000,38418 Range Road 261 ,AB,Prairie Provinces
3.0,2.0,134708.0,.198,Single,195000,10987 Grande Avenue ,AB,Prairie Provinces
2.0,1.0,900.0,,Single,35000,"51, 145 East River Road 51",AB,Prairie Provinces
2.0,2.0,995.0,4.72,Single,625000,232048 Rng Rd 250,AB,Prairie Provinces
,,1024.0,,Single,35000,"47, 9301 102 Street 47",AB,Prairie Provinces
4.0,3.0,1707386.0,.121,Single,424900,6219 187A ST NW ,AB,Prairie Provinces
3.0,3.0,1247.0,>0.2,Single,375000,10821 Stern Crescent ,AB,Prairie Provinces
3.0,2.0,1152.0,,Single,49900,"11, 400 1 Street SE 11",AB,Prairie Provinces
2.0,1.0,853.0,,Single,48500,"39, 6026 13 Avenue 39",AB,Prairie Provinces
2.0,1.0,720.0,0.07,Residential,125000,4716 54 Street ,AB,Prairie Provinces
2.0,2.0,935176.0,7.98,Single,699900,26515 Township Road 514 3,AB,Prairie Provinces
3.0,2.0,914.0,.163,Single,155000,4329 53 Street ,AB,Prairie Provinces
2.0,1.0,814835.0,0.21,Single,79900,26510 Twp Rd 611 ,AB,Prairie Provinces
2.0,1.0,1024.0,,Other,22500,4922 Womacks Road 61,AB,Prairie Provinces
4.0,3.0,2120508.0,.184,Single,210000,50 ST 4924,AB,Prairie Provinces
2.0,1.0,1426.0,0.11,Residential,990000,302 Cottage Road ,AB,Prairie Provinces
2.0,2.0,785.0,.169,Single,688888,7728 Bowness Road NW ,AB,Prairie Provinces
2.0,1.0,64575.0,.166,Single,55000,5024 50 Avenue ,AB,Prairie Provinces
2.0,2.0,860044.0,0.34,Single,799000,17 &19 Grandview BE ,AB,Prairie Provinces
3.0,3.0,1563363.0,0.24,Single,988000,131 Silver Beach ,AB,Prairie Provinces
4.0,1.0,1695.0,.145,Single,89998,"Lot 15,16 2nd St. 15",AB,Prairie Provinces
1.0,1.0,3667.0,0.99,Residential,550000,465021 Range Road 61 1,AB,Prairie Provinces
5.0,2.0,1097928.0,,Single,205000,99 ST 9732,AB,Prairie Provinces
3.0,2.0,1347.0,0.07,Single,299900,2612 80 Avenue SE ,AB,Prairie Provinces
3.0,2.0,1175.0,,Single,20000,"51, 810 56 Street 51",AB,Prairie Provinces
3.0,1.0,949.0,,Single,23900,"298, 133 Jarvis Street 298",AB,Prairie Provinces
1.0,1.0,,,Single,269900,454029 RANGE RD 11 BEND 10,AB,Prairie Provinces
2.0,2.0,1524.0,.143,Single,109900,307 3 Avenue W ,AB,Prairie Provinces
1.0,1.0,819.0,.138,Single,72000,4922 51 Avenue ,AB,Prairie Provinces
3.0,2.0,1012031.0,.085,Single,349900,740 JOHNS RD NW ,AB,Prairie Provinces
6.0,4.0,2506.0,1.87,Residential,1250000,40422 Range Road 10 236,AB,Prairie Provinces
3.0,1.0,84199.0,.133,Single,509000,515 33 Avenue NE ,AB,Prairie Provinces
2.0,2.0,133206.0,0.87,Single,1550000,155 White Avenue W ,AB,Prairie Provinces
2.0,1.0,600.0,,Single,22000,34 Shand Trailer Park Park ,AB,Prairie Provinces
2.0,1.0,951538.0,,Single,22000,32 Greenwood MHP ,AB,Prairie Provinces
3.0,2.0,1571544.0,6.18,Single,2495000,663037 Rge Rd 212,AB,Prairie Provinces
3.0,1.0,1179.0,,Single,41500,"19, 134 Village Way 19",AB,Prairie Provinces
3.0,1.0,1176.0,1.43,Residential,69000,4614 50 Street ,AB,Prairie Provinces
3.0,1.0,932.0,.138,Single,114000,#216 2nd Avenue  SW ,AB,Prairie Provinces
1.0,1.0,825.0,0.12,Single,449000,252 19 Avenue NE ,AB,Prairie Provinces
4.0,5.0,2228.0,.175,Single,874900,15906 103 Street ,AB,Prairie Provinces
2.0,1.0,1360031.0,,Single,29500,305 CALAHOO RD 124,AB,Prairie Provinces
2.0,,3666972.0,0.99,Single,550000,"1, 465021 Rge Rd 61 - Greystones 1",AB,Prairie Provinces
5.0,4.0,2198.0,>0.2,Residential,629000,212 Lake Stafford Drive E ,AB,Prairie Provinces
4.0,2.0,1823.0,0.21,Residential,279000,5218 53 Street ,AB,Prairie Provinces
3.0,3.0,1749042.0,>0.4,Single,589000,5028 Lakeview DR ,AB,Prairie Provinces
2.0,1.0,866.0,,Other,49500,6834 59 Avenue 107,AB,Prairie Provinces
3.0,4.0,1832033.0,.157,Single,1050000,31 EASTON CL ,AB,Prairie Provinces
4.0,1.0,1266169.0,0.41,Single,295000,52059 RGE RD 220 84,AB,Prairie Provinces
6.0,5.0,2816.0,6.16,Single,1499999,35156 Township Road 262 ,AB,Prairie Provinces
5.0,6.0,4629.0,3.14,Single,2199800,61035A Township Road 704A ,AB,Prairie Provinces
