Beds,Bath,Sqft,Lot_Size,Type,Price,Address
3,3,,,Residential,339900 CAD,128 Ave north east 
3,3,,,Residential,369900 CAD,128 ave north east 
3,2,129115,2.84,Residential,359000 CAD,1 63065 TWP RD 464 
3,1,1244,.081,Residential,324900 CAD,356 Secord Blvd NW 
2,2,1094,.091,Residential,339900 CAD,11515 91 St NW 
4,3,1681,0.18,Residential,375000 CAD,58 Sunset drive 
3,2,1400,0.26,Residential,345000 CAD,802 Lakeshore Dr. 
5,4,219003,,Residential,330335 CAD,5217 55A Street 
5,2,104001,,Residential,314500 CAD,4837 45 Ave 
4,3,1292326,,Single,399900 CAD,29 DEERBOURNE DR 
3,3,1804,0.15,Single,339000 CAD,520 27 Street 
5,2,1171769,.129,Single,396000 CAD,7815 134 AV NW 
5,4,1591996,,Single,364900 CAD,52 Southbridge CR 
4,4,12419,.065,Single,399900 CAD,117 Martinridge Crescent NE 
4,4,1369,.083,Single,369900 CAD,16 Woodglen Grove SW 
4,2,93894,.088,Single,337900 CAD,135 Mt. Sundance Crescent W 
3,3,1558627,.156,Single,329900 CAD,51 ST 4413
4,2,1125807,.131,Single,369800 CAD,10975 72 AV NW 
5,2,1100619,.138,Single,359900 CAD,3408 71 ST NW 
3,4,1468,>0.1,Residential,364900 CAD,188 Coalbanks Boulevard W 
4,3,1450,0.87,Single,315000 CAD,45003 Township Road 4-5 
5,2,1075324,.131,Single,379900 CAD,8755 64 AV NW 
3,2,1102,.081,Single,319900 CAD,8 Taradale Close NE 
3,1,89987,.112,Single,300000 CAD,11535 ST ALBERT TR NW 
4,3,1214,.126,Single,355000 CAD,168 Upland Avenue 
5,2,971882,.168,Single,374900 CAD,13104 120 AV NW 
4,3,835,.069,Single,379900 CAD,840 Coalbrook Close W 
2,1,856,0.07,Single,349500 CAD,321 Cramond Close SE 
4,3,1384,.126,Single,329900 CAD,800 1A Avenue 
4,2,83217,.092,Single,369900 CAD,624 38 Street SW 
3,2,1421386,7.46,Single,320000 CAD,532071 RR 185 NW 
4,3,1247,0.16,Residential,385000 CAD,6605 40 Avenue 
5,3,1250023,.259,Single,324900 CAD,62 AV 4723
4,2,8862,.092,Single,335000 CAD,88 Falmead Road NE 
5,2,1224,.154,Single,379900 CAD,11303 103 Street 
6,3,2209,.242,Single,350000 CAD,1905 24 Avenue 
3,3,1085,.058,Single,319900 CAD,6724 43 Avenue NE 
6,2,1151856,.131,Single,325000 CAD,13033 127 ST NW 
4,3,1953989,,Single,395000 CAD,9 Prospect PL 
6,4,2310923,,Single,385000 CAD,95 ST 9705
5,4,1614,0.24,Residential,369900 CAD,23 Falcon Ridge Drive 
3,2,1614,.124,Single,380000 CAD,11014 102 Ave 
4,2,100505,.161,Single,389900 CAD,4430 6 Avenue 
2,1,1046261,.085,Single,348000 CAD,9411 92 ST NW 
3,3,1342,.072,Single,367000 CAD,268 Erin Mount Crescent SE 
3,2,1170585,.155,Single,325000 CAD,6303 137 AV NW 
4,3,1184,0.14,Residential,369900 CAD,4330 57 Avenue 
3,2,1240,.155,Single,339900 CAD,9 Valarosa Cove 
3,3,1044,0.11,Residential,359900 CAD,111 Almond Crescent 
4,2,960,.096,Single,384900 CAD,387 Maitland Crescent NE 
3,3,1162512,.134,Single,379900 CAD,9603 75 ST NW 
2,1,740563,.116,Single,329500 CAD,9659 76 AV NW 
4,2,1023,.152,Single,320000 CAD,103 WEBB Street 
4,2,1001,.087,Single,335000 CAD,87 Shawglen Road SW 
4,3,1213,.136,Single,364900 CAD,7 Kodiak Boulevard N 
4,3,1859,0.14,Residential,364900 CAD,103 Denison Crescent 
4,3,1627,.077,Single,399900 CAD,240 Tarington Close NE 
4,4,1577,.097,Single,346000 CAD,35 Pinnacle Road 
4,2,980923,.116,Single,309900 CAD,17032 98 ST NW 
4,2,109007,.172,Single,309900 CAD,57 ST 5315
