Beds,Bath,Sqft,Lot_Size,Type,Price,Address
2,1,775,,Residential,89900 CAD,4912 49 ave 
4,2,1136,,Residential,170000 CAD,5207 Sunset Drive 
,,262,0.46,Residential,160000 CAD,316 461032 HWY 13 
3,2,1750,,Residential,195000 CAD,5018 Alexander Ave. 
2,1,76424,,Residential,79900 CAD,4908 49 Ave 
2,2,1120,0.15,Residential,150000 CAD,54 McAlpine Crescent 
1,1,700,0.12,Residential,41900 CAD,4901 46 Avenue 
2,2,12,0.15,Residential,189900 CAD,4415 45a 
3,2,1343347,,Single,97000 CAD,10770 Winterburn RD NW 1504
3,1,952,,Single,49900 CAD,"84, 4000 13 Avenue SE 84"
3,1,999976,,Single,127900 CAD,4238 1st AV 
2,1,1071987,,Single,56000 CAD,305 CALAHOO RD 4
1,1,933,.485,Single,89900 CAD,204 1  Street 
1,1,864,,Single,54900 CAD,23 Evergreen Mobile Park 
2,2,628833,.096,Single,137900 CAD,12636 71 ST NW 
3,1,980,,Single,39900 CAD,"#226, 2300 13 Street N 226"
3,1,1235922,.138,Single,99000 CAD,52 ST 5012
1,1,685,0.14,Single,127500 CAD,9305 107 Avenue 
2,1,714,,Single,48000 CAD,"33, 2248 Southview Drive SE 33"
2,1,1152,.161,Single,109900 CAD,718 5 Avenue 
3,2,1444,1.89,Single,199000 CAD,406 3 Street E 
2,1,810099,0.16,Single,199900 CAD,49 ST 4715
3,2,1336,,Single,114900 CAD,"#47, 1410 43 Street S 47"
3,1,945,.144,Single,189900 CAD,236 11 Street SW 
3,1,980,,Other,39900 CAD,2300 13 Street N 226
3,1,1277,0.17,Residential,154000 CAD,209 3 Avenue 
3,2,1136,.298,Single,169950 CAD,303 3RD STREET 
3,2,120408,,Single,49900 CAD,149 Heritage Drive 
3,1,1199971,,Single,124900 CAD,51 AV 4703
3,2,1114,.146,Single,195000 CAD,6914 94 Street 
2,1,690,4.62,Residential,139900 CAD,16356 Birch Grove Road 
3,2,1520,,Other,155000 CAD,10615 88 Street 358
2,1,988,,Residential,99900 CAD,5226 Victoria Ave 
2,1,1037,,Residential,143500 CAD,10404 24 Ave NW 
3,1,1150,0.21,Residential,129900 CAD,4814 53 Avenue 
2,1,1280,0.23,Residential,159900 CAD,9910 98 Street 
3,2,1004,0.23,Residential,174900 CAD,5005 47 Avenue 
6,2,1200,,Residential,175000 CAD,5030 40 Street 
,,599,,Residential,55000 CAD,4924-49ave 
,,,1.26,Residential,88000 CAD,"404, 54411 - RR 40 "
3,2,1457,,Residential,149900 CAD,5413 56 Street 
2,1,840,,Other,39900 CAD,2300 13 Street N 61
3,1,118404,.067,Residential,169900 CAD,5614 148 ST 
2,1,725,,Residential,169900 CAD,11917 103 st 
,,,1.18,Residential,87000 CAD,"408, 54411 - RR 40 "
2,1,89556,,Residential,165000 CAD,"32, 3224 TWP 552 "
2,1,840,,Residential,125000 CAD,5714 55 street 
2,2,964,,Residential,189900 CAD,1818 Simcoe Boulevard SW 
4,2,1174,.154,Residential,187500 CAD,"10409 114 Street Fairview, AB T0H 1L0 "
3,1,,,Residential,178000 CAD,536 3 Street Suffield 
3,2,1054,0.14,Residential,148000 CAD,330 Hankel Court 
2,1,720,0.14,Residential,122000 CAD,4811 52 Avenue 
