Beds,Bath,Sqft,Lot_Size,Type,Price,Address,Province,Region
3.0,1.0,800.0,.275,Residential,64897 CAD,642 Muriel Ave ,BC,West Coast
4.0,3.0,,0.29,Single,429000 CAD,868 KIMBERLEY AVENUE N ,BC,West Coast
2.0,2.0,,0.32,Single,405000 CAD,519 HARTLAND AVENUE ,BC,West Coast
,,,0.71,Residential,469900 CAD,7455 S KELLY ROAD ,BC,West Coast
1.0,1.0,832.0,ng>5,Residential,649000 CAD,"6787 Magna Bay dr, Magna Bay, BC ",BC,West Coast
1.0,1.0,644.0,,Residential,350000 CAD,2220 SOOKE ROAD ,BC,West Coast
3.0,2.0,2100.0,,Residential,449899 CAD,270 Grouse Avenue Vernon BC V1H 2A1 ,BC,West Coast
,1.0,465.0,.011,Residential,299000 CAD,500 Oswego St ,BC,West Coast
2.0,3.0,1669.0,,Residential,509900 CAD,3-9515 Woodbine Street ,BC,West Coast
2.0,1.0,1040.0,,Residential,214900 CAD,1409 Government St ,BC,West Coast
2.0,2.0,1045.0,,Residential,275000 CAD,4769 Forsters Landing Rd. ,BC,West Coast
1.0,1.0,612.0,,Residential,349888 CAD,2285 PITT RIVER ROAD ,BC,West Coast
4.0,3.0,2731.0,,Other,649000 CAD,10 Royal Ann ,BC,West Coast
2.0,1.0,960.0,,Residential,469000 CAD,"6791 Little Fort Highway 24, Lone Butte, BC ",BC,West Coast
3.0,3.0,2428.0,0.41,Residential,699900 CAD,1069 Viewtop Rd ,BC,West Coast
4.0,3.0,1905.0,>0.1,Single,629000 CAD,485 Pine St ,BC,West Coast
6.0,3.0,3100.0,ng>2,Residential,599900 CAD,342 W Old N Thompson Hwy ,BC,West Coast
2.0,1.0,,0.21,Residential,475000 CAD,7513  Crest-A-Way Road ,BC,West Coast
2.0,1.0,1050.0,,Residential,409500 CAD,2720 Riffington Place ,BC,West Coast
3.0,2.0,,,Residential,299900 CAD,6822 Leighton Crescent ,BC,West Coast
2.0,1.0,880.0,.296,Residential,199900 CAD,1422 CARSON ST ,BC,West Coast
2.0,1.0,879.0,,Residential,110000 CAD,3350-10Ave NE Salmon Arm ,BC,West Coast
3.0,3.0,1337.0,,Residential,609000 CAD,119 9845 Eastside Road Vernon BC V1H 1Z2 ,BC,West Coast
2.0,2.0,1580.0,,Residential,675000 CAD,6631 MINORU BLVD. ,BC,West Coast
