Beds,Bath,Sqft,Lot_Size,Type,Price,Address
4,4,,ng>5,Single,998000 CAD,6307 YOUNGS ROAD 
4,2,3600,ng>3,Residential,1099000 CAD,9685 Edelman Road 
4,2,2554,>1.1,Residential,799500 CAD,7432 Pleasant Valley Rd. 
3,1,2192,0.17,Residential,759000 CAD,805 4th Street 
5,3,1721,,Residential,859900 CAD,45293 Labelle Ave 
3,2,1843,.217,Residential,839000 CAD,3911 ANTON STREET 
3,2,,10.9,Residential,995000 CAD,1034 Hwy 97C 
3,4,3774,",415",Residential,1100000 CAD,1880 COLUMBIA VALLEY RD 
4,3,2058,0.41,Residential,1395000 CAD,4458 Timberline Crescent 
,,,0.53,Residential,749000 CAD,"8397 RICHARDSON CRESCENT, CANAL FLATS "
6,4,2850,>0.1,Single,1188888 CAD,109 Royal Pacific Way 
2,3,1500,0.28,Residential,1500000 CAD,101-452 LAKESHORE DRIVE 
3,3,4528,0.26,Residential,1288000 CAD,11727 Olympic View Drive 
4,3,2206,.073,Residential,944000 CAD,32 - 2450 Radio Tower Rd 
2,3,1500,0.28,Residential,1500000 CAD,102-452 LAKESHORE DRIVE 
4,3,3615,0.26,Residential,1348000 CAD,7117 Jasper Drive 
6,3,3086,ng>3,Residential,1264000 CAD,7792 Lochdale Rd. 
3,2,1636,.128,Residential,875000 CAD,3182 Rutledge St 
5,3,1990,.196,Residential,849900 CAD,1751 KILBY ROAD 
3,4,4341,.182,Residential,1360000 CAD,6549 FERN STREET 
2,1,3456,0.26,Residential,1390000 CAD,1080 WEYBURN STREET 
1,1,721,,Residential,788000 CAD,701 1005 Beach Avenue 
3,2,1552,0.11,Residential,799000 CAD,8388 Centre Street 
2,2,1448,.035,Residential,969000 CAD,50 Songhees Rd 
4,3,2388,,Residential,1190000 CAD,2450 Radio Tower Road 
4,4,1945,,Residential,1385000 CAD,6838 KOALA COURT 
3,3,2560,",112",Residential,989900 CAD,1880 COLUMBIA VALLEY ROAD 
5,3,3450,>3.3,Residential,1450000 CAD,11003 FENWICK ROAD 
1,1,694,,Residential,875000 CAD,833 HOMER STREET 
6,4,3307,.106,Residential,1249900 CAD,5902 GARRISON BLVD 
1,2,1505,0.26,Residential,1200000 CAD,4712 Sunnybrae Canoe Point Road 
2,3,2301,,Residential,769888 CAD,2330 Butt Road 
4,3,,.126,Residential,999000 CAD,45324 Labelle Avenue 
6,4,4400,0.17,Residential,1499000 CAD,15-125 CABERNET DR 
4,4,2932,",230",Residential,1050000 CAD,1880 COLUMBIA VALLEY ROAD 
,,1625,,Residential,880000 CAD,3440 Pattison Way 
5,3,1671,.193,Single,1199750 CAD,6673 216 STREET 
5,4,3470,>0.1,Single,1115000 CAD,46211 PROMONTORY ROAD 41
4,3,2782,0.13,Residential,959900 CAD,667 Nelson Rd 
5,2,1887,.204,Single,1099000 CAD,26649 32A AVENUE 
3,2,1834,0.44,Single,840000 CAD,725 Nicholls Rd 
6,3,2052,.158,Single,1199900 CAD,2880 GARDNER COURT 
6,4,2731,0.45,Single,1359000 CAD,12401 DEWDNEY TRUNK ROAD 
4,2,2655,.169,Single,1199900 CAD,50208 KENSINGTON DRIVE 
3,2,1792,.222,Single,749900 CAD,3993 Uplands Dr 
4,3,2392,.163,Single,800000 CAD,1046 SADDLEBACK CRT 
6,4,2811,.078,Single,1250000 CAD,4464 STEPHEN LEACOCK DRIVE 
6,3,3202,.138,Single,999900 CAD,8174 CARIBOU STREET 
3,3,1897,0.14,Single,1149900 CAD,10326 JOHNSON WYND 
6,4,3469,.089,Single,1468000 CAD,3083 MULBERRY PLACE 
5,5,4025,.136,Single,1449900 CAD,3567 Pritchard Creek Rd 
3,3,1786,,Residential,859000 CAD,6 2925 KING GEORGE BOULEVARD 
3,3,3245,1.12,Single,1188888 CAD,4548 HITCHINGPOST CRESCENT 
5,3,2400,0.93,Residential,1095000 CAD,3930 Telegraph Rd 
2,2,1778,.055,Single,1299000 CAD,1252 Denman St 
5,4,,.232,Single,919900 CAD,4789 TIMBER RIDGE ROAD 
3,2,2556,.078,Single,1099990 CAD,373 HOSPITAL STREET 
4,2,2104,.257,Single,1199990 CAD,11874 220TH STREET 
6,4,2869,.078,Single,1298800 CAD,4440 STEPHEN LEACOCK DRIVE 
4,2,2108,.177,Single,988000 CAD,22939 FULLER AVENUE 
1,2,2302,3.38,Single,950000 CAD,111 Blue Stone Dr 
8,6,,0.28,Single,725000 CAD,347 MARSDEN STREET 
6,4,2705,.266,Single,1250000 CAD,8211 MILLER CRESCENT 
5,4,3028,.112,Single,1398800 CAD,13901 229B STREET 
3,2,1176,0.08,Single,729000 CAD,"567 Morrison Avenue, "
3,3,1832,.085,Single,1040000 CAD,46211 PROMONTORY ROAD 34
5,3,2900,.165,Single,1050000 CAD,"1078 Hume Avenue, "
3,3,1902,.115,Single,1099000 CAD,20988 94B AVENUE 
5,5,2623,.121,Single,1399000 CAD,19393 62 AVENUE 
4,3,2262,.153,Single,869000 CAD,6211 Olympia Way 
5,4,3211,0.25,Single,1296000 CAD,"2422 Saddleback Way, "
5,4,1920,.208,Single,1199000 CAD,13142 108 AVENUE 
5,3,2738,.191,Single,1079000 CAD,44657 MICHAEL DRIVE 
3,2,1545,.162,Single,700000 CAD,2664 Jasmine Pl 
5,2,2402,.165,Single,1248800 CAD,8946 WATSON DRIVE 
5,3,2673,.179,Single,1470000 CAD,19779 48 AVENUE 
3,3,2305,.166,Single,1428000 CAD,1902 144 STREET 
3,3,1855,.093,Single,1025000 CAD,46211 PROMONTORY ROAD 36
4,2,1950,.095,Single,1500000 CAD,468 E 49TH AVENUE 
4,3,2900,0.13,Single,1350000 CAD,789 Byng St 
4,4,1729,.159,Single,1349000 CAD,7910 126A STREET 
4,3,2010,.091,Single,1050000 CAD,46211 PROMONTORY ROAD 35
6,3,3188,.249,Single,1250000 CAD,4548 Montford Cres 
4,4,2675,.515,Single,1250000 CAD,7300 WOODBRIDGE PLACE 
3,2,1683,0.22,Single,838000 CAD,23818 DEWDNEY TRUNK ROAD 
6,3,2407,.089,Single,959800 CAD,9857 CORBOULD STREET 
6,4,2811,.078,Single,1199000 CAD,4446 STEPHEN LEACOCK DRIVE 
4,4,3000,.092,Single,1080000 CAD,46211 PROMONTORY ROAD 37
3,2,1426,.163,Single,1450000 CAD,1728 130 STREET 
5,3,2649,.122,Single,1379000 CAD,21433 90 AVENUE 
6,3,2631,0.18,Residential,849000 CAD,1576 DUNCAN AVE E 
4,4,3074,.081,Single,1399900 CAD,7089 200A STREET 
4,4,4114,.199,Single,1175000 CAD,1911 WOODSIDE BOULEVARD 1
3,2,1980,.301,Single,1069000 CAD,22612 124 AVENUE 
4,4,2261,.067,Single,1049900 CAD,5440 PEACH ROAD 
4,3,2236,0.25,Single,769000 CAD,"380 Madsen Road, "
5,4,4373,,Residential,1488000 CAD,33163 Hawthorne Avenue 
4,3,2031,0.09,Single,1288000 CAD,5231 OLIVER DRIVE 
4,4,2868,.099,Single,1250000 CAD,10750 BEECHAM PLACE 
3,2,1788,.136,Single,899900 CAD,5996 DEERFIELD CRESCENT 
5,3,2322,.183,Single,1399000 CAD,9725 130 STREET 
6,2,2381,.181,Single,1398000 CAD,10046 129 STREET 
4,4,3703,.166,Single,1475000 CAD,"1134 ELK Street, "
2,1,1490,0.22,Residential,725000 CAD,129 Jensen Ave E 
3,3,1724,.061,Single,1198000 CAD,9357 203 STREET 
4,3,2858,.595,Single,899900 CAD,"2720 20 Avenue, NE "
2,2,1469,.138,Single,849900 CAD,1960 CARNARVON St 
3,2,1196,.228,Single,998000 CAD,22343 124 AVENUE 
3,3,2666,.122,Single,1144800 CAD,"1960 Foxtail Terrace, "
4,3,2060,.092,Single,1299000 CAD,1206 HORNBY STREET 
3,3,2216,.165,Single,1249000 CAD,13119 66A AVENUE 
3,2,3701,1.97,Single,1249900 CAD,9910 DOYLE STREET 
4,4,3179,.252,Single,899900 CAD,9807 ANGUS DRIVE 
3,3,2545,.166,Single,1315900 CAD,50306 KENSINGTON DRIVE 
4,2,1456,.194,Single,989000 CAD,10842 143 STREET 
3,2,1379,.147,Single,949000 CAD,1549 Clawthorpe Ave 
4,3,2078,0.33,Single,1449000 CAD,4561 UPLANDS DRIVE 
4,3,1892,.199,Single,999900 CAD,21259 DOUGLAS AVENUE 
4,2,2287,.203,Single,1049000 CAD,2901 MCCALLUM ROAD 
6,6,4124,,Single,1279700 CAD,"1790 CROSBY Road, "
3,2,1772,1.15,Single,999999 CAD,567 Windthrop Rd A
4,3,2046,.179,Single,899900 CAD,26920 29 AVENUE 
4,4,2577,.092,Single,1199000 CAD,24375 112B AVENUE 
5,3,2335,.171,Single,969900 CAD,35293 KNOX CRESCENT 
5,2,2260,,Residential,750000 CAD,130 Robson Road E 
6,4,2818,.078,Single,1300000 CAD,4476 STEPHEN LEACOCK DRIVE 
3,2,2145,0.18,Single,849900 CAD,951 Jasmine Ave 
4,3,2489,0.49,Single,1149999 CAD,3832 KAREN DRIVE 
4,2,2558,0.79,Single,749900 CAD,3465 Willshire Rd 
4,3,2458,.148,Single,1199900 CAD,10440 GLENMOOR PLACE 
4,4,1989,.067,Single,1070000 CAD,5412 PEACH ROAD 
6,3,2451,.147,Single,1149900 CAD,3555 DAVIE STREET 
6,4,3112,0.07,Single,1348000 CAD,7225 202A STREET 
5,3,2196,.145,Single,799900 CAD,565 Marisa St 
4,3,2173,.316,Single,899000 CAD,4551 Viewmont Ave 
5,3,1111,0.12,Single,1099000 CAD,"1259 Richter Street, "
3,3,2848,.256,Single,1200000 CAD,958 Royal Oak Dr 
3,1,1460,.188,Single,979000 CAD,19995 50A AVENUE 
3,3,2198,.164,Single,1399999 CAD,16043 10A AVENUE 
4,2,1610,.224,Single,999000 CAD,33786 MAYFAIR AVENUE 
2,2,1291,0.13,Single,789000 CAD,"941 8 Avenue, NE "
3,3,2704,.162,Single,1499000 CAD,4151 LANCELOT DRIVE 
5,3,1951,1.64,Single,1125000 CAD,8528 DUNN STREET 
4,2,1948,.145,Single,1299999 CAD,11389 86A AVENUE 
4,4,3703,0.17,Residential,1475000 CAD,1134 Elk Street 
4,3,2816,.274,Single,1199000 CAD,"636 Thorneloe Road, "
5,2,3108,4.54,Single,929000 CAD,"105 Grove Road, "
3,1,1059,.086,Single,799900 CAD,34705 4TH AVENUE 
5,3,2596,.257,Single,1099000 CAD,19793 38A AVENUE 
5,3,3011,.177,Single,1299000 CAD,36034 EMPRESS DRIVE 
4,4,2335,0.55,Single,1499000 CAD,558 Birch Rd 
4,5,2960,.074,Single,1389000 CAD,34868 ACKERMAN COURT 
3,2,1545,0.16,Residential,700000 CAD,2664 Jasmine Pt 
4,3,2034,.138,Single,1490000 CAD,10680 ROCHDALE DRIVE 
2,3,2575,0.26,Residential,959000 CAD,3151 Klanawa Cres 
4,3,2600,.208,Single,1299000 CAD,1463 54 STREET 
4,3,2055,.168,Single,1390000 CAD,13362 98B AVENUE 
3,2,1672,.216,Single,1150000 CAD,8495 BROOKE ROAD 
5,3,2594,.217,Single,1499000 CAD,13792 112 AVENUE 
4,3,2664,>2.5,Single,1499000 CAD,47631 FORESTER ROAD 
6,4,2953,.177,Single,1499000 CAD,7882 141B STREET 
4,2,1785,.165,Residential,1349000 CAD,14072 - 18a Avenue 
3,2,1677,.174,Single,1289000 CAD,5839 185A STREET 
3,3,3244,0.19,Single,1150000 CAD,323 CHINO PLACE 
5,3,2242,.142,Single,1198800 CAD,1020 HOY STREET 
8,5,3182,.165,Single,1299000 CAD,13170 112 AVENUE 
3,2,1166,>6.3,Single,799900 CAD,6765 ASHCROFT ROAD 
4,3,2206,.138,Single,949000 CAD,7978 HURD STREET 
4,2,2230,0.44,Residential,729000 CAD,2077 Lakeside Dr 
4,2,2021,.082,Single,1498000 CAD,2558 WILLIAM STREET 
8,5,3429,.167,Single,1500000 CAD,50484 KINGSTON DRIVE 
5,3,3100,.117,Single,925000 CAD,2200 DOUBLETREE CRES 
2,2,2150,2.04,Single,879900 CAD,Lot 31 Smithers Rd 
5,3,2270,,Residential,749000 CAD,12620 Reynolds Avenue 
3,3,2357,.108,Single,1229000 CAD,19594 SUTTON AVENUE 
3,3,2116,.057,Single,999000 CAD,12532 190A STREET 
4,3,2526,.096,Single,1029900 CAD,7196 EVANS ROAD 9
