Beds,Bath,Sqft,Lot_Size,Type,Price,Address
7,6,5597,0.39,Residential,4975000 CAD,13980 Ponderosa Way 
3,4,3519,0.79,Residential,2399000 CAD,3336 Island Hwy. West 
7,8,10208,0.66,Residential,6499000 CAD,4383 Hobson Road 
3,3,3033,",400",Residential,2100000 CAD,310 MUNROE AVENUE 
4,6,4914,1.67,Residential,3100000 CAD,154 RICARD PLACE 
13,14,10954,0.52,Residential,2200000 CAD,132 Fernie Place 
6,7,6327,9.76,Residential,3999000 CAD,7112 Puckle Rd 
3,3,3309,1.03,Residential,2150000 CAD,4011 Gladys Rd 
4,4,5397,0.72,Residential,2788000 CAD,7610 Tronson Road 
4,5,518114,0.78,Residential,5495000 CAD,1730 Oak Leaf Drive 
3,4,2700,0.28,Residential,2800000 CAD,201-452 LAKESHORE DRIVE 
3,3,4800,0.75,Residential,2995000 CAD,368/374 EASTSIDE ROAD 
4,4,6600,,Residential,5995000 CAD,1015 Sunnyside Road 
2,2,,,Residential,2675000 CAD,590 Nicola Street 
6,5,4063,0.17,Residential,3150000 CAD,Lot 1-595 Vancouver Avenue 
6,7,4159,.223,Single,3380000 CAD,10491 AINTREE CRESCENT 
5,6,5386,0.19,Single,5000000 CAD,4500 CANTERBURY CRESCENT 
5,5,2551,.164,Single,2268000 CAD,3421 ST. KILDA AVENUE 
5,2,2935,.138,Single,4100000 CAD,3719 W 1ST AVENUE 
4,2,2274,.769,Single,2998600 CAD,4575 192 STREET 
4,3,2017,.097,Single,2699000 CAD,1240 E 13TH AVENUE 
10,7,4250,.121,Single,2999000 CAD,3709 AVONDALE STREET 
7,4,3789,.222,Single,2938000 CAD,5387 RUGBY STREET 
5,4,3287,4.92,Single,2375000 CAD,1395 242ND STREET 
7,5,3918,.201,Single,2588888 CAD,6422 WALKER AVENUE 
8,6,4728,.193,Single,3199000 CAD,6622 PARKDALE DRIVE 
8,4,4677,.169,Single,2899000 CAD,740 E 9TH STREET 
