Beds,Bath,Sqft,Price,Address,Province,Region,Latitude,Longitude,Location
2.0,1.0,775.0,89900.0,4912 49 ave ,AB,Prairie Provinces,53.26407655714286,-113.5516827,"4912, 49 Avenue, City of Leduc, Alberta, T9E 7G5, Canada"
4.0,2.0,1136.0,170000.0,5207 sunset drive ,AB,Prairie Provinces,53.2931555,-110.0130043,"Sunset Drive, Heritage Estates, City of Lloydminster, Lloydminster (city), Alberta, T9V 2A3, Canada"
3.0,2.0,1750.0,195000.0,5018 alexander ave. ,AB,Prairie Provinces,52.0964583,-111.4495733,"Alexander Avenue, Coronation, Town of Coronation, Alberta, T0C 1C0, Canada"
2.0,1.0,76424.0,79900.0,4908 49 ave ,AB,Prairie Provinces,54.2663938,-110.73840078167969,"Bonnyville Centralized High School, 4908, 49 Avenue, Bonnyville, Town of Bonnyville, Alberta, T9N 2J7, Canada"
2.0,2.0,1120.0,150000.0,54 mcalpine crescent ,AB,Prairie Provinces,55.7778944,-118.8467488,"McAlpine Crescent, Spirit River, Town of Spirit River, Alberta, T0H 3G0, Canada"
1.0,1.0,700.0,41900.0,4901 46 avenue ,AB,Prairie Provinces,53.0110278,-112.82253907531202,"University of Alberta - Augustana Campus, 4901, 46 Avenue, College, Camrose, Alberta, T4V 2R3, Canada"
2.0,2.0,628833.0,137900.0,12636 71 st nw ,AB,Prairie Provinces,53.584283733333336,-113.45080373333332,"12636, 71 Street NW, Balwin, Northern Mature Area, Avenue District, Edmonton, Edmonton (city), Alberta, T5C 2A7, Canada"
1.0,1.0,685.0,127500.0,9305 107 avenue ,AB,Prairie Provinces,55.17692395454545,-118.77471372727273,"9305, 107 Avenue, Hillside, Grande Prairie, Grande Prairie (city), Alberta, T8V 6R1, Canada"
3.0,2.0,1444.0,199000.0,406 3 street e ,AB,Prairie Provinces,50.5636201,-111.8929966,"3 Street E, Brooks, City of Brooks, Alberta, T1R 0E8, Canada"
3.0,1.0,945.0,189900.0,236 11 street sw ,AB,Prairie Provinces,51.0467829,-114.0885543,"11 Street SW, Connaught, Downtown West End, Calgary, Alberta, T2P 3N7, Canada"
3.0,1.0,1277.0,154000.0,209 3 avenue ,AB,Prairie Provinces,53.5182807,-110.33315403333334,"209, 3 Avenue, Village of Marwayne, County of Vermilion River, Alberta, T0B 2X0, Canada"
3.0,2.0,1136.0,169950.0,303 3rd street ,AB,Prairie Provinces,50.0969826,-111.7964742,"3rd Street, Hays, Municipal District of Taber, Alberta, Canada"
3.0,2.0,120408.0,49900.0,149 heritage drive ,AB,Prairie Provinces,53.6125139,-113.6220248,"149, Heritage Drive, St. Albert, Alberta, T8N 6S2, Canada"
3.0,2.0,1114.0,195000.0,6914 94 street ,AB,Prairie Provinces,55.14315883105196,-118.77736092149462,"6914, 94 Street, South Patterson Place, Grande Prairie, Grande Prairie (city), Alberta, T8W 1H1, Canada"
2.0,1.0,988.0,99900.0,5226 victoria ave ,AB,Prairie Provinces,53.55916,-113.8784302,"Victoria Avenue, Spruce Village, City of Spruce Grove, Stony Plain (town), Alberta, T7X 0B2, Canada"
2.0,1.0,1037.0,143500.0,10404 24 ave nw ,AB,Prairie Provinces,53.4547884,-113.5000756,"10404, 24 Avenue NW, Ermineskin, Kaskitayo, Edmonton, Edmonton (city), Alberta, T6J 5J8, Canada"
3.0,1.0,1150.0,129900.0,4814 53 avenue ,AB,Prairie Provinces,54.12326910646132,-114.40125484538812,"4814, 53 Avenue, Town of Barrhead, Barrhead, Alberta, T7N 1A2, Canada"
2.0,1.0,1280.0,159900.0,9910 98 street ,AB,Prairie Provinces,58.1841537,-116.3950935,"98 Street, La Crete, Mackenzie County, Alberta, T0H 2H0, Canada"
3.0,2.0,1004.0,174900.0,5005 47 avenue ,AB,Prairie Provinces,49.7831221,-112.1491223,"Pet Valu, 5005, 47 Avenue, Taber, Town of Taber, Alberta, T1G 1R7, Canada"
6.0,2.0,1200.0,175000.0,5030 40 street ,AB,Prairie Provinces,52.016248,-113.95257,"5030, 40 Street, Innisfail, Town of Innisfail, Alberta, T4G 1E2, Canada"
3.0,2.0,1457.0,149900.0,5413 56 street ,AB,Prairie Provinces,53.3569932749891,-113.4203752672321,"5413, 56 Street, Beauridge, Beaumont, Alberta, T4X 1A4, Canada"
3.0,1.0,118404.0,169900.0,5614 148 st ,AB,Prairie Provinces,49.6030152,-114.407524,"148 Street, Frank, Municipality of Crowsnest Pass, Crowsnest Pass (municipality), Alberta, T0K 0E0, Canada"
2.0,1.0,725.0,169900.0,11917 103 st ,AB,Prairie Provinces,55.1818685,-118.8061957,"103 Street, Avondale, Grande Prairie, Grande Prairie (city), Alberta, T8V 4W3, Canada"
2.0,1.0,840.0,125000.0,5714 55 street ,AB,Prairie Provinces,49.7798438,-112.1384712,"55 Street, Taber, Town of Taber, Alberta, T1G 2A7, Canada"
2.0,2.0,964.0,189900.0,1818 simcoe boulevard sw ,AB,Prairie Provinces,51.0304535,-114.1822069,"Simcoe Boulevard SW, Signal Hill, Calgary, Alberta, T3H 4M9, Canada"
4.0,2.0,1174.0,187500.0,"10409 114 street fairview, ab t0h 1l0 ",AB,Prairie Provinces,56.0656995,-118.3938138,"114 Street, Fairview, Town of Fairview, Alberta, T0H 1L0, Canada"
3.0,2.0,1054.0,148000.0,330 hankel court ,AB,Prairie Provinces,50.452163,-111.6521614,"Hankel Court, Tilley, County of Newell, Alberta, Canada"
2.0,1.0,720.0,122000.0,4811 52 avenue ,AB,Prairie Provinces,54.1213081,-114.4015177,"4811, 52 Avenue, Town of Barrhead, Barrhead, Alberta, T7N 1A1, Canada"
2.0,1.0,879.0,125000.0,5718 55 street ,AB,Prairie Provinces,49.7798438,-112.1384712,"55 Street, Taber, Town of Taber, Alberta, T1G 2A7, Canada"
4.0,2.0,1122.0,179000.0,"10413 115 street fairview, ab t0h 1l0 ",AB,Prairie Provinces,56.0676335,-118.3955854,"115 Street, Fairview, Town of Fairview, Alberta, T0H 1L0, Canada"
2.0,1.0,10639.0,134900.0,5218 51 avenue ,AB,Prairie Provinces,54.72186158342392,-113.2990920196578,"5218, 51 Avenue, Town of Athabasca, Alberta, T9S 1G8, Canada"
3.0,1.0,1298.0,149000.0,4903 50 street ,AB,Prairie Provinces,52.0934533,-114.7382673,"GTI, 4903, 50 Street, Caroline, Alberta, T0M 0M0, Canada"
3.0,1.0,1056.0,179900.0,4812 45 street ,AB,Prairie Provinces,55.06609355,-117.27099969119932,"4812, 45 Street, Valleyview, Town of Valleyview, Alberta, T0H 0C8, Canada"
2.0,1.0,484.0,169900.0,13039-66 street ,AB,Prairie Provinces,53.0103365,-112.8542604,"66 Street, Elizabeth Heights, Camrose, Alberta, T4V 4L4, Canada"
3.0,1.0,1051.0,179000.0,411 6 street nw ,AB,Prairie Provinces,51.0764884,-114.0774326,"6 Street NW, Mount Pleasant, Calgary, Alberta, T2M 2Z8, Canada"
3.0,2.0,1520.0,105000.0,7821 97 avenue ,AB,Prairie Provinces,55.16785900677967,-118.79708620508475,"7821, 97 Avenue, Central Business District, Grande Prairie, Grande Prairie (city), Alberta, T8V 6X3, Canada"
3.0,2.0,1260.0,109900.0,5802 fontaine drive ,AB,Prairie Provinces,54.4259267,-110.1989069,"Fontaine Drive, Cold Lake South, City of Cold Lake, Alberta, T9M 1R5, Canada"
3.0,2.0,712.0,199900.0,11825 70 st nw ,AB,Prairie Provinces,53.57100445666667,-113.44897693666668,"11825, 70 Street NW, Montrose, Greater Highlands, Avenue District, Edmonton, Edmonton (city), Alberta, T5B 1P1, Canada"
3.0,1.0,1328.0,169900.0,10131 104 avenue ,AB,Prairie Provinces,56.2292981,-117.2868166,"10131, 104 Avenue, South End, Peace River, Alberta, T8S 1P7, Canada"
3.0,1.0,1220.0,79000.0,4630  windsor ave. ,AB,Prairie Provinces,52.092414,-111.4444873,"Windsor Avenue, Coronation, Town of Coronation, Alberta, T0C 1C0, Canada"
2.0,1.0,525.0,35000.0,316 1st street ,AB,Prairie Provinces,51.1895954,-114.4685628,"1st Street, East End, Cochrane, Town of Cochrane, Alberta, T0L 0W0, Canada"
2.0,1.0,912.0,59000.0,106 railway avenue ,AB,Prairie Provinces,51.01522925,-113.54127284999998,"106, Railway Avenue, Cheadle, Wheatland County, Alberta, T1P 0X8, Canada"
3.0,2.0,81601.0,188000.0,5125 48 avenue ,AB,Prairie Provinces,52.675559625000005,-113.58236035,"5125, 48 Avenue, Ponoka, Alberta, T4J 1K2, Canada"
1.0,1.0,584.0,196000.0,#50 first ave ,AB,Prairie Provinces,52.8680915,-112.9478179,"First Avenue, New Norway, Camrose County, Alberta, Canada"
5.0,3.0,1912.0,195000.0,9907 98 street ,AB,Prairie Provinces,58.1841537,-116.3950935,"98 Street, La Crete, Mackenzie County, Alberta, T0H 2H0, Canada"
6.0,3.0,1050.0,175000.0,4719 47 avenue ,AB,Prairie Provinces,52.96627945714286,-113.36865097142856,"4719, 47 Avenue, City of Wetaskiwin, Wetaskiwin, Alberta, T9A 0J6, Canada"
