Beds,Bath,Sqft,Price,Address,Province,Region
3.0,2.0,1211.0,399900,5850 Prospect Road ,NS,Atlantic region
3.0,1.0,1235.0,129900,15 ROGERS Road ,NS,Atlantic region
5.0,3.0,4100.0,889000,7594 221 Highway ,NS,Atlantic region
3.0,2.0,1704.0,210000,67 Milton Street ,NS,Atlantic region
3.0,2.0,1881.0,274900,949 Sandy Point Road ,NS,Atlantic region
3.0,1.0,1248.0,179900,714 Lower Cove Road ,NS,Atlantic region
3.0,2.0,2452.0,529900,19 Bobolink St ,NS,Atlantic region
3.0,2.0,1608.0,299000,1843 Highway 1 Church Point ,NS,Atlantic region
4.0,2.0,2016.0,439900,502 Willow Street ,NS,Atlantic region
2.0,1.0,1070.0,950000,284 Millers Road ,NS,Atlantic region
4.0,3.0,2350.0,500000,561 Portland Hills Drive ,NS,Atlantic region
3.0,2.0,1920.0,219000,3 Park Place ,NS,Atlantic region
2.0,3.0,1715.0,319000,127 Pinky Creek Road ,NS,Atlantic region
1.0,1.0,1247.0,235000,160 Henry Hensey Drive ,NS,Atlantic region
4.0,1.0,1546.0,209000,8376 Hwy 1 ,NS,Atlantic region
4.0,1.0,1280.0,89000,"367 Marc Comeau Road, St Benoni ",NS,Atlantic region
3.0,3.0,3129.0,980000,86 Freddies Lane ,NS,Atlantic region
4.0,6.0,6790.0,3795000,137 Gannet Lane ,NS,Atlantic region
1.0,2.0,1148.0,585000,3735 West Bay Highway ,NS,Atlantic region
3.0,2.0,2730.0,989000,3907 Shore Road ,NS,Atlantic region
3.0,2.0,905.0,124900,16 Oak Street ,NS,Atlantic region
4.0,3.0,2100.0,450000,432 Riverdale Road ,NS,Atlantic region
4.0,3.0,2100.0,375000,432 Riverdale Road ,NS,Atlantic region
3.0,3.0,2953.0,995900,50 Josey Road ,NS,Atlantic region
4.0,2.0,1906.0,529000,1143 Camperdown Road ,NS,Atlantic region
3.0,2.0,1608.0,299000,1843 Highway 1 ,NS,Atlantic region
2.0,2.0,1851.0,299888,51 Romkey Drive ,NS,Atlantic region
2.0,2.0,2162.0,219000,465 PEREAU Road ,NS,Atlantic region
7.0,7.0,5927.0,880000,70 Gil Sutherland Road ,NS,Atlantic region
2.0,1.0,1000.0,59900,1803 Sonora Road ,NS,Atlantic region
4.0,2.0,2700.0,395000,696 Point Aconi Road ,NS,Atlantic region
4.0,2.0,2782.0,199900,11693 Highway 6 ,NS,Atlantic region
4.0,3.0,5043.0,449000,5032 Highway 3 ,NS,Atlantic region
4.0,3.0,2100.0,898000,393 Corkums Island Road ,NS,Atlantic region
2.0,1.0,1699.0,130000,586 Ellerhouse ,NS,Atlantic region
3.0,3.0,3230.0,550000,161 Second Avenue ,NS,Atlantic region
3.0,3.0,2547.0,434000,217 Highway 9461,NS,Atlantic region
4.0,2.0,1546.0,209000,8376 Highway 1 ,NS,Atlantic region
