Beds,Bath,Sqft,Lot_Size,Type,Price,Address,Province,Region
3.0,1.0,1432.0,,Residential,339900 CAD,35 McAdam Avenue ,MB,Prairie Provinces
3.0,2.0,852.0,,Single,239900 CAD,438 REIMER Avenue ,MB,Prairie Provinces
3.0,2.0,1247.0,,Residential,389900 CAD,1 Clubhouse Drive ,MB,Prairie Provinces
6.0,3.0,2382.0,.055,Residential,749900 CAD,95 Medinah Drive ,MB,Prairie Provinces
3.0,2.0,1717.0,,Residential,519900 CAD,223 Sauveur Place ,MB,Prairie Provinces
3.0,2.0,1247.0,,Residential,389900 CAD,2 Clubhouse Drive ,MB,Prairie Provinces
3.0,2.0,2045.0,,Residential,579900 CAD,408 Kirkbirdge drive ,MB,Prairie Provinces
3.0,1.0,965.0,,Residential,264900 CAD,646 Pritchard Avenue ,MB,Prairie Provinces
3.0,3.0,1401.0,,Residential,439900 CAD,320 Truro Street ,MB,Prairie Provinces
5.0,3.0,1080.0,,Residential,469900 CAD,347 Berry street ,MB,Prairie Provinces
5.0,4.0,2558.0,,Residential,499900 CAD,534 McAdam Avenue ,MB,Prairie Provinces
3.0,1.0,838.0,,Residential,224000 CAD,249 Kilbride Avenue ,MB,Prairie Provinces
5.0,3.0,1311.0,,Residential,489900 CAD,1044 Royse Avenue ,MB,Prairie Provinces
3.0,2.0,1447.0,,Residential,399900 CAD,84 Larry Vickar  ,MB,Prairie Provinces
6.0,2.0,2024.0,,Residential,109900 CAD,344 college ave  ,MB,Prairie Provinces
4.0,2.0,1100.0,,Residential,369900 CAD,172 Augusta Drive ,MB,Prairie Provinces
3.0,1.0,1080.0,,Residential,99900 CAD,9 birch place  ,MB,Prairie Provinces
2.0,1.0,,,Residential,249900 CAD,21 St George Road ,MB,Prairie Provinces
3.0,2.0,1714.0,,Residential,365000 CAD,94 Rowand Avenue  ,MB,Prairie Provinces
2.0,1.0,1115.0,,Residential,274900 CAD,1212 Diplomat ,MB,Prairie Provinces
3.0,2.0,1430.0,,Residential,399900 CAD,105 Prairieview Drive ,MB,Prairie Provinces
3.0,1.0,1030.0,,Residential,199900 CAD,307 Woodlawn ,MB,Prairie Provinces
3.0,1.0,1096.0,17.4,Residential,600000 CAD,1040 #26 Highway ,MB,Prairie Provinces
5.0,4.0,1487.0,,Residential,515000 CAD,16 Essex Avenue ,MB,Prairie Provinces
4.0,2.0,1320.0,,Residential,234900 CAD,402 Andrews Street ,MB,Prairie Provinces
3.0,3.0,1420.0,,Residential,479900 CAD,12 St. Louis Road ,MB,Prairie Provinces
3.0,1.0,1185.0,,Single,209900 CAD,465 Nairn Avenue ,MB,Prairie Provinces
5.0,4.0,1487.0,,Residential,524900 CAD,1053 Royse Avenue ,MB,Prairie Provinces
4.0,2.0,986.0,,Residential,349900 CAD,183 Turnham Drive ,MB,Prairie Provinces
3.0,2.0,1949.0,,Residential,499900 CAD,18 Stellarton cres ,MB,Prairie Provinces
3.0,1.0,838.0,,Residential,199900 CAD,1457 Winnipeg Avenue ,MB,Prairie Provinces
5.0,3.0,978.0,,Residential,429900 CAD,504 Regent Avenue ,MB,Prairie Provinces
,,,,Residential,204900 CAD,25 Van hull Way ,MB,Prairie Provinces
3.0,3.0,2800.0,4.75,Residential,649900 CAD,26051 Pioneer Road ,MB,Prairie Provinces
3.0,2.0,1936.0,,Residential,529900 CAD,253 Eagleview Road ,MB,Prairie Provinces
2.0,1.0,912.0,,Residential,129900 CAD,326 Simcoe Street ,MB,Prairie Provinces
3.0,2.0,1505.0,,Residential,529900 CAD,147 Berry Hill Road ,MB,Prairie Provinces
3.0,3.0,1273.0,,Residential,399900 CAD,693  Munroe Ave  ,MB,Prairie Provinces
7.0,3.0,2240.0,,Residential,574900 CAD,110 Meadow Ridge Drive ,MB,Prairie Provinces
