Beds,Bath,Sqft,Lot_Size,Type,Price,Address,Province,Region
2.0,1.0,1056.0,,Single,68000,217 Main Road ,NL,Atlantic region
4.0,5.0,2698.0,,Residential,790000,233-235 Conception Bay Highway ,NL,Atlantic region
2.0,1.0,1184.0,,Residential,149900,8A Hill Avenue ,NL,Atlantic region
3.0,3.0,3036.0,,Residential,259900,7 Martin's Pond Road ,NL,Atlantic region
2.0,1.0,550.0,,Residential,62000,59 Back Rd ,NL,Atlantic region
,,,,Residential,149900,8-12 Cross Road ,NL,Atlantic region
3.0,2.0,2472.0,,Residential,229900,8 Hill Avenue ,NL,Atlantic region
3.0,1.0,1154.0,>2.4,Residential,79900,5 Crockers Ave ,NL,Atlantic region
4.0,1.0,1040.0,,Residential,124999,184A Water Street ,NL,Atlantic region
3.0,1.0,748.0,,Other,79900,0 Paradise Valley Road ,NL,Atlantic region
2.0,1.0,900.0,,Residential,75000,10 Druken Crescent ,NL,Atlantic region
3.0,1.0,1136.0,ng>6,Residential,99900,Western Bay Line Rd ,NL,Atlantic region
2.0,1.0,2016.0,,Residential,179900,111 Riverdale Crescent ,NL,Atlantic region
4.0,2.0,2464.0,,Residential,189900,29 Tom Pauls Hill ,NL,Atlantic region
2.0,1.0,1200.0,,Residential,59900,12 Old Brigus Road ,NL,Atlantic region
2.0,2.0,1185.0,,Residential,259900,23 Jack Pine Place ,NL,Atlantic region
,1.0,2850.0,,Residential,149900,8-12 Cross Road ,NL,Atlantic region
2.0,1.0,816.0,,Residential,54900,474 Main Road ,NL,Atlantic region
3.0,2.0,1071.0,,Residential,49500,11 Citadel Road ,NL,Atlantic region
3.0,1.0,1600.0,,Residential,269900,8 WOODPATH Road ,NL,Atlantic region
4.0,1.0,1330.0,.086,Residential,59900,3 Bulter's Lane ,NL,Atlantic region
2.0,1.0,500.0,,Residential,70000,B168 Main Road ,NL,Atlantic region
2.0,1.0,950.0,,Single,69900,16 Ship Cove Crescent ,NL,Atlantic region
3.0,1.0,1270.0,,Single,94500,25A Suez Street ,NL,Atlantic region
4.0,3.0,5300.0,,Single,580475,14 Dock Point ,NL,Atlantic region
5.0,2.0,2048.0,,Single,170000,14 Blackmore Road Unit A,NL,Atlantic region
2.0,1.0,600.0,,Single,79900,197 Merrymeeting Road ,NL,Atlantic region
3.0,1.0,1179.0,,Single,119900,46 Franklyn Avenue ,NL,Atlantic region
2.0,1.0,800.0,,Single,69900,58 Main Street ,NL,Atlantic region
3.0,1.0,1232.0,,Single,79900,35 - 43 Park Avenue ,NL,Atlantic region
3.0,1.0,899.0,,Single,29900,13 Rink Road ,NL,Atlantic region
2.0,1.0,572.0,,Single,39900,0 Trinity South Highway ,NL,Atlantic region
4.0,1.0,1656.0,,Single,79000,8 MAYNE Lane ,NL,Atlantic region
2.0,2.0,2106.0,,Single,89000,127 J.W. Pickersgill Boulevard ,NL,Atlantic region
4.0,2.0,2410.0,,Single,195000,27 Lowerview Road ,NL,Atlantic region
3.0,1.0,900.0,,Single,53000,52 Gray Avenue ,NL,Atlantic region
4.0,1.0,2226.0,,Single,87500,214-220 Blow-Me-Down Drive ,NL,Atlantic region
4.0,1.0,1672.0,,Single,210000,65 Jordan Place ,NL,Atlantic region
2.0,1.0,800.0,,Single,40000,48 Fort Louis Road ,NL,Atlantic region
3.0,2.0,1134.0,,Single,54900,34 Blackburn Road ,NL,Atlantic region
5.0,1.0,1444.0,0.93,Single,80000,1 Moores Road ,NL,Atlantic region
6.0,2.0,1614.0,,Single,58000,9 Hartigan Street ,NL,Atlantic region
3.0,2.0,2640.0,,Single,150000,3 Woods Street ,NL,Atlantic region
3.0,1.0,780.0,,Single,179000,56A Boom Siding Road ,NL,Atlantic region
4.0,1.0,1170.0,,Single,229900,105 Military Road ,NL,Atlantic region
2.0,1.0,1136.0,,Single,139000,1 Chomedy Drive ,NL,Atlantic region
4.0,2.0,3310.0,,Single,189900,5 Riverview Avenue ,NL,Atlantic region
4.0,2.0,3047.0,,Single,499000,15 Stoneyhouse Street ,NL,Atlantic region
3.0,1.0,1090.0,,Single,150000,48 Cold Brook Road ,NL,Atlantic region
3.0,2.0,1800.0,,Single,629000,Site 7 RR1 Main Street ,NL,Atlantic region
2.0,2.0,1437.0,,Single,69900,28 Phillips Lane ,NL,Atlantic region
3.0,2.0,1426.0,,Single,199900,22 Museum Road ,NL,Atlantic region
3.0,1.0,904.0,,Single,45000,26 Malcolm Boulevard ,NL,Atlantic region
3.0,1.0,1150.0,,Single,97500,18 Jordan Place ,NL,Atlantic region
3.0,2.0,1276.0,,Single,169900,31B Main Street ,NL,Atlantic region
4.0,2.0,1762.0,,Single,79900,39 Fault Drive ,NL,Atlantic region
3.0,1.0,1500.0,,Single,89000,180 Main Street S ,NL,Atlantic region
6.0,2.0,1780.0,,Single,150000,41 Harris Drive ,NL,Atlantic region
3.0,1.0,2152.0,,Single,69999,0 Main Street ,NL,Atlantic region
3.0,1.0,1136.0,,Single,99900,0 Western Bay Line Road ,NL,Atlantic region
5.0,3.0,2320.0,,Single,80000,10 Churchill Avenue ,NL,Atlantic region
3.0,1.0,1040.0,,Single,109900,182 MAIN Street ,NL,Atlantic region
3.0,1.0,1152.0,,Single,95000,5 Harry's Lane ,NL,Atlantic region
4.0,2.0,2306.0,,Single,110000,29 Boncloddy Street ,NL,Atlantic region
3.0,1.0,1107.0,,Single,149000,317 West Side Road ,NL,Atlantic region
5.0,2.0,2715.0,,Single,199900,45 MAIN Street ,NL,Atlantic region
5.0,4.0,3712.0,,Single,599000,80 CLEARWATER Drive ,NL,Atlantic region
3.0,2.0,1236.0,,Single,55000,30 College Street ,NL,Atlantic region
3.0,2.0,1728.0,,Single,369000,299-305 Conception Bay Highway ,NL,Atlantic region
2.0,2.0,1456.0,,Single,169000,218 O'Connell Drive ,NL,Atlantic region
3.0,1.0,1130.0,,Single,129000,3 Harbour Drive ,NL,Atlantic region
3.0,1.0,1000.0,,Residential,99900,34 Salt Pond Drive ,NL,Atlantic region
4.0,1.0,896.0,,Single,95000,52 New Settlement Hill ,NL,Atlantic region
5.0,2.0,1672.0,,Single,99500,8-10 Lakeshore Road ,NL,Atlantic region
3.0,2.0,2830.0,,Single,169000,16 Gilbert Avenue ,NL,Atlantic region
5.0,2.0,1800.0,,Single,124900,563-565 Main Road ,NL,Atlantic region
2.0,1.0,1125.0,,Single,69000,284 BAYSIDE Drive ,NL,Atlantic region
3.0,3.0,2033.0,,Single,118500,5-9 Point Bully Place ,NL,Atlantic region
3.0,1.0,945.0,,Single,69900,0 Lance Cove Road ,NL,Atlantic region
3.0,2.0,1360.0,,Single,139000,14 Water Street ,NL,Atlantic region
4.0,2.0,3000.0,,Single,169900,39 Citizens Drive ,NL,Atlantic region
2.0,2.0,950.0,,Single,149000,65 Bowater Drive ,NL,Atlantic region
3.0,2.0,1200.0,,Single,209900,102 Quay Road ,NL,Atlantic region
,,1220.0,,Single,35000,23 Main Road ,NL,Atlantic region
3.0,1.0,1186.0,,Single,99000,14 George Street ,NL,Atlantic region
1.0,1.0,1152.0,,Single,144900,140-144 MIDDLE THREE ISLAND Pond ,NL,Atlantic region
3.0,1.0,1600.0,,Single,119900,0 Garland Hill Road ,NL,Atlantic region
3.0,4.0,1300.0,,Single,90000,14 BIRCH Street ,NL,Atlantic region
3.0,3.0,2760.0,,Single,140000,27 PREMIER Avenue ,NL,Atlantic region
5.0,3.0,2600.0,,Single,209900,861 Topsail Road ,NL,Atlantic region
3.0,2.0,1500.0,,Single,139900,82 Carters Hill ,NL,Atlantic region
2.0,1.0,1840.0,,Single,141000,14 Overback Road ,NL,Atlantic region
3.0,3.0,4538.0,,Single,1490000,49 Barrows Road ,NL,Atlantic region
3.0,2.0,1500.0,,Single,150000,7 Post Office Road ,NL,Atlantic region
4.0,2.0,2290.0,,Single,119500,67 High Street ,NL,Atlantic region
6.0,3.0,2824.0,,Single,275000,7 Bennett Terrace ,NL,Atlantic region
2.0,2.0,1854.0,,Single,329000,13 Middle Bight Road ,NL,Atlantic region
4.0,2.0,1440.0,,Single,85000,59-61 Bayview Drive ,NL,Atlantic region
2.0,1.0,840.0,,Single,74900,9 Gray Avenue ,NL,Atlantic region
4.0,5.0,5081.0,,Single,989900,13 Ivys Way ,NL,Atlantic region
4.0,5.0,3256.0,,Single,525000,170 Water Street ,NL,Atlantic region
3.0,2.0,2704.0,,Residential,99000,21 Park Drive ,NL,Atlantic region
3.0,1.0,798.0,,Residential,99900,55 Southern Shore Highway ,NL,Atlantic region
3.0,1.0,2200.0,,Residential,74900,28 Spoon Cove Road ,NL,Atlantic region
2.0,1.0,990.0,,Residential,69900,731 Main St. ,NL,Atlantic region
