Beds,Bath,Sqft,Lot_Size,Type,Price,Address
,,,,Residential,2000000 CAD,"5500 OLD MILL WAY, Ottawa "
,,,,Residential,2800000 CAD,"415 MAIN ST, Winchester "
9,6,,,Residential,2498800 CAD,131 Mill 
4,4,2255,.858,Residential,2799900 CAD,1395 DICKIE SETTLEMENT Road 
5,5,,,Residential,2400000 CAD,3887 OLD HIGHWAY 17 HWY 
5,4,3032,>1.9,Residential,2795000 CAD,451 MALTBY Road E 
3,2,2980,,Residential,2500000 CAD,12 MARY Street 
5,5,,,Residential,2899900 CAD,2194 Manor Hill Dr 
3,3,1638,g>37,Residential,2199000 CAD,105 Station Road 
3,3,5227,,Residential,4500000 CAD,5471 TRAFALGAR Road 
4,5,,,Residential,2388000 CAD,95 Russel Ave 
,,,,Residential,2790000 CAD,282-292 DONALD ST 
2,1,,g>83,Residential,2699000 CAD,12373 Hwy 7 
5,5,4326,,Residential,2480000 CAD,157 COBBLESTONE PLACE Place 
3,3,,,Residential,3200000 CAD,1823 RICHARDSON SIDE RD 
3,4,3479,,Residential,2088888 CAD,1540 Stationmaster Lane 
5,3,2500,05.5,Residential,3999000 CAD,185 STATION Road 
3,3,3700,,Residential,4499000 CAD,5767 WELLINGTON ROAD 7 Road 
6,5,4163,>3.1,Residential,2885000 CAD,5917 SIXTH Line 
7,7,5000,,Residential,2999000 CAD,19 Westlake St. Clarington 
3,2,,>100,Residential,2500000 CAD,7262 STONE SCHOOL RD 
4,2,2188,>100,Residential,2499000 CAD,8886 CONCESSION 7 
3,3,2590,,Residential,2600000 CAD,6959 WOODLAWN Road 
4,3,,g>96,Residential,2200000 CAD,13974 County Road 2 
5,5,,,Residential,2299000 CAD,153 Gesher Cres 
5,2,,,Single,4950000 CAD,367 MELROSE AVE 
,,,,Residential,14900000 CAD,231 Vaughan Road 
5,4,,,Single,2888000 CAD,2 ADDISON CRES 
5,7,,,Single,4788000 CAD,285 PRINCESS AVE 
5,6,,,Residential,3880000 CAD,386 Cannought Ave 
6,5,,,Single,3250000 CAD,8 BASIL RIDGE CRT 
5,4,,,Single,2225000 CAD,27 GLENCREST BLVD 
6,9,,,Single,4088000 CAD,32 PHEASANT RD 
5,5,,,Single,2488800 CAD,99 PORT ROYAL AVE 
6,7,,,Single,4699000 CAD,245 SAVOY CRES 
5,5,,,Single,2499900 CAD,16 AINLEY Trail 
5,4,,0.72,Single,5995000 CAD,324A STANLEY HOUSE Road 
6,5,,,Residential,2220000 CAD,7268 9th Line 
6,5,,,Single,2449000 CAD,49 SWEET ANNA CRT 
5,3,,1.12,Single,3249000 CAD,4136 MCRAE PARK Road 
5,6,,1.58,Single,3749000 CAD,75 KERR'S Lane 
3,5,,,Single,2988000 CAD,206 CRAIGHURST AVE 
6,5,,,Single,2490000 CAD,22595 WARDEN AVE 
5,5,,,Single,2288000 CAD,143 WALLENBERG DR 
4,3,,,Single,7000000 CAD,2445 BAYVIEW AVE 
5,5,,,Single,3195000 CAD,4 BRAYWIN DR 
3,3,,.262,Single,2150000 CAD,8544 SMYLIE Road 
4,4,,,Single,2750000 CAD,173 CARRYING PLACE TR 
6,6,,,Single,7998000 CAD,210 DOUGLAS DR 
3,2,,,Single,3999999 CAD,6 MARYVALE CRES 
6,5,,,Single,2179000 CAD,80 TIAGO AVE 
3,4,,,Residential,3170000 CAD,46 Beresford Ave 
5,5,,,Single,2899000 CAD,25 SARAH ASHBRIDGE AVE 
3,3,,,Single,2199900 CAD,356 WELLESLEY ST E 
4,5,,,Single,2375000 CAD,49 GRAY Lane 
6,4,3785,,Residential,2299900 CAD,238 Wilderness Drive 
3,1,,,Residential,4800000 CAD,1751 Waterdown Rd 
5,4,,,Single,2095000 CAD,50 HARMONY Drive 
15,13,,,Residential,6325000 CAD,4 & 6 Oriole Gdns 
4,5,,,Residential,4250000 CAD,55 Park Ave 
5,7,,,Residential,5900000 CAD,81 Munro Blvd 
6,6,,,Single,7950000 CAD,2410 South Bay Road 
