Beds,Bath,Sqft,Lot_Size,Type,Price,Address
3,2,1200,,Residential,397700 CAD,4738 BRIDGE STREET 
4,1,,,Residential,420000 CAD,2020 6th Ave W 
4,2,1430,,Residential,499900 CAD,1581 Skead Road 
1,1,,,Residential,320000 CAD,"640 Bayport Blvd, Midland "
,,,,Residential,389000 CAD,"3274 SARSFILED ROAD, Sarsfield Ontario "
3,1,680,,Other,399000 CAD,3 - WAHBEZEE DRIVE 
,,7600,,Residential,125000 CAD,"1 Frederick St., Clinton, Ontario "
3,2,1498,,Residential,469000 CAD,97 WINNIETT Street 
2,1,1193,,Residential,369900 CAD,15 SINCLAIR Drive 
4,2,1600,,Residential,479000 CAD,14 CHARLES Street 
4,2,1124,,Residential,475000 CAD,115 JOHN Street 
3,2,,,Residential,499000 CAD,No address available 
3,4,,,Residential,499900 CAD,107 GILLESPIE CRES 
3,1,600,,Residential,169900 CAD,5 South Street 
2,1,950,,Residential,399900 CAD,11 Sauer Ave 
3,1,730,,Residential,359000 CAD,47 5TH AVE SOUTH 
3,1,1800,,Residential,479900 CAD,205 Colonial Drive 
3,1,938,,Residential,489900 CAD,328 MARLBOROUGH Street 
3,1,,1.11,Residential,369900 CAD,"2871 CONCESSION 3 N ROAD PLANTAGENET, ONTARIO "
2,2,1046,,Residential,399900 CAD,511 Weber St N 
,,,,Residential,499900 CAD,45 St Andrews Street 
4,2,,ng>3,Residential,419900 CAD,1598 Ritchance Rd. 
2,1,900,,Residential,499000 CAD,7 - MCKENZIE STREET 
3,2,,,Residential,447500 CAD,189 HANNAH ST 
2,1,805,,Residential,499900 CAD,5 GORDON Street Unit #303 
2,1,930,,Residential,439900 CAD,40 SILVERCREEK Parkway N Unit #1 
1,1,1043,.493,Residential,499000 CAD,7434 ROAD 164 
2,1,1255,,Residential,494000 CAD,166 Stanton Street 
2,2,1274,,Residential,469900 CAD,33 Lasalle St 
4,1,,,Residential,424900 CAD,147 Graham Road 
1,1,595,,Residential,499000 CAD,51 Harrison Garden Blvd 
4,2,,>0.5,Residential,475000 CAD,115 Mill St. 
,,,,Residential,474000 CAD,Georgetown 
3,2,1327,,Residential,419900 CAD,152 MCKENZIE Street E 
3,2,,,Residential,324900 CAD,15 Harris St Perth ON K7H 2Y1 
3,2,,,Residential,489900 CAD,53 WHITEGATE CRES 
4,,,,Residential,449000 CAD,17 - AH SINEESE CRESCENT 
3,2,,,Residential,399000 CAD,960 Glen St 
1,1,,,Residential,500000 CAD,Westline Condos 
,,,,Residential,500000 CAD,"MISSISSAUGA, ON// Arte Condos available for booking // Great Investment Opportunity "
3,1,1061,,Residential,399900 CAD,269 Dufferin Street 
3,2,1200,,Residential,499899 CAD,No address available 
3,2,,,Single,319900 CAD,11 BELMONT ST E 
3,2,,,Single,499900 CAD,504 BUNKER HILL Road 
3,1,,,Single,399900 CAD,166 NELSON Street 
3,3,,,Single,499900 CAD,265 GERALDINE 
2,1,,,Single,199000 CAD,1196 Curry Ave. 
2,1,,,Single,389900 CAD,40 SAMUEL Street 
3,2,,.381,Single,484900 CAD,4989 38 Road 
4,1,,,Single,165900 CAD,3001 COUNTY RD 29 ROAD 
2,1,,,Single,249000 CAD,1368 St. Luke 
3,2,,,Single,289000 CAD,268 Albinson Street 
3,1,,,Single,356000 CAD,48 GRIER ST 
3,2,,,Single,269900 CAD,1839 GLADSTONE 
,2,,,Single,349900 CAD,3895 FIRELANE 14
1,1,,,Single,37900 CAD,7489 SIDEROAD 5 E Unit5 TAMARAK
3,1,,,Single,279900 CAD,6414 VICTORIA Avenue 
3,2,,,Single,199000 CAD,309 Pim ST 
3,2,1079,,Single,500000 CAD,29 MORGAN Road 
3,2,1329,,Single,475000 CAD,675 OPTIMIST STREET 
3,2,,,Single,289900 CAD,138 Henrietta AVE 
3,2,,,Single,487500 CAD,270 JOHN Street W 
2,1,,,Residential,165000 CAD,296 Birch  St S 
3,1,,,Single,449000 CAD,164 HOMEWOOD Avenue 
3,2,,,Single,399900 CAD,303 RONALD Street 
3,2,,,Single,159900 CAD,13 Bloor 
2,1,,>0.2,Single,499900 CAD,5 ROOSEVELT Street 
2,3,,,Single,444900 CAD,33 BERGERON PRIVATE 
2,1,,,Single,279900 CAD,22 MECHANIC STREET W 
3,2,,,Single,229900 CAD,356 Balsam ST S 
3,1,,,Single,235900 CAD,636 DURRIL Street 
3,2,,,Single,399000 CAD,523 VICTORIA Place 
4,3,,,Single,379900 CAD,1065 Langlois 
3,2,,,Single,385000 CAD,143 Glendale Avenue 
2,1,,,Single,474900 CAD,5361 HOUCK Drive 
4,1,,,Single,399900 CAD,16 MATILDA ST 
3,2,,,Residential,389900 CAD,185 Teal Cres 
1,1,,2.29,Single,269900 CAD,831 ORIN ROAD 
