Beds,Bath,Sqft,Lot_Size,Type,Price,Address,Province,Region
4.0,3.0,,,Residential,900000.0,Saint-Laurent ,QC,Central Canada
1.0,1.0,692.0,,Residential,230000.0,3810 Notre-Dame ,QC,Central Canada
1.0,,715.0,,Residential,550000.0,René-Levesque Ouest ,QC,Central Canada
6.0,3.0,,,Residential,1100000.0,103 rue Denault ,QC,Central Canada
4.0,1.0,1880.0,,Residential,1083000.0,456 Sebastopol ,QC,Central Canada
2.0,2.0,130028.0,,Residential,475000.0,5740 Av. Rembrandt ,QC,Central Canada
4.0,5.0,4300.0,.244,Residential,3390000.0,Chemin du Bord-du-lac. Lakeshore ,QC,Central Canada
1.0,1.0,578.0,,Residential,428900.0,Crescent street ,QC,Central Canada
,1.0,470.0,,Residential,300000.0,4295 Beaubien Est ,QC,Central Canada
1.0,1.0,603.0,,Residential,457000.0,René-Levesque Ouest ,QC,Central Canada
1.0,1.0,564.0,,Residential,299000.0,4295 Beaubien Est ,QC,Central Canada
2.0,2.0,1200.0,,Residential,600000.0,100 André-Prevost ,QC,Central Canada
3.0,2.0,,0.12,Residential,699000.0,1185 crois sabourin ,QC,Central Canada
3.0,2.0,1600.0,,Residential,699000.0,8245 Boul. St-Laurent ,QC,Central Canada
2.0,2.0,945.0,,Residential,398000.0,7275 Lunan ,QC,Central Canada
2.0,1.0,1061.0,,Residential,399000.0,1222 Rue Ste-Élisabeth ,QC,Central Canada
5.0,3.0,,,Residential,998000.0,975 rembrandt ,QC,Central Canada
4.0,2.0,,,Residential,668000.0,1965 Jacques-Hertel ,QC,Central Canada
2.0,1.0,810.0,,Residential,439000.0,3608 ,QC,Central Canada
1.0,1.0,675.0,,Residential,259000.0,5700 boulevard Cavendish ,QC,Central Canada
2.0,1.0,900.0,,Residential,359000.0,3845 Rue Emma-Collin #202 ,QC,Central Canada
3.0,1.0,1100.0,,Single,150000.0,8 Rue de la Côte ,QC,Central Canada
3.0,1.0,,0.31,Residential,269900.0,2630 Mtée Major ,QC,Central Canada
3.0,4.0,,.536,Residential,3875000.0,1681 Rue de la Seigneurie ,QC,Central Canada
3.0,1.0,,.171,Residential,189900.0,34 Rue Martel ,QC,Central Canada
3.0,2.0,,.137,Residential,479900.0,3837 Av. François-Foucault ,QC,Central Canada
5.0,2.0,,.186,Other,499900.0,21 Desc. de la Côte-Double ,QC,Central Canada
3.0,1.0,,.164,Residential,499900.0,1060Z Rue St-Georges (Longueuil) ,QC,Central Canada
3.0,3.0,2175.0,,Residential,1249000.0,3640 Rue Jeanne-Mance #PH305 ,QC,Central Canada
3.0,1.0,,0.39,Residential,239000.0,26 415e Avenue ,QC,Central Canada
4.0,3.0,,,Single,1100000.0,21 CHEMIN DU REFUGE ,QC,Central Canada
3.0,3.0,,,Single,888000.0,23 CHEMIN DU REFUGE ,QC,Central Canada
3.0,1.0,128844.0,,Residential,360000.0,8179 Rue Joséphine-Marchand ,QC,Central Canada
3.0,2.0,157498.0,.106,Other,644800.0,24 Rue Merlin ,QC,Central Canada
4.0,2.0,172804.0,.248,Residential,514000.0,54 Rue Morin ,QC,Central Canada
3.0,2.0,112504.0,.059,Residential,249900.0,132 Rue de la Terrasse-Eardley ,QC,Central Canada
3.0,1.0,,.139,Residential,219900.0,26 102e Avenue ,QC,Central Canada
2.0,1.0,,.207,Residential,249000.0,117 104e Avenue ,QC,Central Canada
5.0,2.0,,.107,Residential,649000.0,5885 Boul. Robert ,QC,Central Canada
3.0,1.0,,.101,Residential,549900.0,878 Rue Hyacinthe-Hudon ,QC,Central Canada
1.0,1.0,,0.08,Other,1200000.0,2521 Rue Bossuet ,QC,Central Canada
2.0,1.0,961.0,,Residential,300000.0,937 Boul. Jean-Paul-Vincent #2 ,QC,Central Canada
4.0,2.0,,.347,Residential,549000.0,8635 Rue Desrosiers ,QC,Central Canada
4.0,2.0,197496.0,.512,Residential,645000.0,78 Rue Venne ,QC,Central Canada
5.0,4.0,3084.0,.148,Residential,3150000.0,386 Ch. de la Côte-Ste-Catherine ,QC,Central Canada
3.0,4.0,,.495,Residential,1249000.0,65 Rue de la Montagne ,QC,Central Canada
3.0,2.0,1240.0,.918,Single,374900.0,132 Ch. des Mésanges ,QC,Central Canada
2.0,1.0,922.0,,Residential,499000.0,4539 Rue Parthenais ,QC,Central Canada
4.0,2.0,217603.0,.211,Residential,349900.0,597 Rue Chamberland ,QC,Central Canada
4.0,2.0,211123.0,.149,Residential,425000.0,4358 Rue D'Angoulême ,QC,Central Canada
3.0,3.0,,,Single,1288000.0,22 CHEMIN DU REFUGE ,QC,Central Canada
3.0,3.0,1232.0,,Residential,220000.0,150 Ch. au Pied-de-la-Montagne #328-D ,QC,Central Canada
1.0,,40752.0,.321,Residential,49000.0,1101 Rang E. ,QC,Central Canada
1.0,1.0,747.0,,Residential,369000.0,550 Boul. de la Côte-Vertu #204 ,QC,Central Canada
4.0,1.0,,,Residential,299000.0,1688 Boul Lorrain  ,QC,Central Canada
5.0,2.0,,.175,Residential,569900.0,4955 Rue Montigny ,QC,Central Canada
4.0,1.0,,.139,Residential,497000.0,560 Rue Choinière ,QC,Central Canada
3.0,2.0,2741.0,,Residential,2280000.0,6301 Place Northcrest #PH-R1 ,QC,Central Canada
