Beds,Bath,Sqft,Lot_Size,Type,Price,Address,Province,Region
2.0,1.0,1096.0,.132,Residential,49000,120 2nd STREET E ,SK,Prairie Provinces
1.0,2.0,1196.0,.072,Residential,139900,1020 Rae STREET ,SK,Prairie Provinces
2.0,1.0,972.0,,Residential,55000,313 Main STREET ,SK,Prairie Provinces
2.0,1.0,960.0,,Residential,59000,4701 Telegraph STREET ,SK,Prairie Provinces
3.0,2.0,1024.0,.138,Residential,175000,1010 105th AVENUE ,SK,Prairie Provinces
6.0,3.0,1458.0,0.28,Farm,366000,Potuer Home Quarter - RM 69 ,SK,Prairie Provinces
2.0,1.0,826.0,.152,Residential,49900,205 2nd STREET NE ,SK,Prairie Provinces
2.0,1.0,1580.0,,Residential,99500,302 Bounty STREET ,SK,Prairie Provinces
3.0,4.0,1698.0,>0.3,Residential,259000,104 JACKSON PLACE ,SK,Prairie Provinces
2.0,1.0,816.0,.135,Residential,85499,530 Main STREET ,SK,Prairie Provinces
4.0,2.0,1056.0,.138,Residential,100000,214 Souris AVENUE ,SK,Prairie Provinces
1.0,1.0,850.0,.287,Residential,79900,108 1st AVENUE E ,SK,Prairie Provinces
4.0,5.0,3229.0,0.07,Residential,2480000,5600 Clarence AVENUE S ,SK,Prairie Provinces
3.0,2.0,798.0,,Residential,149000,609 Hill AVENUE ,SK,Prairie Provinces
2.0,1.0,748.0,0.14,Residential,88900,328 RAILWAY AVENUE E ,SK,Prairie Provinces
3.0,1.0,1052.0,9.59,Residential,119900,39511 Range Road 3025 ,SK,Prairie Provinces
1.0,1.0,768.0,.138,Residential,40000,38 Broadway STREET ,SK,Prairie Provinces
3.0,1.0,1144.0,.103,Residential,150000,1011 Idylwyld DRIVE N ,SK,Prairie Provinces
1.0,1.0,676.0,,Other,199500,"59 Walleye Way, Prairie Lake Regional Park ",SK,Prairie Provinces
4.0,3.0,2622.0,8.74,Residential,599900,Garden River Acreage ,SK,Prairie Provinces
5.0,2.0,1382.0,58.9,Farm,899999,Rolston Farm Home Quarter ,SK,Prairie Provinces
2.0,1.0,866.0,,Residential,119000,22 Main STREET ,SK,Prairie Provinces
4.0,2.0,1328.0,.209,Residential,189900,311 Finley AVENUE ,SK,Prairie Provinces
3.0,1.0,816.0,,Residential,75000,211 2nd Avenue W ,SK,Prairie Provinces
1.0,1.0,676.0,,Residential,199500,59 Walleye WAY ,SK,Prairie Provinces
4.0,2.0,832.0,.313,Residential,29000,1105 Grand AVENUE ,SK,Prairie Provinces
3.0,1.0,1070.0,.143,Residential,219000,303 Burrows AVENUE W ,SK,Prairie Provinces
2.0,1.0,1580.0,,Residential,99500,"302 Bounty Street, Conquest ",SK,Prairie Provinces
4.0,2.0,880.0,.231,Residential,79000,906 Elsinore STREET ,SK,Prairie Provinces
3.0,2.0,1090.0,.165,Residential,75000,678 3rd STREET W ,SK,Prairie Provinces
2.0,1.0,704.0,.152,Residential,79900,126 9th STREET ,SK,Prairie Provinces
3.0,1.0,1288.0,.275,Residential,149900,202-204 John STREET ,SK,Prairie Provinces
2.0,1.0,816.0,.161,Residential,64900,145 5th AVENUE E ,SK,Prairie Provinces
3.0,1.0,888.0,.138,Residential,54900,212 1st STREET E ,SK,Prairie Provinces
5.0,2.0,1120.0,0.22,Residential,200000,753 Centre STREET ,SK,Prairie Provinces
3.0,1.0,1143.0,.139,Residential,185000,46 Foxglove Cres ,SK,Prairie Provinces
2.0,1.0,872.0,,Residential,39900,305 3rd STREET E ,SK,Prairie Provinces
