Beds,Bath,Sqft,Lot_Size,Type,Price,Address
4,3,2601,,Residential,799999 CAD,1324 14th st e 
6,3,3664,>0.2,Residential,2099900 CAD,3509 Green Brook ROAD 
3,2,2148,,Residential,825000 CAD,1326 14th st e 
3,2,1830,8.52,Residential,629000 CAD,Osler Acreage 
3,3,1292,0.27,Residential,459000 CAD,346 18th STREET 
4,4,1650,,Residential,569000 CAD,157 Delaet DRIVE 
5,1,1239,>9.3,Residential,559000 CAD,Lumsden Acreage No.189 
4,2,1440,.128,Residential,462500 CAD,330 Maple STREET 
9,3,3183,58.8,Residential,729900 CAD,Saccucci Acreage 
4,3,1176,.279,Residential,449900 CAD,1236 Tatanka DRIVE 
5,4,2559,.172,Residential,894500 CAD,9239 Wascana MEWS 
4,3,1620,.138,Residential,409000 CAD,1634 Longworthy BAY E 
4,4,1319,,Residential,419900 CAD,908 Reimer ROAD 
6,4,3864,.271,Residential,1100000 CAD,46 Sunset WAY 
6,3,1175,0.12,Residential,524900 CAD,2142 Rosewood DRIVE 
3,2,1450,,Residential,489999 CAD,1325 6th ave N 
3,2,1413,27.9,Residential,499900 CAD,Rudyck Acreage 
4,3,2521,.207,Residential,599900 CAD,135 Calypso DRIVE 
5,4,1507,.215,Residential,499900 CAD,2127 Coralroot WAY 
4,3,1458,0.34,Residential,624900 CAD,1240 Tatanka DRIVE 
4,2,1198,.161,Residential,524900 CAD,1222 15th STREET E 
4,4,1623,.092,Residential,769900 CAD,1229 15th STREET E 
5,3,1756,.215,Residential,459900 CAD,841 10th AVENUE NE 
,3,1090,.925,Residential,466000 CAD,2015 1st STREET N 
5,3,1359,.107,Residential,449900 CAD,550 Geary CRESCENT 
3,2,1776,,Residential,599999 CAD,825 osborne st 
3,3,1674,.136,Residential,479000 CAD,2006 Truesdale DRIVE E 
6,3,3034,0.17,Residential,969900 CAD,5C Simon Lehne DRIVE 
6,4,2259,6.65,Residential,729000 CAD,123 Metanczuk ROAD 
5,3,1161,,Residential,499900 CAD,323 Rosewood Boulevard West 
3,2,1555,,Residential,559900 CAD,523 4th st E 
3,2,1563,0.68,Residential,439900 CAD,125 Eagle DRIVE 
3,1,1456,,Residential,424999 CAD,lot 12 Lakeshore DRIVE 
5,3,1502,0.14,Residential,429900 CAD,415 Plains COURT 
5,3,2084,.224,Residential,545000 CAD,33 Warren STREET 
4,3,2465,,Residential,714900 CAD,120 Forsey Ave 
6,4,2012,.166,Residential,599900 CAD,2503 Philip ROAD E 
2,1,810,>798,Farm,1299000 CAD,"RM's Buchanan, Invermay and Preeceville Farms "
4,2,1220,4.23,Residential,1050000 CAD,Wiebe Acreage 
5,3,1218,,Residential,519900 CAD,127 Senick CRESCENT 
4,3,2527,,Residential,719900 CAD,718 Kenaschuk Link 
4,3,1493,>158,Residential,924900 CAD,RM LUMSDEN SEC 18 TWP 20 RGE 21 W2 
4,3,1762,.227,Residential,589000 CAD,422 Lakeview DRIVE 
3,3,1494,,Residential,412000 CAD,1003 Kolynchuk Crescent 
6,3,1876,9.83,Residential,647000 CAD,#2 Darby Road 
4,3,1375,.116,Residential,509900 CAD,1211 Rempel CRESCENT 
3,3,1485,.138,Residential,499000 CAD,302 Blackthorn CRESCENT 
5,3,1139,,Residential,464900 CAD,686 Lehrer CRESCENT 
4,4,1980,4.52,Residential,494900 CAD,5 William STREET 
5,4,2376,.148,Residential,499000 CAD,3110 Parkland DRIVE E 
4,4,2535,.128,Residential,999900 CAD,643 Kenaschuk CRESCENT 
4,3,1333,,Residential,499900 CAD,124 Kinsmen CRESCENT 
3,2,1680,1.03,Residential,449900 CAD,4 Connor ROAD 
3,3,1484,.081,Residential,429900 CAD,235 Thakur STREET 
4,3,1396,0.28,Residential,1299000 CAD,174 S Katepwa DRIVE S 
5,4,1227,.115,Residential,459000 CAD,3878 33rd STREET W 
5,2,1227,.072,Residential,419900 CAD,5228 AERIAL CRESCENT 
5,4,2451,.172,Residential,689000 CAD,660 Barber CRESCENT 
4,4,1286,.088,Residential,429999 CAD,466 Henick CRESCENT 
4,2,2306,.197,Residential,550000 CAD,109 Henny STREET 
5,4,2224,.103,Residential,599900 CAD,5217 Canuck CRESCENT 
4,3,1903,.191,Residential,729900 CAD,6016 Little Pine LOOP 
4,4,1607,,Residential,439000 CAD,3684 Green Bank ROAD 
4,4,1870,.127,Residential,519900 CAD,279 Kucey TERRACE 
4,3,1124,.133,Residential,425000 CAD,302 J.J. Thiessen WAY 
4,3,2232,0.61,Residential,799900 CAD,732 Pasqua Lake ROAD 
5,2,1014,.138,Residential,429900 CAD,1313 Elevator ROAD 
4,3,1796,.139,Residential,878800 CAD,4419 Wolf Willow PLACE 
4,3,1328,,Residential,509900 CAD,130 Kinsmen Crescent 
3,3,1630,.173,Residential,564900 CAD,1157 Meier DRIVE 
4,3,1511,2.07,Residential,479900 CAD,257 Pine STREET 
6,3,1248,.156,Residential,795000 CAD,32 Oskunamoo DRIVE 
3,3,1312,0.18,Residential,425000 CAD,24 HUMBOLDT LAKE DRIVE 
4,3,2622,8.74,Residential,599900 CAD,Garden River Acreage 
,,2550,ng>1,Residential,899900 CAD,1 Pine Point Lodge & Outpost 
3,3,1290,0.19,Residential,449900 CAD,3 Blue Heron PLACE 
3,3,1557,.193,Residential,429900 CAD,1360 LaCroix CRESCENT 
3,1,910,,Residential,724900 CAD,414 Kingsmere DRIVE 
3,3,1088,0.98,Residential,424900 CAD,114 Crestview DRIVE 
4,3,1127,0.22,Residential,739000 CAD,609 Cedar Close 
3,2,2500,,Residential,649900 CAD,9 Pelican Pass 
3,3,2783,0.54,Residential,698900 CAD,1275 Highwood AVENUE 
4,4,1455,,Residential,459900 CAD,479 Kloppenburg STREET 
5,3,1770,,Residential,629800 CAD,215 Willowgrove BOULEVARD 
3,3,2444,.166,Residential,845000 CAD,2544 Albert STREET 
3,2,1329,0.18,Residential,995000 CAD,41 Jackfish Lake CRESCENT 
2,2,1214,0.64,Residential,449900 CAD,701 Tatanka DRIVE 
4,4,1700,,Residential,549900 CAD,169 Dubois CRESCENT 
3,3,1330,,Residential,419900 CAD,128 Bouchard LANE 
5,3,1596,,Residential,475000 CAD,656 Barber CRESCENT 
3,3,1197,.143,Residential,400000 CAD,3861 Athol STREET 
3,4,1605,.126,Residential,514900 CAD,106 Wilkins CRESCENT 
4,2,1600,8.32,Residential,699900 CAD,Rocheleau Ranch 
3,1,1350,0.19,Residential,449900 CAD,45 McCrimmon CRESCENT 
4,5,3229,0.07,Residential,2899000 CAD,5600 Clarence AVENUE S 
5,7,2836,.126,Residential,2990000 CAD,832 Saskatchewan CRESCENT E 
5,4,4542,1.14,Residential,824900 CAD,110 4th STREET 
5,4,2035,.128,Residential,639900 CAD,1414 Paton CRESCENT 
4,2,2259,.321,Residential,419000 CAD,283 2nd AVENUE E 
3,3,1400,.379,Residential,409000 CAD,50 BAUN STREET 
4,2,2310,1.37,Residential,479900 CAD,101 Aspen WAY 
3,3,2564,0.26,Residential,639000 CAD,20 Humboldt Lake DRIVE 
3,3,2223,.206,Residential,2100000 CAD,8099 Wascana Gardens CRESCENT 
3,3,1684,.088,Residential,496900 CAD,5622 Norseman CRESCENT 
