Beds,Bath,Sqft,Price,Address,Province,Region
5.0,2.0,2721.0,690000.0,2591 Clarence Road ,NS,Atlantic region
5.0,3.0,3000.0,1295000.0,1218 Lake Pleasant Rd ,NS,Atlantic region
3.0,2.0,1008.0,895000.0,6471 No. 19 Highway ,NS,Atlantic region
8.0,7.0,4648.0,850000.0,473 Upper River John Road ,NS,Atlantic region
2.0,1.0,730.0,350000.0,155 Ponhook Shore Road ,NS,Atlantic region
4.0,3.0,1590.0,199900.0,2302 Hwy 1 ,NS,Atlantic region
3.0,1.0,1022.0,110000.0,519 Highway 8 ,NS,Atlantic region
3.0,1.0,1652.0,349900.0,46 Haughn's Road ,NS,Atlantic region
3.0,3.0,1839.0,750000.0,55 Lake Shore Drive ,NS,Atlantic region
6.0,5.0,4012.0,495000.0,147 Highway 8 ,NS,Atlantic region
2.0,1.0,826.0,169000.0,121 Mount Pleasant Road ,NS,Atlantic region
2.0,1.0,675.0,99900.0,5 Hillside Drive ,NS,Atlantic region
3.0,2.0,2540.0,699000.0,7385 Highway 3 ,NS,Atlantic region
3.0,2.0,1512.0,375000.0,1167 Brooklyn Shore Road ,NS,Atlantic region
2.0,1.0,826.0,169000.0,121 Mount Pleasant Road ,NS,Atlantic region
3.0,1.0,1073.0,199000.0,31 College Street ,NS,Atlantic region
4.0,3.0,2400.0,1390000.0,697 Belmont Road ,NS,Atlantic region
4.0,2.0,2642.0,299900.0,484 Main Street ,NS,Atlantic region
3.0,1.0,1566.0,279000.0,32 Union Street ,NS,Atlantic region
3.0,1.0,1041.0,175000.0,7048 Highway 3 ,NS,Atlantic region
3.0,2.0,2010.0,1575000.0,2969 Highway 1 ,NS,Atlantic region
2.0,1.0,725.0,159000.0,145 Lewiston Road ,NS,Atlantic region
6.0,5.0,3604.0,595000.0,677 Bangor Road ,NS,Atlantic region
2.0,2.0,800.0,199900.0,106 Cochrane Road ,NS,Atlantic region
