Beds,Bath,Sqft,Lot_Size,Type,Price,Address,Province,Region
2.0,1.0,775.0,,Residential,89900 CAD,4912 49 ave ,AB,Prairie Provinces
4.0,2.0,1136.0,,Residential,170000 CAD,5207 Sunset Drive ,AB,Prairie Provinces
,,262.0,0.46,Residential,160000 CAD,316 461032 HWY 13 ,AB,Prairie Provinces
3.0,2.0,1750.0,,Residential,195000 CAD,5018 Alexander Ave. ,AB,Prairie Provinces
2.0,1.0,76424.0,,Residential,79900 CAD,4908 49 Ave ,AB,Prairie Provinces
2.0,2.0,1120.0,0.15,Residential,150000 CAD,54 McAlpine Crescent ,AB,Prairie Provinces
1.0,1.0,700.0,0.12,Residential,41900 CAD,4901 46 Avenue ,AB,Prairie Provinces
2.0,2.0,12.0,0.15,Residential,189900 CAD,4415 45a ,AB,Prairie Provinces
3.0,2.0,1343347.0,,Single,97000 CAD,10770 Winterburn RD NW 1504,AB,Prairie Provinces
3.0,1.0,952.0,,Single,49900 CAD,"84, 4000 13 Avenue SE 84",AB,Prairie Provinces
3.0,1.0,999976.0,,Single,127900 CAD,4238 1st AV ,AB,Prairie Provinces
2.0,1.0,1071987.0,,Single,56000 CAD,305 CALAHOO RD 4,AB,Prairie Provinces
1.0,1.0,933.0,.485,Single,89900 CAD,204 1  Street ,AB,Prairie Provinces
1.0,1.0,864.0,,Single,54900 CAD,23 Evergreen Mobile Park ,AB,Prairie Provinces
2.0,2.0,628833.0,.096,Single,137900 CAD,12636 71 ST NW ,AB,Prairie Provinces
3.0,1.0,980.0,,Single,39900 CAD,"#226, 2300 13 Street N 226",AB,Prairie Provinces
3.0,1.0,1235922.0,.138,Single,99000 CAD,52 ST 5012,AB,Prairie Provinces
1.0,1.0,685.0,0.14,Single,127500 CAD,9305 107 Avenue ,AB,Prairie Provinces
2.0,1.0,714.0,,Single,48000 CAD,"33, 2248 Southview Drive SE 33",AB,Prairie Provinces
2.0,1.0,1152.0,.161,Single,109900 CAD,718 5 Avenue ,AB,Prairie Provinces
3.0,2.0,1444.0,1.89,Single,199000 CAD,406 3 Street E ,AB,Prairie Provinces
2.0,1.0,810099.0,0.16,Single,199900 CAD,49 ST 4715,AB,Prairie Provinces
3.0,2.0,1336.0,,Single,114900 CAD,"#47, 1410 43 Street S 47",AB,Prairie Provinces
3.0,1.0,945.0,.144,Single,189900 CAD,236 11 Street SW ,AB,Prairie Provinces
3.0,1.0,980.0,,Other,39900 CAD,2300 13 Street N 226,AB,Prairie Provinces
3.0,1.0,1277.0,0.17,Residential,154000 CAD,209 3 Avenue ,AB,Prairie Provinces
3.0,2.0,1136.0,.298,Single,169950 CAD,303 3RD STREET ,AB,Prairie Provinces
3.0,2.0,120408.0,,Single,49900 CAD,149 Heritage Drive ,AB,Prairie Provinces
3.0,1.0,1199971.0,,Single,124900 CAD,51 AV 4703,AB,Prairie Provinces
3.0,2.0,1114.0,.146,Single,195000 CAD,6914 94 Street ,AB,Prairie Provinces
2.0,1.0,690.0,4.62,Residential,139900 CAD,16356 Birch Grove Road ,AB,Prairie Provinces
3.0,2.0,1520.0,,Other,155000 CAD,10615 88 Street 358,AB,Prairie Provinces
2.0,1.0,988.0,,Residential,99900 CAD,5226 Victoria Ave ,AB,Prairie Provinces
2.0,1.0,1037.0,,Residential,143500 CAD,10404 24 Ave NW ,AB,Prairie Provinces
3.0,1.0,1150.0,0.21,Residential,129900 CAD,4814 53 Avenue ,AB,Prairie Provinces
2.0,1.0,1280.0,0.23,Residential,159900 CAD,9910 98 Street ,AB,Prairie Provinces
3.0,2.0,1004.0,0.23,Residential,174900 CAD,5005 47 Avenue ,AB,Prairie Provinces
6.0,2.0,1200.0,,Residential,175000 CAD,5030 40 Street ,AB,Prairie Provinces
,,599.0,,Residential,55000 CAD,4924-49ave ,AB,Prairie Provinces
,,,1.26,Residential,88000 CAD,"404, 54411 - RR 40 ",AB,Prairie Provinces
3.0,2.0,1457.0,,Residential,149900 CAD,5413 56 Street ,AB,Prairie Provinces
2.0,1.0,840.0,,Other,39900 CAD,2300 13 Street N 61,AB,Prairie Provinces
3.0,1.0,118404.0,.067,Residential,169900 CAD,5614 148 ST ,AB,Prairie Provinces
2.0,1.0,725.0,,Residential,169900 CAD,11917 103 st ,AB,Prairie Provinces
,,,1.18,Residential,87000 CAD,"408, 54411 - RR 40 ",AB,Prairie Provinces
2.0,1.0,89556.0,,Residential,165000 CAD,"32, 3224 TWP 552 ",AB,Prairie Provinces
2.0,1.0,840.0,,Residential,125000 CAD,5714 55 street ,AB,Prairie Provinces
2.0,2.0,964.0,,Residential,189900 CAD,1818 Simcoe Boulevard SW ,AB,Prairie Provinces
4.0,2.0,1174.0,.154,Residential,187500 CAD,"10409 114 Street Fairview, AB T0H 1L0 ",AB,Prairie Provinces
3.0,1.0,,,Residential,178000 CAD,536 3 Street Suffield ,AB,Prairie Provinces
3.0,2.0,1054.0,0.14,Residential,148000 CAD,330 Hankel Court ,AB,Prairie Provinces
2.0,1.0,720.0,0.14,Residential,122000 CAD,4811 52 Avenue ,AB,Prairie Provinces
