Beds,Bath,Sqft,Lot_Size,Type,Price,Address
4,4,2114911,.098,Single,488900 CAD,141 Keyport CI 
5,3,1396,,Residential,459900 CAD,14422 104 av 
3,1,142881,0.53,Residential,475000 CAD,89 61076 TWP RD 462 A 
4,2,1180,1.49,Residential,410000 CAD,752014 RGE RD 90 
3,2,1232,.163,Residential,439900 CAD,10807 44 ST. 
3,2,7793,0.67,Residential,435000 CAD,"58, 55061 TWP RD 462 "
4,4,1783,0.11,Residential,459900 CAD,7306 89 Street 
4,3,1890,.115,Single,469900 CAD,386 Somerside Park SW 
3,3,2011361,.092,Single,489900 CAD,16136 141 ST NW 
5,3,1381021,.106,Single,439900 CAD,15207 44 ST NW 
3,3,1622,.101,Single,460000 CAD,141 Coville Crescent NE 
3,3,2010,0.15,Residential,485000 CAD,727 700 Ramage Close 
3,3,1877242,.119,Single,439854 CAD,98 WALTERS PL 
4,4,2065612,0.39,Single,485000 CAD,49113 RR 73 
4,4,1928,0.07,Single,474900 CAD,204 Copperpond Parade SE 
5,3,1160,.094,Single,439900 CAD,48 Riverbirch Bay SE 
5,2,1136033,.131,Single,402500 CAD,7107 83 AV NW 
5,2,1146689,>0.1,Single,468500 CAD,9321 95 ST NW 
4,3,1280055,,Single,499900 CAD,105 AV 9412
3,1,753,.107,Single,449900 CAD,253 22 Avenue NW 
4,3,121682,.094,Single,464900 CAD,88 Citadel Estates Terrace NW 
4,3,1306965,.087,Single,459900 CAD,13130 162A AV NW 
3,3,1369,.071,Single,424000 CAD,122 Ravenstern Crescent SE 
3,2,1217408,.311,Single,449900 CAD,10 GARDEN VALLEY DR 
4,4,1735,0.12,Residential,449900 CAD,7 Doran Crescent 
3,3,1613954,.109,Single,419900 CAD,1882 TOWNE CENTRE BV NW 
3,3,1734,.115,Single,474900 CAD,243 Lalor Drive 
4,4,1459,.098,Single,419900 CAD,975 Prairie Springs Drive SW 
3,3,1586937,.078,Single,434900 CAD,20631 99B AV NW 
3,1,1496,20.7,Single,460000 CAD,730075  Range Road 54 
4,2,112167,0.08,Single,439000 CAD,147 Arbour Stone Place NW 
5,2,1044,.115,Single,409900 CAD,187 Manora Hill NE 
3,3,1402011,.099,Single,414880 CAD,1815 37 AV NW 
3,3,1951,.132,Single,489900 CAD,52 Harvest Park Road NE 
4,4,1920,.131,Single,459900 CAD,9 Sunset Drive SW 
3,2,1243,0.08,Single,444500 CAD,915 Riverbend Drive SE 
5,3,1284145,.029,Single,473900 CAD,16429 106 AV NW 
4,4,1536,.066,Single,469900 CAD,33 Sage Bank Grove NW 
4,3,1607,.122,Single,459900 CAD,7033 86 Street 
3,3,1006,.096,Single,465000 CAD,488 Bracewood Crescent SW 
3,3,214848,.095,Single,499900 CAD,97 Memorial Parkway 
3,3,1560134,.069,Single,439000 CAD,8539 223 ST NW 
4,4,2029014,.104,Single,484900 CAD,78 ACADIAN WD 
3,3,199461,.083,Single,489900 CAD,93 Memorial Parkway 
4,2,1077,.117,Single,444999 CAD,9427 Academy Drive SE 
4,2,1055,.115,Single,499900 CAD,92 Westover Drive SW 
4,3,1905228,.091,Single,449900 CAD,11125 96 ST NW 
4,3,1917,.149,Single,489000 CAD,379 New Brighton Place SE 
5,3,129577,.179,Single,424900 CAD,138 Grandin RD 
3,2,811,.138,Single,499900 CAD,419 33 Avenue NW 
4,4,2058,.115,Single,430000 CAD,147 Templevale Place NE 
5,3,1012,0.07,Single,428888 CAD,42 Taralake Gardens NE 
4,2,11398,.138,Single,448000 CAD,10948 148 ST NW 
3,3,1520,.094,Single,448000 CAD,75 Royal Birch Manor NW 
4,3,1123,.115,Single,449000 CAD,664 Whiteridge Road NE 
3,3,1416,.068,Single,420000 CAD,19 Woodglen Crescent SW 
4,3,1441515,.108,Single,419900 CAD,4827 190A ST NW 
4,2,1120,0.17,Residential,474000 CAD,85 Selkirk Boulevard 
3,3,14742,.137,Single,425000 CAD,831 Stonehaven Drive 
3,4,1563579,.125,Single,419900 CAD,93 AV 8222
4,4,816,.088,Single,499900 CAD,130 Heritage Drive 
3,3,1875842,.124,Single,447500 CAD,13 EVERGREEN CL 
3,2,105857,.146,Single,494500 CAD,5619 Buckthorn Road NW 
3,2,102258,,Single,449000 CAD,11303 111A AV NW 
3,2,88735,.069,Single,449000 CAD,320 7 Avenue NE 
5,3,1352,.115,Single,424500 CAD,151 Isherwood Close 
4,3,1382743,.143,Single,449500 CAD,2 LAKEVISTA PT 
3,4,1743768,.095,Single,474900 CAD,69 RED CANYON WY 
4,3,1558,.205,Single,430000 CAD,11336 112 Ave 
4,3,1320,.125,Single,414900 CAD,1816 61 Avenue 
3,3,1350,.075,Single,444900 CAD,619 Panora Way NW 
3,3,19134,.091,Single,489000 CAD,166 Buckskin Way 
3,3,1942579,.081,Single,425000 CAD,679 SECORD BV NW 
4,4,1458,.075,Single,469900 CAD,27 Taralake Rise NE 
4,4,1669,.078,Single,499900 CAD,86 Lanterman Close 
4,3,1311,>0.2,Residential,449000 CAD,550 Mary Cameron Crescent N 
4,4,170756,.094,Single,479900 CAD,78 Brightonstone Grove SE 
4,3,1365,.165,Single,449900 CAD,35 Reighley Close 
5,3,1416,.123,Single,429000 CAD,3911 71 Avenue 
4,3,1417081,.069,Single,445000 CAD,8012 110 ST NW 
3,4,183369,.121,Single,439900 CAD,334 Santana Mews NW 
3,3,1994,.096,Single,499500 CAD,11 Bridlerange Circle SW 
4,2,1063483,.126,Single,484900 CAD,6111 95 AV NW 
5,4,1720,0.16,Residential,439900 CAD,681 Spruce Way SE 
4,2,1061,.096,Single,439900 CAD,6031 4 Street NE 
3,3,1224,0.21,Residential,450000 CAD,4725 59 Street 
5,3,1668,.092,Single,445000 CAD,121 Northlander Bend W 
3,2,94855,.128,Single,424999 CAD,316 Lynnover Way SE 
4,4,1574,0.12,Residential,425000 CAD,8710 Willow Drive 
6,3,148185,.129,Single,475000 CAD,2403 Vista Crescent NE 
5,2,2640,>1.1,Residential,405000 CAD,140 Eagle Ridge Drive 
3,2,1015,,Residential,429900 CAD,74 Hill Drive 
3,2,2106,,Residential,439900 CAD,165064 Twp Rd 710 
3,3,2190,,Residential,490000 CAD,1432 McAlpine Street 
4,3,1646,,Residential,439900 CAD,10863 93 ST NW 
5,3,1064,,Residential,439900 CAD,174081 Hwy 855 Highway 
5,3,1484,>0.3,Residential,464000 CAD,10620 85 Street 
6,4,2872,0.18,Residential,480000 CAD,7002 99 Street 
4,3,1256,,Residential,484800 CAD,80 Somerset Street SE 
5,2,1265,,Residential,499900 CAD,2415 Vista Crescent NE 
3,2,1612,,Residential,475000 CAD,71 Eversyde Circle SW 
6,3,1489,,Residential,459000 CAD,"20, 68165 Campsite Road "
4,3,2372,0.13,Residential,450000 CAD,1221 4 Avenue N 
3,1,93914,,Residential,419000 CAD,137 Royal Birch Gardens NW 
3,2,1099,,Residential,488888 CAD,46 Lake Huron Place SE 
3,3,2175,,Residential,420000 CAD,10029 96A Avenue 
5,2,1125,,Residential,439900 CAD,379 Coventry Road NE 
6,3,1295,,Residential,499900 CAD,285 Beaton Place 
4,4,1969,0.14,Residential,419500 CAD,68 Dowler Street 
5,3,1614,1.68,Residential,425000 CAD,43 42011 TWP RD 624 
6,2,101873,,Residential,419900 CAD,42 Fitzgerald Avenue 
4,2,1394,,Residential,414900 CAD,90 Hidden Hills Road NW 
3,2,1220,7.84,Residential,475000 CAD,82522 Hwy 2 
5,2,1197,,Residential,439000 CAD,104 Collinge Road 
4,4,1770,.163,Residential,435000 CAD,18608 89 Avenue 
4,4,117382,.167,Residential,499999 CAD,125 Silin Forest Road 
4,4,1920,>0.1,Residential,444900 CAD,613 Twinriver Crescent W 
3,2,1130,g>11,Residential,495000 CAD,58511 rr172 
5,2,1380,,Residential,439900 CAD,228 Paris Crescent 
3,2,1424,,Residential,484900 CAD,838 Cranston Drive SE 
5,3,1218,>0.2,Residential,479500 CAD,8326 106 Avenue 
4,2,1071,>0.3,Residential,419000 CAD,130 Cheviot Drive 
5,4,1512,>4.2,Residential,450000 CAD,81 843058 Range Road 222 
,,1524,,Residential,499900 CAD,67544 RR 165 Corner 
4,3,1391,.111,Residential,475000 CAD,350 Douglas Park Boulevard SE 
4,4,1270,,Residential,489900 CAD,664 Athabasca avenue 
4,4,11635,,Residential,499900 CAD,"104 Aspenhill Drive, Abasand, Alberta "
4,2,1349,,Residential,439900 CAD,10711 33 AV NW 
4,3,1948,,Residential,479900 CAD,134 Invermere Drive 
5,4,1500,,Residential,437500 CAD,4910 57 Avenue 
4,3,1172,0.09,Residential,416900 CAD,41 Riverford Close W 
3,2,2289,.121,Residential,498000 CAD,1370 Lackner Boulevard 
5,4,212072,,Residential,449500 CAD,4 Whitetail Point 
5,3,1611,0.17,Residential,439900 CAD,525 Kipp Street 
4,2,941,,Residential,424900 CAD,3412 Centre A Street NE 
8,4,1556,,Residential,413900 CAD,2207 39 Street SE 
4,2,1266,.426,Residential,449900 CAD,151 West Terrace Crescent 
5,3,1344,0.18,Residential,435000 CAD,9113 130 Avenue 
5,3,2882,,Residential,449900 CAD,65311 RR145 
3,3,1726,,Residential,419500 CAD,5516 43 st 
3,2,2131,,Residential,489900 CAD,3059 SPENCE WD SW 
