Beds,Bath,Sqft,Lot_Size,Type,Price,Address
4,4,3383,4.42,Residential,850000 CAD,41501 Highway 55 
5,4,2566,.208,Residential,919900 CAD,114 Ranch Road 
,,,9.54,Residential,769900 CAD,Across From GlenEagles 
5,3,178928,>480,Residential,789000 CAD,62017 Range Road 112 
8,3,3567,.138,Residential,899000 CAD,202 11ave NW 
4,3,1502,2.62,Residential,950000 CAD,226232 22 St W 
4,2,1974,3.16,Residential,749900 CAD,1 54106 RGE RD 275 Prestige Heights 
4,4,2706,,Residential,800000 CAD,6107 65 St 
5,3,2370,,Residential,729900 CAD,48273 RGE RD 254 
6,8,35461,.217,Single,2950000 CAD,1432 Premier Way SW 
8,8,4523571,.192,Single,1888888 CAD,3658 WESTCLIFF WY SW 
5,3,2907,0.56,Residential,878888 CAD,7702 Lexington Street 
5,4,2103,.151,Single,939000 CAD,436 Lake Moraine Road SE 
4,3,1152,.131,Single,729900 CAD,1015 Maplecroft Road SE 
3,2,2011,ng>2,Single,749000 CAD,48097  244  Avenue W 
5,4,2903,3.72,Single,949900 CAD,322071A Range Road 244 Road 
4,4,3270,.196,Single,1799000 CAD,110 Juneberry Heights 
4,3,2505644,0.55,Single,1595000 CAD,23033 WYE RD 634
3,3,2015,.161,Single,799999 CAD,1633 Shelbourne Street SW 
4,3,3074,.121,Single,1055000 CAD,56 Marquis View SE 
3,3,2378,ng>2,Single,1299900 CAD,97 Bearspaw Meadows Way NW 
5,4,2798748,.173,Single,1495000 CAD,14032 106A AV NW 
5,5,39407,,Single,2999000 CAD,10232 130 ST NW 
5,4,34011,.254,Single,1349000 CAD,125 Heritage Lake Drive 
4,3,1220,.135,Single,719900 CAD,6728 Silverview Road NW 
4,4,1989833,.093,Single,1185000 CAD,10109 138 ST NW NW 
4,3,1523,.185,Single,719900 CAD,128 Thorncrest Road NW 
3,3,1765,.171,Single,899900 CAD,30 Shawnee Grove SW 
5,8,446706,.196,Single,849000 CAD,267 TORY CR NW 
3,2,2623,1.47,Residential,720000 CAD,39235 C&E Trail 101
6,5,2736747,.126,Single,1088800 CAD,6006 107 ST NW 
4,3,1592,3.14,Single,890000 CAD,"4, 53054 TWP RD 712 4"
3,4,2855689,.274,Single,1200000 CAD,60 KINGSBURY CR 
4,4,1765727,4.92,Single,959900 CAD,22549 Twp Rd 511 
3,4,265507,0.17,Single,794000 CAD,232 California Place NE 
5,4,2444181,.161,Single,1130000 CAD,10538 137 ST NW 
4,4,2063244,,Single,749900 CAD,10434 135 ST NW 
3,3,2117,.096,Single,748900 CAD,76 Aspen Hills Court SW 
4,4,2477,.254,Single,2300000 CAD,1110 Levis Avenue SW 
3,4,2979045,,Single,1120000 CAD,25 JACOBS CL 
4,4,2998,.294,Single,1585000 CAD,784 WEST CHESTERMERE Drive 
4,4,1829,.071,Single,839900 CAD,4121 16A Street SW 
4,4,3325,4.03,Single,1249000 CAD,187 Hill Spring Meadows 
4,4,2100,.138,Single,1499988 CAD,406 10 Avenue NW 
4,4,2569,.235,Single,899000 CAD,512 Coach Grove Road SW 
5,3,2309,.237,Single,829000 CAD,11 Henner's Outlook 
5,2,1437747,0.24,Single,768000 CAD,14018 100 AV NW 
4,5,2777112,0.57,Single,1950000 CAD,221 RIVER HEIGHTS CV 
3,3,2173,>0.2,Single,1675000 CAD,53 Crestridge View SW 
4,4,2149,.085,Single,725000 CAD,11 Cougar Ridge  Green SW 
5,3,150494,.134,Single,725000 CAD,11419 Wilson Road SE 
5,4,31203,4.09,Single,1199900 CAD,19 Silhouette Way 
6,5,345543,.138,Single,1699900 CAD,63 Aspen Vista Way SW 
5,3,2392622,.561,Single,1050000 CAD,507 MANOR POINTE CO 
5,5,3072,.123,Single,1278000 CAD,32 West Grove Bay SW 
4,4,197187,.069,Single,899900 CAD,2034 31 Street SW 
6,5,2258,3.95,Single,1090000 CAD,74 Glendale Court 
4,4,2640624,3.21,Single,1199000 CAD,22555 TWP RD 530 134
4,4,2220,.218,Single,839000 CAD,66 Canyon Close W 
4,4,2276586,.112,Single,715000 CAD,4229 SAVARYN DR SW 
4,3,1989402,.197,Single,1149000 CAD,690 TODD LD NW 
4,4,1960,.057,Single,899900 CAD,508 27 Avenue NW 
4,3,1558,1.27,Single,875000 CAD,370181 128 Street E 
4,5,261592,0.14,Single,815900 CAD,13 Ridge View Close 
4,4,230225,.196,Single,925000 CAD,217 Signature Way SW 
6,5,2522,.106,Single,799900 CAD,164 Snowy Owl Way 
4,4,14904,0.07,Single,749900 CAD,1628 40 Street SW 
4,4,2347,.123,Single,719900 CAD,277 Pantego Road NW 
4,5,3633926,.166,Single,839000 CAD,34 OVERTON PL 
3,3,2608,.097,Single,919800 CAD,15 Aspen Summit Point SW 
3,3,2654,>2.5,Single,1040000 CAD,280174 TWP Road 
4,3,127257,.189,Single,1295000 CAD,45 Grand Avenue 
4,3,2289,.173,Single,950000 CAD,13012 Bonaventure Drive SE 
6,4,251629,4.37,Single,1090000 CAD,16115 Sage Valley Drive E 
5,5,351851,.184,Single,2385000 CAD,13 Aspen Ridge Way SW 
4,3,202878,.339,Single,1480000 CAD,18 Fortress Rise SW 
4,3,2487883,.147,Single,750000 CAD,9024 140 ST NW 
3,4,363947,6.82,Single,2490000 CAD,112 Ravencrest Drive 
4,4,3074,.154,Single,929900 CAD,22 Shawnee Grove SW 
5,4,2250752,.115,Single,790000 CAD,2940 KOSTASH DR SW 
4,7,4140,.429,Single,2888888 CAD,7 Spring Valley Way SW 
4,4,3004232,.149,Single,1380000 CAD,607 HOWATT DR SW 
4,3,1476,5.07,Single,888000 CAD,432041 Highway 795 
5,4,2475,.125,Single,749900 CAD,12 Royal Road NW 
4,3,2335788,8.97,Single,1700000 CAD,522053 RR40 
2,3,1429,.161,Single,799900 CAD,145 Wildwood Drive SW 
3,5,2405,0.07,Single,995000 CAD,2117 20 Avenue SW 
4,3,1620951,2.13,Single,724900 CAD,53319 RGE RD 14 115
5,3,2757737,.225,Single,889888 CAD,4318 46 ST NW 
6,5,343518,.213,Single,1849900 CAD,37 ASPEN RIDGE Terrace SW 
4,3,122455,.118,Single,899900 CAD,3703 54 Avenue SW 
5,6,5054,4.91,Single,7900000 CAD,3421 85 Street SW 
2,2,1367,0.83,Single,840000 CAD,202039 RR 261 
6,5,3886342,.184,Single,999800 CAD,24 Kingswood BV 
5,3,2760,.124,Single,799900 CAD,32 Collingwood Place NW 
5,5,337277,0.29,Single,1999900 CAD,7 Fishermans Bend 
4,5,2240,.077,Single,1199900 CAD,626 16 Street NW 
5,2,1379,.138,Single,709900 CAD,2404 9 Avenue NW 
4,4,2066042,,Single,899000 CAD,10522 135 ST NW 
3,3,1864863,0.08,Single,749900 CAD,10420 138 ST NW 
,,,,Residential,1155000 CAD,32 and 33 Range 282 
,,,,Residential,748000 CAD,270090  Glenmore Trail 
