Beds,Bath,Sqft,Lot_Size,Type,Price,Address,Province,Region
6.0,4.0,5877.0,2.72,Residential,1785000,873 Rivers Edge Drive ,BC,West Coast
4.0,,4181.0,7.89,Residential,1995000,2651 ALBERNI Hwy ,BC,West Coast
3.0,3.0,2880.0,5.01,Single,750000,6765 CRANBROOK HILL ROAD ,BC,West Coast
3.0,2.0,1200.0,0.33,Residential,249000,112 Nystrom Road ,BC,West Coast
,,,,Residential,1300000,7.25 Acres in Ok Fall ,BC,West Coast
,,,,Residential,289000,Lot 11 Stoddart Estates Drive ,BC,West Coast
2.0,1.0,9900.0,>320,Residential,625000,8985 Crescent Spur Road ,BC,West Coast
4.0,3.0,3030.0,9.25,Residential,1249900,4767 97A ,BC,West Coast
4.0,2.0,2480.0,>7.3,Residential,629000,3540 Kettle Valley Road E ,BC,West Coast
5.0,3.0,3600.0,17.2,Residential,989900,5280 Highway 6 ,BC,West Coast
2.0,,595.0,0.35,Other,349900,215 Link Lake Road ,BC,West Coast
5.0,6.0,5550.0,g>15,Residential,5365000,2470 Glenmore Road N ,BC,West Coast
2.0,2.0,1350.0,,Residential,329000,10-2095 BOUCHERIE ROAD ,BC,West Coast
4.0,2.0,1920.0,.133,Residential,549999,270 Cariboo Avenue ,BC,West Coast
5.0,3.0,3120.0,>306,Residential,1975000,4685 Hwy 3 ,BC,West Coast
,,2557.0,,Residential,1349000,2760 Yankee Flats rd. ,BC,West Coast
3.0,2.0,2496.0,1.75,Residential,446000,2405 Lloyd Road  ,BC,West Coast
3.0,3.0,5000.0,2.14,Residential,900000,5325 Riding Club Road ,BC,West Coast
4.0,4.0,5606.0,1.11,Single,1599000,"5189 Sunnybrae Canoe Pt Road, ",BC,West Coast
3.0,2.0,2150.0,,Single,2499000,9982 SAUNDERS STREET ,BC,West Coast
4.0,2.0,2480.0,>7.3,Single,629000,"3540 KETTLE VALLEY Road, ",BC,West Coast
3.0,1.0,1103.0,0.21,Residential,599900,2128 Boxwood Rd ,BC,West Coast
3.0,2.0,1930.0,2.92,Single,1249900,2298 Calais Rd ,BC,West Coast
7.0,3.0,86445684.0,23.8,Single,5900000,24375 80 AVENUE ,BC,West Coast
3.0,2.0,2277.0,1.49,Single,1590000,"7191 ISLAND WAY Road, ",BC,West Coast
4.0,2.0,1800.0,.094,Single,1199000,1776 LANGAN AVENUE ,BC,West Coast
2.0,2.0,1930.0,6.98,Single,1499000,2982 Smith Rd ,BC,West Coast
3.0,2.0,1530.0,0.95,Single,1125000,1559 PARK AVENUE ,BC,West Coast
2.0,1.0,669.0,.138,Single,94900,"701 97 Avenue, ",BC,West Coast
2.0,1.0,1774.0,6.26,Single,675000,8072/8080 CENTENNIAL DRIVE ,BC,West Coast
4.0,1.0,2442.0,2.39,Single,1950000,979 Thunder Rd ,BC,West Coast
2.0,1.0,850.0,.114,Single,799879,46259 FIRST AVENUE ,BC,West Coast
4.0,4.0,54928692.0,.454,Single,15250000,17147 24 AVENUE ,BC,West Coast
4.0,2.0,2191.0,0.27,Single,799000,"721 Swansea Point Road, ",BC,West Coast
2.0,3.0,2368.0,0.78,Residential,1395000,5003 Thompson Clarke Dr W ,BC,West Coast
4.0,3.0,2982.0,.705,Single,8900000,1297 184 STREET ,BC,West Coast
3.0,2.0,2352.0,0.29,Single,55000,912 C'STAINAC WAY ,BC,West Coast
4.0,4.0,2408.0,1.46,Single,999000,"5255 Schneider Place, ",BC,West Coast
5.0,2.0,1770.0,,Single,179000,"1324 102 Avenue, ",BC,West Coast
5.0,5.0,3106.0,2.02,Single,1750000,25890 FIELD ROAD ,BC,West Coast
3.0,2.0,1400.0,.228,Single,54900,5227 44 STREET ,BC,West Coast
4.0,3.0,2578.0,0.72,Single,2229000,670 Sunset Dr ,BC,West Coast
3.0,3.0,1710.0,.097,Single,1098888,15576 96B AVENUE ,BC,West Coast
,,,9.03,Single,125000,"775 WILLIS Road, ",BC,West Coast
7.0,4.0,5032.0,2.52,Single,1050000,"4621 Trepanier Road, ",BC,West Coast
4.0,2.0,1895.0,.273,Single,3600000,2750 MOUNTAIN HIGHWAY ,BC,West Coast
3.0,2.0,2563.0,.251,Single,1499000,5115 7B AVENUE ,BC,West Coast
5.0,2.0,2452.0,.253,Single,1599000,8655 GILLEY AVENUE ,BC,West Coast
2.0,1.0,850.0,.095,Single,1199999,966 MAPLE STREET ,BC,West Coast
5.0,4.0,,4.78,Single,1399999,606 UPPER PARKVIEW ROAD ,BC,West Coast
5.0,3.0,3600.0,17.2,Single,989900,"6 Highway, 5280",BC,West Coast
