Beds,Bath,Sqft,Lot_Size,Type,Price,Address
3,1,800,.275,Residential,64897 CAD,642 Muriel Ave 
4,3,,0.29,Single,429000 CAD,868 KIMBERLEY AVENUE N 
2,2,,0.32,Single,405000 CAD,519 HARTLAND AVENUE 
,,,0.71,Residential,469900 CAD,7455 S KELLY ROAD 
1,1,832,ng>5,Residential,649000 CAD,"6787 Magna Bay dr, Magna Bay, BC "
1,1,644,,Residential,350000 CAD,2220 SOOKE ROAD 
3,2,2100,,Residential,449899 CAD,270 Grouse Avenue Vernon BC V1H 2A1 
,1,465,.011,Residential,299000 CAD,500 Oswego St 
2,3,1669,,Residential,509900 CAD,3-9515 Woodbine Street 
2,1,1040,,Residential,214900 CAD,1409 Government St 
2,2,1045,,Residential,275000 CAD,4769 Forsters Landing Rd. 
1,1,612,,Residential,349888 CAD,2285 PITT RIVER ROAD 
4,3,2731,,Other,649000 CAD,10 Royal Ann 
2,1,960,,Residential,469000 CAD,"6791 Little Fort Highway 24, Lone Butte, BC "
3,3,2428,0.41,Residential,699900 CAD,1069 Viewtop Rd 
4,3,1905,>0.1,Single,629000 CAD,485 Pine St 
6,3,3100,ng>2,Residential,599900 CAD,342 W Old N Thompson Hwy 
2,1,,0.21,Residential,475000 CAD,7513  Crest-A-Way Road 
2,1,1050,,Residential,409500 CAD,2720 Riffington Place 
3,2,,,Residential,299900 CAD,6822 Leighton Crescent 
2,1,880,.296,Residential,199900 CAD,1422 CARSON ST 
2,1,879,,Residential,110000 CAD,3350-10Ave NE Salmon Arm 
3,3,1337,,Residential,609000 CAD,119 9845 Eastside Road Vernon BC V1H 1Z2 
2,2,1580,,Residential,675000 CAD,6631 MINORU BLVD. 
2,1,880,,Residential,190000 CAD,105 3505 38 Street Vernon BC V1T 6X1 
4,2,2108,0.14,Residential,627000 CAD,6129 Kootenay Street 
2,2,1254,,Residential,329900 CAD,374 Winnipeg Street 
,,,,Residential,159900 CAD,815 Hemlock Crescent 
3,3,2790,,Residential,679900 CAD,233 Boulder Creek 
7,3,2920,0.44,Residential,679900 CAD,6964 Island Hwy W 
6,2,2322,0.29,Residential,579000 CAD,"7250 Estate Pl, Anglemont, BC "
3,2,2550,0.38,Residential,428000 CAD,790 Spruce St 
3,2,1449,,Residential,699000 CAD,18701 66 Avenue 
5,3,2576,1.06,Single,495000 CAD,609 HULL ROAD 
2,2,1450,.208,Single,659900 CAD,329 Willow St 
4,3,2432,2.18,Single,699000 CAD,2120 WESTSYDE ROAD 
4,1,2150,.057,Single,429500 CAD,625 TAYLOR STREET 
2,2,1887,>0.4,Single,699900 CAD,7596 Cougar Smith Rd 
5,2,2200,.252,Single,499900 CAD,4839 STRAUME AVENUE 
2,1,,6.39,Single,649000 CAD,785 BEECH ROAD 
5,2,2350,,Residential,599900 CAD,3014 Alberni Hwy 
3,2,1437,0.23,Residential,619900 CAD,131 PAR BLVD 
3,3,2223,.121,Single,649000 CAD,9900 Maple St 
6,3,3520,0.55,Single,611000 CAD,"151 Lupine Road, "
4,4,,0.17,Single,549000 CAD,1316 18TH STREET S 
3,3,2540,.075,Single,589900 CAD,4272 DAVIS ROAD 106
3,1,1449,,Residential,650000 CAD,5280 Huston Road 
3,1,1287,0.13,Single,539000 CAD,3615 Nevada Pl 
3,2,1545,.162,Single,700000 CAD,2664 Jasmine Pl 
3,1,,1.91,Single,339000 CAD,119 JESSE ROAD 
3,2,1914,0.11,Single,549000 CAD,"380 2 Street, SE "
2,2,2265,0.16,Single,675000 CAD,3701 Arbutus Dr N 
1,,473,0.01,Residential,449900 CAD,613 Herald St #301 
2,1,,,Single,25000 CAD,2905 LOWER SIX MILE ROAD 30
4,4,,0.09,Single,429000 CAD,331 16TH AVENUE S 
2,2,1375,0.09,Single,384900 CAD,"527 Loon Avenue, "
3,2,1452,0.27,Residential,569900 CAD,366 Twillingate Rd C
3,3,2532,0.23,Residential,699000 CAD,7079 Foothills Place 
3,4,2201,.165,Single,595000 CAD,6664 WESTMOUNT DRIVE 101
3,1,1000,5.18,Single,449900 CAD,3685 SPOKIN LAKE ROAD 
3,2,1617,0.18,Residential,549000 CAD,790 ROSS AVE 
3,2,1898,0.18,Single,280000 CAD,608 Dogwood Dr 
3,2,2240,.235,Single,395000 CAD,741 VEDDER CRESCENT 
3,1,1000,.115,Single,345000 CAD,224 W 8TH AVENUE 
1,1,640,,Residential,512000 CAD,102 345 W 10TH AVENUE 
3,2,2229,.436,Single,599900 CAD,8068 Spinnaker Dr 
4,3,2038,0.14,Residential,688800 CAD,158 Country Aire Dr 
6,4,3570,0.16,Single,514999 CAD,3865 SHANE PLACE 
5,3,2592,.988,Single,429900 CAD,5300 GRAVES ROAD 
1,1,686,,Residential,450000 CAD,159-654 Cook Road 
4,2,2021,.175,Single,379000 CAD,4341 GRANITE AVENUE 
3,2,2260,ng>1,Single,499900 CAD,3186 E AUSTIN ROAD 
3,2,1545,0.16,Residential,700000 CAD,2664 Jasmine Pt 
3,3,,0.12,Single,429500 CAD,3841 WOODLAND DRIVE 
3,2,1310,0.09,Single,389900 CAD,"612 Nighthawk Avenue, "
3,1,1081,.143,Single,284900 CAD,50 STIKINE STREET 
3,3,2031,.244,Single,574900 CAD,891 SENECA PLACE 
2,2,1281,,Residential,550000 CAD,1694 CEDAR HILL CROSS ROAD 
6,2,2598,.182,Single,549000 CAD,1552 GARDEN STREET 
2,1,124381,0.13,Single,499000 CAD,2088 6th St E 
3,2,1656,0.09,Single,599900 CAD,900 STAGECOACH DRIVE 2
2,1,820,0.94,Single,219900 CAD,3027 NAZKO ROAD 
3,4,2201,.113,Single,585000 CAD,6664 WESTMOUNT DRIVE 105
4,2,2336,.166,Single,429900 CAD,271 CLARK CRESCENT 
3,1,,0.68,Single,239900 CAD,951 SWANSEA ROAD 
5,3,2347,0.17,Single,690000 CAD,"1951 36 Street, NE "
3,1,1073,0.13,Single,538800 CAD,2505 Soderholm Crt 
3,3,1738,0.07,Single,699900 CAD,3325 Blueberry Lane 
3,2,990,0.58,Residential,339900 CAD,3102 Holbrook Rd 
3,1,1165,.158,Single,580000 CAD,2141 Arnason Rd 
,,,3.35,Residential,149000 CAD,Lot 10 Essen Road 
,,,g>10,Residential,649900 CAD,Lot 28 Mountview Road 
3,3,1607,0.05,Residential,514900 CAD,2648 Tranquille Road 
3,1,1934,,Residential,699000 CAD,46674 FIRST AVENUE 
3,2,1401,0.16,Residential,649900 CAD,1056 Mt Begbie Drive 
2,2,2068,.179,Residential,387500 CAD,1356 8th Ave 
3,2,2496,1.75,Residential,499900 CAD,2405 Lloyd Road 
3,2,2312,1.25,Residential,599999 CAD,1383 Vella Road 
5,2,3142,0.23,Residential,469000 CAD,1118 Harold Street 
3,1,1700,0.12,Residential,449900 CAD,2515 Edgemount Ave 
2,1,9900,>320,Residential,625000 CAD,8985 Crescent Spur Road 
3,2,1206,0.52,Residential,239000 CAD,1491 Airport Road 
,,,8.19,Residential,699000 CAD,Lot 3-16521 Crawford Creek Road 
1,2,2600,0.12,Residential,199000 CAD,5870 33 Highway 
4,2,1685,,Residential,610000 CAD,3410 Old Okanagan Highway 
1,1,513,,Residential,569000 CAD,438 Seymour St 
4,2,2480,>7.3,Residential,629000 CAD,3540 Kettle Valley Road E 
3,2,1764,>0.3,Residential,369000 CAD,1714 Frontage road 
2,1,1342,>6.2,Residential,489900 CAD,9781 Meadow Road 
,,,,Residential,449000 CAD,3301 Centennial DR 
2,1,1421,,Residential,469000 CAD,4926 Timber Ridge Road 
,,,>1.1,Residential,199000 CAD,Lot 5 Wilderness Ridge 
,,,0.15,Residential,310000 CAD,300 Monkshood Lane 
2,2,1460,,Residential,450000 CAD,544 Red Wing Drive 
4,3,2135,,Residential,599900 CAD,2236 Mallory Dr 
4,1,1938,,Residential,630000 CAD,Investor alert - 230 Brandon Ave. 
3,2,1336,0.13,Residential,575000 CAD,126 COLDRON CRT 
6,4,3060,0.15,Residential,525000 CAD,7532 Jackson Ave. 
3,3,3100,,Residential,659900 CAD,319-641 Shuswap Rd E 
2,1,1260,22.8,Residential,435000 CAD,3563 Hinkelman Rd 
3,4,1630,,Residential,492500 CAD,5951 Heritage Drive 
2,3,1483,,Other,699900 CAD,5401 Lakeshore Drive 
5,1,1843,4.02,Residential,550000 CAD,240 W Old North Thompson Highway 
4,2,2800,2.24,Residential,689000 CAD,3085 O'Dwyer Rd 
2,2,1120,,Residential,275000 CAD,12A-999 BURNABY AVE 
1,1,607,,Residential,469000 CAD,4888 Hazel St Burnaby B.C 
5,3,2600,0.24,Residential,549000 CAD,318 Lakewood Road 
,,,,Residential,289000 CAD,Lot 11 Stoddart Estates Drive 
3,3,1491,,Residential,620000 CAD,110-253 NORTON STREET 
2,2,1364,,Residential,299900 CAD,115-3105 SOUTH MAIN STREET 
2,,595,0.35,Other,349900 CAD,215 Link Lake Road 
,,,,Residential,419900 CAD,2210 Louie Drive Unit 
2,2,1993,,Residential,574999 CAD,328 FORT STREET 
2,3,2103,0.11,Residential,699000 CAD,124 Sarsons Road 
2,1,966,,Other,175000 CAD,4075 McClain Road 
4,3,2578,0.16,Residential,654800 CAD,2451 Drummond Crt 
3,3,,,Residential,374900 CAD,19 Lakeshore Drive Vernon BC V1H 2A1 
3,2,1200,0.33,Residential,249000 CAD,112 Nystrom Road 
,,,,Residential,249000 CAD,Lot 3 Wilderness Ridge 
3,3,2546,0.16,Residential,409000 CAD,1009 11th avenue N 
2,2,759,,Residential,568000 CAD,13978 Fraser Highway 
,,,,Residential,629900 CAD,901 Middleton Way 
3,3,2138,0.04,Residential,515000 CAD,1750 Canoe Road 
3,2,1458,ng>2,Residential,599000 CAD,4020 Barriere Lakes Rd 
2,1,894,0.25,Residential,185000 CAD,306 Davies Avenue 
2,2,848,,Residential,475000 CAD,33568 GEORGE FERGUSON WAY 
3,2,1076,>0.1,Residential,695000 CAD,7013-Barcelona 
3,3,1752,,Residential,549900 CAD,2648 TRANQUILLE RD 
2,2,1334,,Residential,699999 CAD,525 Austin Avenue 
,,,0.42,Residential,599000 CAD,9603 Kalamalka Road 
1,1,790,,Residential,369900 CAD,651 Dunes Drive 
,,,,Residential,674900 CAD,209 Twin Lakes 
1,1,465,,Residential,448000 CAD,1330 Burrard Street 
1,1,595,,Other,43000 CAD,1200 Rancher Creek Road 
2,2,833,,Residential,459900 CAD,15 Park Place 
3,1,1536,0.47,Residential,174900 CAD,1068 Scott Drive 
3,3,3200,2.53,Residential,695000 CAD,3121 Dorman Road 
3,2,1344,,Residential,699900 CAD,975 Theodora Road 
3,1,930,0.11,Residential,475000 CAD,614 Martin Street 
,,,,Residential,274900 CAD,Lot 1 Tomswood Rd 
4,2,1800,>0.1,Residential,349900 CAD,120A 17th Avenue South 
2,2,2032,>0.3,Residential,399900 CAD,Lot 5 Strip road 
,,,,Residential,360000 CAD,Lots 65 & 66 Ta Lana Trail 
4,2,,,Residential,424900 CAD,709 13TH Avenue S 
1,1,642,,Residential,539000 CAD,1177 Hornby Street 
2,2,1179,,Residential,680000 CAD,170 Silver Lode Lane 
1,1,590,,Residential,57000 CAD,1200 Rancher Creek Road 
2,1,958,,Residential,269000 CAD,915-3140 WILSON STREET 
5,2,2784,0.18,Residential,699000 CAD,2533 NICHOLSON STREET 
5,4,4050,,Residential,559900 CAD,200 Cougar Road 
3,2,2087,,Residential,659000 CAD,1881 19 Avenue SE 
4,3,2055,0.15,Residential,699000 CAD,2609 MCGRAW STREET 
4,2,1920,.133,Residential,549999 CAD,270 Cariboo Avenue 
4,3,1720,,Residential,549000 CAD,1609 AGASSIZ-ROSEDALE NO 9 HIGHWAY 
3,1,1676,,Residential,509900 CAD,854 Bing Avenue 
2,2,1200,,Residential,207900 CAD,4874 Stanley St. 
1,1,590,,Other,59900 CAD,1200 Rancher Creek 
2,1,924,,Residential,169900 CAD,M7-4505 MCLEAN CREEK ROAD 
2,2,1423,0.16,Residential,524900 CAD,809 309 Avenue 
2,1,1028,>0.5,Residential,185000 CAD,1377 2nd Avenue 
3,1,1320,,Residential,399900 CAD,45185 WOLFE ROAD 
,,,0.47,Residential,189900 CAD,Lot 65 Ta Lana Trail 
4,2,1855,,Residential,534900 CAD,2560 8th Ave 
3,1,17,0.17,Residential,555000 CAD,1142 9th Ave 
,,,,Residential,33500 CAD,1060 4th Avenue 
3,2,1810,,Residential,549000 CAD,4926 Timber Ridge Road 
,,,,Residential,419500 CAD,1435 Main Street 
3,1,1447,g>51,Residential,419900 CAD,3847 Balsam Road 
4,3,1828,0.47,Residential,670000 CAD,109-253 NORTON STREET 
2,2,975,,Residential,289900 CAD,1850 Shannon Lake 
4,2,2002,0.14,Residential,509900 CAD,1018 14th St 
3,2,1716,0.12,Residential,409900 CAD,8598 Highway 97 
,,,,Residential,630000 CAD,802 Grand Oro Kaleden 
3,2,1772,,Residential,400000 CAD,1469 Springhill Drive 
3,1,1630,.462,Residential,665000 CAD,1898 Parckcrest Ave 
,,,,Residential,597000 CAD,7 6823 Tucelnuit Dr 
,,,,Residential,699900 CAD,Lot A Brun Road 
1,1,860,,Residential,379900 CAD,651 Dunes Drive 
3,1,1380,0.09,Residential,459900 CAD,41 Slalom Drive 
2,2,1179,,Residential,615000 CAD,4205 Gellatly Road 
4,1,1890,0.18,Residential,599000 CAD,2506 45 Avenue 
,,,0.13,Residential,65000 CAD,594 Sixth Avenue 
1,3,1710,0.41,Residential,437000 CAD,16253 Selkirk Road 
2,1,1284,,Residential,419900 CAD,6488 Wolfcub Place 
4,4,2664,0.22,Residential,699900 CAD,24 640 Upper Lakeview Road 
2,2,1377,,Residential,600000 CAD,2082 Clover Drive 
,,,,Residential,239000 CAD,4014 Pebble Beach DR 
3,2,1515,0.14,Residential,574900 CAD,2336 Mooody Ave 
2,1,1232,,Residential,164900 CAD,25th avenue 
3,2,1462,,Residential,698800 CAD,18505 LAURENSEN PL 
4,1,1816,0.14,Residential,675000 CAD,13218 Kelly Ave 
2,1,816,,Residential,108000 CAD,98-3245 PARIS STREET 
1,1,,,Residential,469900 CAD,668 Columbia Street 
3,4,1640,,Residential,389000 CAD,8041 Vedette  DR 
3,3,2510,,Residential,659900 CAD,#23 9481 Estates Road 
,1,434,,Residential,399000 CAD,909-1191 Sunset Dr 
,1,553,,Residential,499000 CAD,5011 Springs Boulevard 
3,2,2128,0.23,Residential,649900 CAD,849 IDA LANE 
3,2,1100,,Residential,639000 CAD,6981-Barcelona Drive 
2,2,1000,,Residential,529800 CAD,19677 Meadow Gardens Way 
2,1,973,,Residential,229900 CAD,337 McKinney Road 
,1,265,,Other,110000 CAD,"7310 MAIN STREET, OSOYOOS, BC "
2,1,1440,0.56,Residential,357919 CAD,9308 Kuskanook Road 
2,1,528,,Residential,76900 CAD,1055 Old Cariboo Hwy 
3,2,,,Residential,319500 CAD,5155 Fairway Drive 
6,2,2193,0.15,Residential,319900 CAD,1600 2nd Street North 
3,1,1100,0.31,Residential,335000 CAD,5826 Hwy 33 
6,2,2463,,Residential,599999 CAD,5008 25th ave 
4,2,1800,0.12,Residential,675000 CAD,14541 Bacon Road 
2,3,1172,,Residential,419000 CAD,7923 Hespeler Road 
,,,,Residential,299900 CAD,#16 1809 40 ave 
3,3,2788,,Residential,679000 CAD,4330 14 Street NE 
3,2,1392,.095,Residential,568700 CAD,20118 Beacon Road 
,,,,Residential,399000 CAD,7202 Timberlake Street 
,,,,Residential,199000 CAD,Lot 4 Wilderness Ridge 
3,3,1928,,Residential,698000 CAD,1261 Roberton Blvd 
,,,5.36,Residential,395000 CAD,1594 Cemetery Rd. 
,,,0.38,Residential,575000 CAD,8997 Kalamalka Road 
3,3,3100,,Residential,659900 CAD,321-641 SHUSWAP RD 
2,2,1285,,Residential,373000 CAD,"4505 McLean Creek Road, #G4 "
3,2,893,,Residential,158000 CAD,150 Silver Lode Lane 
3,1,1345,,Residential,459900 CAD,4914 Elizabeth St 
4,2,1800,0.13,Residential,614000 CAD,580 Veterans Ave 
3,2,1508,,Residential,369900 CAD,25 12560 Westside Road Vernon BC V1H 1S9 
,,,0.49,Residential,139000 CAD,1210 18th Ave 
3,1,,,Residential,439000 CAD,4420 Westsyde Rd 
3,3,1981,0.17,Residential,649000 CAD,402 TRURO STREET 
4,2,2726,0.53,Residential,699000 CAD,10529 Cypress Rd 
2,2,1108,,Residential,650000 CAD,45 KINGFISHER DRIVE 
2,2,838,,Other,399000 CAD,15 Park Place 
3,1,1210,,Residential,649000 CAD,512 Bolton Road 
2,2,1051,,Residential,375000 CAD,104-3065 WILSON STREET 
1,1,860,,Residential,394900 CAD,651 Dunes Drive 
2,2,664,,Residential,488000 CAD,804 5911 Alderbridge Way 
3,2,1320,0.28,Residential,699000 CAD,135 CYPRESS AVE 
2,2,1120,,Other,299000 CAD,13707 Dickson Avenue 
2,2,930,,Residential,295900 CAD,7495 Columbia Ave. 
1,1,590,,Other,54900 CAD,1200 Rancher Creek Road 
1,1,,,Residential,399999 CAD,13325 102A Avenue 
1,2,,ng>2,Residential,379000 CAD,13383 108 Avenue 
2,2,841,,Residential,660000 CAD,1105-1151 Sunset Drive 
5,3,2208,0.17,Residential,595000 CAD,2733 Fir Drive 
5,2,2608,0.36,Residential,414900 CAD,1881 Shuswap Avenue 
3,3,1973,,Residential,574900 CAD,1319 Martin St 
1,1,,,Residential,649900 CAD,1331 ALBERNI STREET 
,,,,Residential,50000 CAD,511 Loon Avenue Vernon BC V1H 2A1 
3,3,1922,,Residential,699000 CAD,2420 Pitt River Road 
,,,,Residential,626000 CAD,490 McCuddy Creek Road 
,,774,0.14,Residential,569000 CAD,647 Neden Way 
2,2,,,Residential,314900 CAD,921 Spillway Road 
2,2,1558,,Residential,299000 CAD,3704 27 Avenue 
