Beds,Bath,Sqft,Price,Address,Province,Region,Latitude,Longitude,Location
1.0,1.0,692.0,230000.0,3810 notre-dame ,QC,Central Canada,45.62378865,-72.95178329455615,"Le Notre-Dame, Saint-Hyacinthe, Les Maskoutains, Montérégie, Québec, Canada"
4.0,1.0,1880.0,1083000.0,456 sebastopol ,QC,Central Canada,45.48176016315789,-73.55564172105264,"456, Rue de Sébastopol, Pointe-Saint-Charles, Le Sud-Ouest, Montréal, Agglomération de Montréal, Montréal (06), Québec, H3K 2A4, Canada"
2.0,2.0,130028.0,475000.0,5740 av. rembrandt ,QC,Central Canada,45.476084836750616,-73.6592934157623,"5740, Avenue Rembrandt, Côte-Saint-Luc, Agglomération de Montréal, Montréal (06), Québec, H4W 3L9, Canada"
4.0,5.0,4300.0,3390000.0,chemin du bord-du-lac. lakeshore ,QC,Central Canada,45.4472878,-73.7967214,"Chemin du Bord-du-Lac - Lakeshore, Pointe-Claire, Agglomération de Montréal, Montréal (06), Québec, H9R 4B3, Canada"
1.0,1.0,578.0,428900.0,crescent street ,QC,Central Canada,45.4974426,-73.5762321,"Rue Crescent, René-Lévesque, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (06), Québec, H3G 2B2, Canada"
1.0,1.0,603.0,457000.0,rené-levesque ouest ,QC,Central Canada,45.49714835,-73.57034267175175,"Le 1250 Boulevard René-Lévesque, Boulevard René-Lévesque Ouest, René-Lévesque, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (06), Québec, H3B 4W8, Canada"
1.0,1.0,564.0,299000.0,4295 beaubien est ,QC,Central Canada,45.5637932,-73.5786661,"Rue Beaubien Est, Marie-Victorin, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1T 1S8, Canada"
2.0,2.0,1200.0,600000.0,100 andré-prevost ,QC,Central Canada,45.8795125,-74.031016,"Rue André, Lac-Écho, Prévost, La Rivière-du-Nord, Laurentides, Québec, J0R 1T0, Canada"
2.0,2.0,945.0,398000.0,7275 lunan ,QC,Central Canada,45.4277352,-73.4478306,"Rue de Lunan, J, Brossard, Longueuil (agglomeration), Montérégie, Québec, J4Y 0M9, Canada"
2.0,1.0,1061.0,399000.0,1222 rue ste-élisabeth ,QC,Central Canada,45.511501678,-73.560523094,"1222, Rue Sainte-Élisabeth, Quartier Chinois, René-Lévesque, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2X 1L2, Canada"
2.0,1.0,810.0,439000.0,3608 ,QC,Central Canada,45.482141,-75.687063,"De La Gappe/De Rouville, Boulevard de la Gappe, Gatineau, Gatineau (ville), Outaouais, Québec, J8T 8N2, Canada"
1.0,1.0,675.0,259000.0,5700 boulevard cavendish ,QC,Central Canada,45.4748691,-73.6589021,"5700, Boulevard Cavendish, Côte-Saint-Luc, Agglomération de Montréal, Montréal (06), Québec, H4W 3L9, Canada"
3.0,1.0,1100.0,150000.0,8 rue de la côte ,QC,Central Canada,46.2026628,-75.9564044,"8, Rue de la Côte, Bouchette, La Vallée-de-la-Gatineau, Outaouais, Québec, Canada"
3.0,1.0,128844.0,360000.0,8179 rue joséphine-marchand ,QC,Central Canada,45.593655052330206,-73.51231026105043,"8179, Rue Joséphine Marchand, Bellerive, Mercier–Hochelaga-Maisonneuve, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1L 3L2, Canada"
3.0,2.0,157498.0,644800.0,24 rue merlin ,QC,Central Canada,45.442996,-75.7567598843184,"24, Rue Merlin, Hull, Gatineau, Gatineau (ville), Outaouais, Québec, J9A 2R4, Canada"
4.0,2.0,172804.0,514000.0,54 rue morin ,QC,Central Canada,45.385804,-73.599397,"54, Rue Morin, Saint-Constant, Roussillon, Montérégie, Québec, J5A 1V7, Canada"
3.0,2.0,112504.0,249900.0,132 rue de la terrasse-eardley ,QC,Central Canada,45.4073515,-75.85691968127384,"132, Rue de la Terrasse-Eardley, Aylmer, Gatineau, Outaouais, Québec, J9H 6B5, Canada"
4.0,2.0,197496.0,645000.0,78 rue venne ,QC,Central Canada,48.2318916,-78.1465637,"78, Rue Venne, Rivière-Héva, La Vallée-de-l'Or, Abitibi-Témiscamingue, Québec, Canada"
5.0,4.0,3084.0,3150000.0,386 ch. de la côte-ste-catherine ,QC,Central Canada,45.515417,-73.6051466,"386, Chemin de la Côte-Sainte-Catherine, Outremont, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2V 3R5, Canada"
3.0,2.0,1240.0,374900.0,132 ch. des mésanges ,QC,Central Canada,46.90159253352718,-72.32410687305739,"132, Chemin des Mésanges, Notre-Dame-de-Montauban, Mékinac, Mauricie, Québec, G0X 1W0, Canada"
2.0,1.0,922.0,499000.0,4539 rue parthenais ,QC,Central Canada,45.53664805753425,-73.57178858219177,"4539, Rue Parthenais, Lorimier, Plateau Mont-Royal, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2H 1K5, Canada"
4.0,2.0,217603.0,349900.0,597 rue chamberland ,QC,Central Canada,45.765342003934855,-73.46294681219157,"597, Rue Chamberland, Repentigny, L'Assomption (MRC), Lanaudière, Québec, J5Z 3L9, Canada"
4.0,2.0,211123.0,425000.0,4358 rue d'angoulême ,QC,Central Canada,46.75380068974079,-71.36369296878962,"4358, Rue d'Angoulême, Cap-Rouge, Sainte-Foy–Sillery–Cap-Rouge, Québec, Québec (Agglomération), Capitale-Nationale, Québec, G1X 4M5, Canada"
