Beds,Bath,Sqft,Lot_Size,Type,Price,Address,Province,Region
2,1,1420.0,,Residential,399900,118 Birch Ave  ,MB,Prairie Provinces
3,3,1320.0,,Residential,159000,60 Limit Street ,MB,Prairie Provinces
3,1,1424.0,,Residential,100000,135 Boundary Street ,MB,Prairie Provinces
2,2,960.0,ng>2,Single,179900,3146 3 Road NE ,MB,Prairie Provinces
2,1,980.0,,Single,109000,36 Springwood Drive ,MB,Prairie Provinces
2,2,1704.0,,Single,269900,16 McGregor Avenue ,MB,Prairie Provinces
5,2,1025.0,,Single,319000,372 Burrin Avenue ,MB,Prairie Provinces
2,2,1077.0,ng>2,Single,379900,15 Verna's Way ,MB,Prairie Provinces
4,3,2200.0,1.45,Single,1049900,419 1st Avenue ,MB,Prairie Provinces
3,1,1311.0,,Single,79000,371 Magnus Avenue ,MB,Prairie Provinces
3,2,1500.0,,Single,44900,109 3rd Street ,MB,Prairie Provinces
1,1,767.0,,Single,42000,147 7th Street ,MB,Prairie Provinces
6,1,1660.0,1.55,Single,1395000,1 Island 1 Landing ,MB,Prairie Provinces
2,1,875.0,,Single,89900,277 River Road ,MB,Prairie Provinces
4,2,1390.0,,Single,550000,31 Boyne Crescent ,MB,Prairie Provinces
3,2,1010.0,,Single,199999,370 Ottawa Avenue E ,MB,Prairie Provinces
3,1,1220.0,,Single,128880,409 Main Street S ,MB,Prairie Provinces
3,2,1717.0,,Single,126500,175 Maple Street N ,MB,Prairie Provinces
3,1,1096.0,,Single,174900,664 Ross Avenue ,MB,Prairie Provinces
2,1,,,Residential,39900,756 Vine Street ,MB,Prairie Provinces
3,1,1285.0,,Single,85000,280 2nd Avenue ,MB,Prairie Provinces
2,2,810.0,,Single,98000,145 MULVEY Street E ,MB,Prairie Provinces
3,1,800.0,,Single,165000,69 Blacks Point Road ,MB,Prairie Provinces
4,2,3715.0,,Residential,899900,186 Bridgeview Dr ,MB,Prairie Provinces
3,3,1100.0,,Single,129900,54 Lokier Street N ,MB,Prairie Provinces
6,2,1605.0,,Single,359900,1445 Winnipeg Avenue ,MB,Prairie Provinces
1,1,700.0,,Single,190000,1101 7th Street ,MB,Prairie Provinces
3,2,1740.0,,Single,299900,75 Hespeler Avenue ,MB,Prairie Provinces
2,1,1057.0,,Single,98000,204 MCMILLAN Street W ,MB,Prairie Provinces
4,2,1980.0,ng>5,Single,199000,61 Kemnay Woods Lane ,MB,Prairie Provinces
4,2,1424.0,,Single,210000,581 Furby Street ,MB,Prairie Provinces
2,1,520.0,,Single,89900,131 Lisgar Avenue ,MB,Prairie Provinces
