Beds,Bath,Sqft,Lot_Size,Type,Price,Address,Province,Region
,,,,Residential,249900.0,"32 Louis Sud  Néguac, E9G 1K7 ",NB,Atlantic region
3.0,1.0,1181.0,,Residential,195900.0,"5257 Route 440, Acadieville, E4Y 2M8 ",NB,Atlantic region
3.0,3.0,3200.0,.354,Residential,399900.0,96 Mathilde street ,NB,Atlantic region
,,1556.0,,Residential,399000.0,207 Morris Rd ,NB,Atlantic region
,,1152.0,,Residential,349900.0,"24 Cedar Ridge Rd, Blackville, E9B 0C7 ",NB,Atlantic region
4.0,2.0,1440.0,0.19,Residential,219900.0,346 Radio Street ,NB,Atlantic region
,,,,Residential,259900.0,"5114 Route 108 Municipality:\tMillerton, E1V 7K5 ",NB,Atlantic region
2.0,1.0,191.0,5.16,Other,199500.0,Glebe Road ,NB,Atlantic region
3.0,2.0,1600.0,1.98,Residential,1150000.0,110 Paradox Point Rd ,NB,Atlantic region
5.0,1.0,1515.0,.198,Residential,95000.0,107 Kerr St ,NB,Atlantic region
3.0,1.0,1400.0,1.71,Residential,282000.0,4395 Route 127 ,NB,Atlantic region
3.0,1.0,2002.0,g>29,Residential,599000.0,"6183 Route 15, Woodside, NB ",NB,Atlantic region
2.0,1.0,1425.0,11.6,Residential,265000.0,4764 Route 127 ,NB,Atlantic region
4.0,3.0,2028.0,>0.3,Residential,499000.0,22 Charlotte Street ,NB,Atlantic region
3.0,1.0,3000.0,0.31,Residential,799000.0,268 Parr Street ,NB,Atlantic region
4.0,2.0,,.153,Residential,499900.0,255 Mataya Street ,NB,Atlantic region
4.0,2.0,3600.0,>1.7,Residential,1295000.0,12 O'Neill Farm Rd ,NB,Atlantic region
1.0,1.0,600.0,,Residential,149000.0,31 Gowan Road ,NB,Atlantic region
3.0,3.0,1460.0,,Single,200000.0,7 Hospital Lane ,NB,Atlantic region
5.0,1.0,1257.0,0.99,Single,55000.0,1779 Route 205 ,NB,Atlantic region
3.0,1.0,,>0.5,Single,169900.0,268 Lakeside Rd ,NB,Atlantic region
2.0,3.0,1514.0,,Single,169900.0,101 Connolly ST ,NB,Atlantic region
5.0,2.0,1008.0,,Single,269900.0,208 Summer AVE ,NB,Atlantic region
2.0,1.0,,.247,Single,114900.0,8 Wright Road ,NB,Atlantic region
4.0,1.0,1500.0,.014,Single,350000.0,64 Neck Road ,NB,Atlantic region
,,400.0,,Single,94900.0,Lot & Camp Route 126 ,NB,Atlantic region
4.0,1.0,,,Single,94900.0,237 Drurys Cove Road ,NB,Atlantic region
3.0,2.0,,>3.9,Single,249900.0,5357 Route 108 ,NB,Atlantic region
