Beds,Bath,Sqft,Lot_Size,Type,Price,Address,Province,Region
4.0,4.0,3600.0,,Residential,1150000.0,20 WEST POINT Road ,NL,Atlantic region
1.0,1.0,1788.0,,Residential,304900.0,2 Silver Birch Crescent ,NL,Atlantic region
4.0,4.0,1731.0,,Residential,159000.0,192 Pleasant Street ,NL,Atlantic region
4.0,3.0,2862.0,,Residential,219000.0,2 Church Street ,NL,Atlantic region
4.0,3.0,2410.0,,Residential,339000.0,16 Zircon Place ,NL,Atlantic region
3.0,2.0,2438.0,>0.7,Residential,359900.0,6 Crockers Cove Road ,NL,Atlantic region
3.0,2.0,2000.0,,Residential,259900.0,16 Gambier Street ,NL,Atlantic region
5.0,3.0,3400.0,,Residential,899000.0,5 MAYPARK Place ,NL,Atlantic region
3.0,3.0,2400.0,,Residential,309900.0,11 Portland Place ,NL,Atlantic region
3.0,1.0,2400.0,,Residential,289000.0,641 Topsail Road ,NL,Atlantic region
3.0,1.0,1300.0,,Residential,175000.0,40 SCOTT Street ,NL,Atlantic region
3.0,3.0,2496.0,,Residential,269000.0,8 Burkes Lane ,NL,Atlantic region
4.0,4.0,3150.0,,Residential,379900.0,20 Glasgow Place ,NL,Atlantic region
7.0,2.0,2048.0,,Residential,289900.0,246 ST THOMAS Line ,NL,Atlantic region
5.0,2.0,2400.0,,Residential,279900.0,91 Ferryland Street West ,NL,Atlantic region
5.0,2.0,2180.0,,Single,244900.0,71 Jordan Place ,NL,Atlantic region
3.0,1.0,1000.0,,Residential,159900.0,20 Mercers Cove Rd ,NL,Atlantic region
3.0,2.0,1472.0,,Single,212000.0,22 Argyle Street ,NL,Atlantic region
5.0,4.0,2600.0,,Single,425000.0,7 BLUE JAY Place ,NL,Atlantic region
2.0,2.0,2058.0,,Single,334900.0,29 Shriners Road ,NL,Atlantic region
3.0,3.0,1754.0,,Single,389900.0,45 Yellow Wood Drive ,NL,Atlantic region
3.0,4.0,1930.0,,Single,369900.0,76 Freshwater Road ,NL,Atlantic region
5.0,3.0,2200.0,,Single,299000.0,5 Jubilee Court ,NL,Atlantic region
