Beds,Bath,Sqft,Lot_Size,Type,Price,Address,Province,Region
4.0,2.0,1445.0,,Residential,159900 CAD,210 4th AVENUE ,SK,Prairie Provinces
1.0,1.0,632.0,.198,Residential,29000 CAD,220 2nd STREET E ,SK,Prairie Provinces
2.0,1.0,1096.0,.132,Residential,49000 CAD,120 2nd STREET E ,SK,Prairie Provinces
4.0,1.0,936.0,.172,Residential,194000 CAD,1702 1st AVENUE ,SK,Prairie Provinces
3.0,1.0,976.0,.143,Residential,109900 CAD,2006 2nd AVENUE ,SK,Prairie Provinces
2.0,1.0,972.0,,Residential,55000 CAD,313 Main STREET ,SK,Prairie Provinces
5.0,2.0,976.0,9.99,Residential,196000 CAD,RM of Hearts Hill 9.99 Acres ,SK,Prairie Provinces
4.0,2.0,1210.0,,Residential,198000 CAD,9 Carlton STREET ,SK,Prairie Provinces
3.0,3.0,1206.0,.138,Residential,179900 CAD,81 3rd STREET NE ,SK,Prairie Provinces
2.0,1.0,960.0,,Residential,59000 CAD,4701 Telegraph STREET ,SK,Prairie Provinces
1.0,1.0,689.0,.122,Residential,35900 CAD,705 2nd STREET W ,SK,Prairie Provinces
3.0,2.0,1031.0,.186,Residential,169000 CAD,1020 Granville AVENUE ,SK,Prairie Provinces
1.0,2.0,1196.0,.072,Residential,139900 CAD,1020 Rae STREET ,SK,Prairie Provinces
3.0,2.0,1872.0,.207,Residential,168900 CAD,313 Main STREET ,SK,Prairie Provinces
3.0,2.0,904.0,.138,Residential,129000 CAD,116 Second STREET W ,SK,Prairie Provinces
3.0,1.0,1255.0,.138,Residential,85500 CAD,118 Second STREET W ,SK,Prairie Provinces
2.0,2.0,822.0,.143,Residential,80000 CAD,1004 4th STREET ,SK,Prairie Provinces
2.0,3.0,1216.0,0.33,Residential,189000 CAD,304 Grand AVENUE ,SK,Prairie Provinces
2.0,1.0,943.0,.132,Residential,119000 CAD,220 5th AVENUE E ,SK,Prairie Provinces
4.0,2.0,1050.0,,Residential,160000 CAD,61 Creelman STREET ,SK,Prairie Provinces
1.0,1.0,600.0,,Residential,99000 CAD,213 Main STREET ,SK,Prairie Provinces
5.0,2.0,1275.0,.203,Residential,162500 CAD,300 First STREET ,SK,Prairie Provinces
3.0,1.0,1254.0,.101,Residential,194900 CAD,855 Argyle STREET ,SK,Prairie Provinces
3.0,3.0,1382.0,.173,Residential,165900 CAD,244 Westview DRIVE ,SK,Prairie Provinces
3.0,2.0,805.0,.138,Residential,145000 CAD,210 Pacific AVENUE ,SK,Prairie Provinces
3.0,2.0,984.0,.207,Residential,38000 CAD,416 3rd STREET ,SK,Prairie Provinces
5.0,3.0,1380.0,.229,Residential,198000 CAD,5010 Times STREET ,SK,Prairie Provinces
1.0,1.0,759.0,7.49,Residential,109000 CAD,Dafoe Acreage ,SK,Prairie Provinces
4.0,2.0,816.0,.198,Residential,125000 CAD,4902 Herald STREET ,SK,Prairie Provinces
2.0,1.0,715.0,.185,Residential,179900 CAD,218 Dominion ROAD ,SK,Prairie Provinces
4.0,2.0,1240.0,.252,Residential,124900 CAD,4607 Press AVENUE ,SK,Prairie Provinces
3.0,2.0,1944.0,.138,Residential,199000 CAD,219 2nd STREET E ,SK,Prairie Provinces
4.0,2.0,864.0,.138,Residential,179900 CAD,210 2nd STREET W ,SK,Prairie Provinces
4.0,2.0,1150.0,,Residential,89900 CAD,409 Mann AVENUE ,SK,Prairie Provinces
3.0,1.0,936.0,0.21,Residential,169000 CAD,7 3rd AVENUE ,SK,Prairie Provinces
4.0,1.0,1024.0,0.13,Residential,89500 CAD,21-22 Leicester STREET ,SK,Prairie Provinces
2.0,1.0,616.0,.143,Residential,89900 CAD,1867 Wallace STREET ,SK,Prairie Provinces
3.0,1.0,1158.0,0.23,Residential,57000 CAD,606 Morley STREET ,SK,Prairie Provinces
3.0,2.0,924.0,.072,Residential,199900 CAD,401 Ottawa STREET ,SK,Prairie Provinces
3.0,1.0,1000.0,.108,Residential,109900 CAD,1000 Cameron STREET ,SK,Prairie Provinces
4.0,2.0,951.0,.101,Residential,174000 CAD,219 7th AVENUE W ,SK,Prairie Provinces
3.0,1.0,912.0,.132,Residential,64000 CAD,4706 Empire STREET ,SK,Prairie Provinces
4.0,2.0,1031.0,.115,Residential,189900 CAD,935 Elphinstone STREET ,SK,Prairie Provinces
2.0,1.0,1040.0,.197,Residential,85000 CAD,718 Railway AVENUE ,SK,Prairie Provinces
3.0,2.0,1110.0,.161,Residential,90000 CAD,437 4th AVENUE E ,SK,Prairie Provinces
3.0,3.0,1176.0,0.25,Residential,122000 CAD,607 Dion AVENUE ,SK,Prairie Provinces
4.0,2.0,918.0,,Residential,135000 CAD,4704 Post STREET ,SK,Prairie Provinces
5.0,3.0,1132.0,>0.2,Residential,155000 CAD,808 Donald STREET ,SK,Prairie Provinces
3.0,1.0,941.0,.125,Residential,143900 CAD,350 7th AVENUE SE ,SK,Prairie Provinces
