Beds,Bath,Sqft,Lot_Size,Type,Price,Address
3,1,1008,.155,Residential,255555 CAD,2805 4TH AVENUE N 
4,3,1179,,Residential,333900 CAD,201 Cedar PLACE 
3,2,1199,,Residential,318000 CAD,204 Willow CRESCENT 
4,3,1226,0.63,Residential,324900 CAD,222 1st AVENUE SW 
4,2,1262,,Residential,339900 CAD,Duncan Road Acreage - Rm of Prince Albert 
3,3,1184,0.12,Residential,384900 CAD,5835 Keffner BAY 
5,2,1034,.137,Residential,299000 CAD,124 Riddell CRESCENT 
3,1,1544,,Residential,219000 CAD,101 Metcalfe STREET 
5,3,1500,>5.6,Residential,384500 CAD,501 Main STREET 
3,1,928,7.12,Residential,256000 CAD,RM of Reford No. 379-57.12 acres 
2,1,751,.072,Residential,219900 CAD,2322 Argyle STREET 
4,2,1085,.085,Residential,299900 CAD,66 Sherman ROAD 
3,2,1201,,Residential,389900 CAD,317 Haichert STREET 
3,2,1160,,Residential,214900 CAD,715 Hart Road 
2,1,858,.072,Residential,209900 CAD,701 Athol STREET 
4,1,1640,,Residential,219900 CAD,3005 3rd AVENUE 
2,2,1105,.299,Residential,339000 CAD,1 Country CRESCENT 
4,2,1128,.143,Residential,329900 CAD,210 McCarthy BOULEVARD N 
5,2,960,.141,Residential,359900 CAD,247 Davies ROAD 
5,3,1258,,Residential,359900 CAD,223 10th STREET 
3,2,1004,.143,Residential,349900 CAD,4105 Regina AVENUE 
5,4,2961,0.29,Residential,254000 CAD,309 Strange STREET 
3,3,1921,0.43,Residential,238000 CAD,102 Hill AVENUE 
5,2,1552,0.28,Residential,344000 CAD,1132 Gordon STREET 
3,2,798,.072,Residential,232000 CAD,2664 Wallace STREET 
5,3,1677,.264,Residential,219900 CAD,219 Third STREET E 
3,2,1480,.097,Residential,369900 CAD,940 Stonebridge Common 
4,4,1888,0.06,Residential,265000 CAD,11KM East 
2,1,720,.115,Residential,270000 CAD,904 7th STREET E 
4,2,1256,12.3,Residential,295000 CAD,RM of Hillsdale-12.3 acre acreage 
4,2,950,.106,Residential,319800 CAD,214 Boychuk DRIVE 
3,2,1419,1.63,Farm,395000 CAD,Stanley Farm 
2,2,630,,Residential,299900 CAD,1301 13th STREET E 
3,2,804,.144,Residential,259900 CAD,641 McCarthy BOULEVARD 
6,2,1123,0.15,Residential,320900 CAD,1528 Uhrich AVENUE 
2,1,1119,0.11,Residential,339900 CAD,1 Spruce AVENUE 
4,3,1518,,Residential,295000 CAD,740 HUDSON CRESCENT 
5,4,1809,,Residential,314900 CAD,730 14th STREET 
3,3,1336,.198,Residential,235000 CAD,5014 Telegraph STREET 
5,3,1490,,Residential,315000 CAD,301 Henry STREET 
3,2,1585,.292,Residential,365000 CAD,101 Rye STREET 
4,2,1362,g>10,Residential,339900 CAD,# Duncan ROAD 
3,2,2064,g>46,Residential,328000 CAD,SHAW ACREAGE 
3,2,1174,.135,Residential,279900 CAD,256 Ottawa STREET N 
3,1,1460,.185,Residential,219900 CAD,1841 Grant DRIVE 
3,2,1016,.152,Residential,379900 CAD,907 5th AVENUE N 
3,2,1232,,Residential,249900 CAD,305 Walter Scott AVENUE 
3,2,995,0.14,Residential,274900 CAD,223 Coldwell ROAD 
3,2,1793,.128,Residential,374900 CAD,3709 NORMANDY AVENUE 
3,1,950,.143,Residential,229900 CAD,175 Lorne STREET N 
3,3,1044,.047,Residential,339900 CAD,4613 Primrose Green DRIVE E 
5,2,1000,.115,Residential,309900 CAD,2131 Wascana STREET 
4,2,960,,Residential,309900 CAD,1046 Carleton STREET 
4,2,966,,Residential,254900 CAD,616 H AVENUE S 
5,3,1100,,Residential,369900 CAD,535 Costigan ROAD 
4,3,1250,,Residential,379900 CAD,48 Campbell PLACE 
4,2,1120,,Residential,374900 CAD,73 Neilson CRESCENT 
5,3,1922,.151,Residential,344900 CAD,210 Heise CRESCENT 
4,3,1141,0.14,Single,239900 CAD,4803 47 Street 
3,1,988,,Residential,219900 CAD,1117 Monk AVENUE 
3,2,1045,.072,Residential,220000 CAD,2034 Queen STREET 
4,2,1050,,Residential,332900 CAD,433 3rd AVENUE NW 
3,2,1082,.139,Residential,309900 CAD,96 Yarnton CRESCENT 
3,1,1028,0.14,Residential,274900 CAD,120 Coldwell ROAD 
3,2,882,.158,Residential,264900 CAD,26 FORSYTH CRESCENT 
5,2,1056,,Residential,248900 CAD,437 W AVENUE S 
4,3,1296,0.15,Residential,237900 CAD,99 Redwood DRIVE 
4,2,960,.149,Residential,269900 CAD,1301 N AVENUE S 
4,2,938,.101,Residential,317900 CAD,1202 Blackwood STREET N 
3,2,1343,.144,Residential,349000 CAD,4240 Argyle STREET 
3,1,1047,.075,Residential,279900 CAD,2501 Edward STREET 
3,1,900,>0.1,Residential,269900 CAD,207 Adelaide STREET E 
2,2,764,.112,Residential,217500 CAD,1502 Lacon STREET 
3,2,742,,Residential,274900 CAD,628 3rd AVENUE N 
4,2,1150,.092,Residential,220000 CAD,221 Dufferin STREET E 
3,2,1440,>0.1,Residential,369900 CAD,205 Ash STREET 
4,3,1058,0.13,Residential,383000 CAD,443 KONIHOWSKI ROAD 
3,2,853,,Residential,279900 CAD,3517 33rd STREET W 
3,3,1395,.107,Residential,349900 CAD,2807 Victoria AVENUE 
5,3,1472,.182,Residential,399900 CAD,401 Spruce DRIVE 
5,3,1494,0.11,Residential,334900 CAD,98 Matheson CRESCENT 
5,3,1215,,Residential,399900 CAD,469 Brooklyn CRESCENT 
3,2,1000,.154,Residential,244000 CAD,112 MCCAUL CRESCENT 
5,2,1008,0.16,Residential,249900 CAD,313 Q AVENUE S 
5,2,1288,.396,Residential,350000 CAD,123 1st AVENUE 
3,1,1209,,Residential,297500 CAD,"322 Lakeside Crescent, Coteau Beach "
5,2,1040,,Residential,220000 CAD,372 Wellington Park ROAD 
4,2,960,0.22,Residential,315000 CAD,615 8th Avenue W 
5,3,1040,.121,Residential,209900 CAD,629 McCarthy BOULEVARD 
2,1,1000,0.23,Residential,260000 CAD,Lot 64 Suffern Lake Regional Park 
5,2,936,.123,Residential,349900 CAD,2521 Hanover AVENUE 
3,2,1320,.093,Residential,289900 CAD,1076 Alder AVENUE 
2,2,1244,,Residential,269900 CAD,302 Mountain AVENUE W 
5,3,1380,.165,Residential,249000 CAD,116 Jubilee BAY 
6,3,1403,.177,Residential,222500 CAD,516 Macmillan STREET 
3,2,2064,.179,Residential,287000 CAD,608 1st STREET E 
3,2,864,.126,Residential,214900 CAD,19 Wellington DRIVE 
3,2,860,0.13,Residential,209000 CAD,910 3rd STREET W 
5,2,1080,.115,Residential,324900 CAD,520 1st STREET E 
3,2,1137,.138,Residential,249900 CAD,219 Charles Street 
3,2,1360,0.07,Residential,334000 CAD,38 Brigham ROAD 
3,2,1800,.517,Residential,345000 CAD,26 Bradwell STREET 
2,1,1008,.092,Residential,219000 CAD,1511 7th AVENUE 
2,1,1005,,Residential,289900 CAD,7 Snake Trail ROAD 
4,3,1063,.118,Residential,309000 CAD,277 CANNON STREET 
5,3,1372,.206,Residential,229900 CAD,341 1st STREET 
4,1,1184,.207,Residential,228395 CAD,106 Wetmore STREET 
5,3,1344,,Residential,319900 CAD,725 Adamson CRESCENT 
4,3,1376,,Residential,229000 CAD,125 2nd AVENUE 
3,4,1982,5.25,Residential,345000 CAD,STEWART ACREAGE 
4,2,1596,5.83,Residential,329000 CAD,Wadena Acreage 
3,2,1280,.138,Residential,239900 CAD,1412 95th STREET 
3,2,1365,,Residential,347000 CAD,135 Coteau STREET 
5,3,1342,,Residential,359000 CAD,13 Scott BAY 
3,1,918,.125,Residential,299900 CAD,108A 111th STREET W 
4,2,1001,,Residential,275000 CAD,308 111th STREET 
3,2,1590,,Residential,205000 CAD,14 2nd STREET E 
3,2,1333,,Residential,354900 CAD,1221 6th AVENUE N 
3,2,990,,Residential,219900 CAD,407 Albert STREET 
3,2,1074,.126,Residential,264900 CAD,1310 Vaughan STREET 
2,1,975,.149,Residential,220000 CAD,168 5th AVENUE SE 
,,1376,.151,Residential,239000 CAD,805 Potter PLACE 
3,3,1222,,Residential,329900 CAD,534 Denham WAY 
2,1,843,.101,Residential,220000 CAD,1022 K AVENUE N 
6,2,1728,.098,Residential,262900 CAD,1165 Alder AVENUE 
4,3,2020,.234,Residential,319000 CAD,409 Caskey DRIVE 
4,2,1150,9.71,Farm,399000 CAD,Southey Farm 
6,3,1566,.275,Residential,254900 CAD,404 First STREET NW 
5,3,1580,,Residential,249700 CAD,"222 1st Street W, Kyle "
3,3,1344,1.09,Residential,385500 CAD,"Pippin Street, Pike Lake "
3,3,1197,.143,Residential,400000 CAD,3861 Athol STREET 
4,2,988,.145,Residential,229900 CAD,532 19th STREET W 
3,2,1060,,Residential,238500 CAD,418 5th STREET 
5,3,1800,.344,Residential,289000 CAD,241 Alberta AVENUE 
3,2,1500,5.27,Residential,295000 CAD,LAWRENCE ACREAGE 
3,2,1080,0.19,Residential,299000 CAD,6 Blue Heron Place 
4,3,1272,,Residential,244000 CAD,918 16th STREET 
5,1,1250,g>10,Residential,375000 CAD,Watson Acreage 
3,1,1066,g>10,Residential,339900 CAD,Peters Acreage 
6,3,1080,,Residential,339900 CAD,208 Reddekopp LANE 
5,1,850,.106,Residential,279900 CAD,5721 2nd AVENUE N 
3,1,1260,0.22,Residential,359000 CAD,13 White Birch CRESCENT 
3,2,1000,0.18,Residential,229900 CAD,505 24th STREET W 
3,2,1086,.083,Residential,349900 CAD,240 2nd STREET E 
4,3,1114,.183,Residential,309900 CAD,108 Guenther Crescent 
2,1,898,,Residential,289800 CAD,1135 7th STREET E 
3,2,1280,>0.3,Residential,219900 CAD,530 Railway STREET 
4,3,1200,,Residential,339900 CAD,847 3rd STREET E 
3,2,817,.163,Residential,273900 CAD,2996 15th AVENUE E 
4,3,1170,,Residential,219900 CAD,23 Wexford STREET 
3,2,1187,0.15,Residential,379900 CAD,369 Waterloo CRESCENT 
4,2,1432,g>10,Residential,279900 CAD,Weirdale Acreage 
6,4,3000,.458,Residential,339500 CAD,805 9th STREET 
