Beds,Bath,Sqft,Lot_Size,Type,Price,Address
4,2,1445,,Residential,159900 CAD,210 4th AVENUE 
1,1,632,.198,Residential,29000 CAD,220 2nd STREET E 
2,1,1096,.132,Residential,49000 CAD,120 2nd STREET E 
4,1,936,.172,Residential,194000 CAD,1702 1st AVENUE 
3,1,976,.143,Residential,109900 CAD,2006 2nd AVENUE 
2,1,972,,Residential,55000 CAD,313 Main STREET 
5,2,976,9.99,Residential,196000 CAD,RM of Hearts Hill 9.99 Acres 
4,2,1210,,Residential,198000 CAD,9 Carlton STREET 
3,3,1206,.138,Residential,179900 CAD,81 3rd STREET NE 
2,1,960,,Residential,59000 CAD,4701 Telegraph STREET 
1,1,689,.122,Residential,35900 CAD,705 2nd STREET W 
3,2,1031,.186,Residential,169000 CAD,1020 Granville AVENUE 
1,2,1196,.072,Residential,139900 CAD,1020 Rae STREET 
3,2,1872,.207,Residential,168900 CAD,313 Main STREET 
3,2,904,.138,Residential,129000 CAD,116 Second STREET W 
3,1,1255,.138,Residential,85500 CAD,118 Second STREET W 
2,2,822,.143,Residential,80000 CAD,1004 4th STREET 
2,3,1216,0.33,Residential,189000 CAD,304 Grand AVENUE 
2,1,943,.132,Residential,119000 CAD,220 5th AVENUE E 
4,2,1050,,Residential,160000 CAD,61 Creelman STREET 
1,1,600,,Residential,99000 CAD,213 Main STREET 
5,2,1275,.203,Residential,162500 CAD,300 First STREET 
3,1,1254,.101,Residential,194900 CAD,855 Argyle STREET 
3,3,1382,.173,Residential,165900 CAD,244 Westview DRIVE 
3,2,805,.138,Residential,145000 CAD,210 Pacific AVENUE 
3,2,984,.207,Residential,38000 CAD,416 3rd STREET 
5,3,1380,.229,Residential,198000 CAD,5010 Times STREET 
1,1,759,7.49,Residential,109000 CAD,Dafoe Acreage 
4,2,816,.198,Residential,125000 CAD,4902 Herald STREET 
2,1,715,.185,Residential,179900 CAD,218 Dominion ROAD 
4,2,1240,.252,Residential,124900 CAD,4607 Press AVENUE 
3,2,1944,.138,Residential,199000 CAD,219 2nd STREET E 
4,2,864,.138,Residential,179900 CAD,210 2nd STREET W 
4,2,1150,,Residential,89900 CAD,409 Mann AVENUE 
3,1,936,0.21,Residential,169000 CAD,7 3rd AVENUE 
4,1,1024,0.13,Residential,89500 CAD,21-22 Leicester STREET 
2,1,616,.143,Residential,89900 CAD,1867 Wallace STREET 
3,1,1158,0.23,Residential,57000 CAD,606 Morley STREET 
3,2,924,.072,Residential,199900 CAD,401 Ottawa STREET 
3,1,1000,.108,Residential,109900 CAD,1000 Cameron STREET 
4,2,951,.101,Residential,174000 CAD,219 7th AVENUE W 
3,1,912,.132,Residential,64000 CAD,4706 Empire STREET 
4,2,1031,.115,Residential,189900 CAD,935 Elphinstone STREET 
2,1,1040,.197,Residential,85000 CAD,718 Railway AVENUE 
3,2,1110,.161,Residential,90000 CAD,437 4th AVENUE E 
3,3,1176,0.25,Residential,122000 CAD,607 Dion AVENUE 
4,2,918,,Residential,135000 CAD,4704 Post STREET 
5,3,1132,>0.2,Residential,155000 CAD,808 Donald STREET 
3,1,941,.125,Residential,143900 CAD,350 7th AVENUE SE 
2,1,672,.217,Residential,142000 CAD,11 8th STREET NE 
3,2,650,.115,Residential,165000 CAD,1061 109th STREET 
4,2,1179,0.14,Residential,119900 CAD,219 2nd AVENUE E 
2,1,760,0.21,Residential,154000 CAD,73 Franklin AVENUE 
3,1,964,.138,Residential,112900 CAD,1662 102nd STREET 
3,2,934,.072,Residential,129000 CAD,1142 Retallack STREET 
1,1,696,,Residential,89000 CAD,1014 Railway AVENUE 
4,3,1345,>0.2,Residential,183000 CAD,517 5th STREET NE 
2,2,926,,Residential,185000 CAD,323 Main STREET 
3,2,832,,Residential,168800 CAD,108 McBurney DRIVE 
5,2,800,.157,Residential,189000 CAD,1145 Winnie STREET E 
2,1,774,.132,Residential,75000 CAD,436 7th AVENUE NW 
2,1,895,.161,Residential,95000 CAD,368 3rd AVENUE E 
4,1,1064,.138,Residential,155000 CAD,310 2nd AVENUE SE 
3,2,1164,.109,Residential,179900 CAD,244 9th STREET E 
1,1,604,0.14,Residential,59900 CAD,836 Fairford STREET E 
3,1,864,0.14,Residential,165000 CAD,1025 10th AVENUE E 
3,1,1250,,Residential,60000 CAD,216 Royal AVENUE 
3,1,904,,Residential,87500 CAD,207 3rd AVENUE W 
1,1,601,.132,Residential,129000 CAD,40 8th AVENUE NE 
2,1,661,.102,Residential,99000 CAD,441 Pasqua STREET 
1,2,1200,.871,Residential,129000 CAD,13 Prairie AVENUE 
3,2,1062,.187,Residential,199000 CAD,120 Wells PLACE W 
3,2,1090,.165,Residential,75000 CAD,678 3rd STREET W 
3,1,1272,.138,Residential,59000 CAD,402 2nd STREET E 
4,2,1040,.138,Residential,119900 CAD,225 1st STREET NW 
3,1,1152,0.11,Residential,75000 CAD,573 Centre STREET 
4,2,752,.116,Residential,149900 CAD,527 9th STREET E 
3,2,884,.161,Residential,84900 CAD,204 4th STREET W 
2,1,568,,Residential,129900 CAD,329 P AVENUE S 
4,2,1058,.161,Residential,154900 CAD,365 2nd AVENUE W 
3,3,1190,.387,Residential,189000 CAD,909 Elsinore STREET 
2,1,615,,Residential,75000 CAD,128 Victoria AVENUE 
3,1,768,.138,Residential,74000 CAD,404 Russell STREET 
2,1,946,.269,Residential,95000 CAD,400 Broad STREET 
2,1,1024,.207,Residential,88000 CAD,534 Redcoat DRIVE 
3,2,989,.215,Residential,125000 CAD,321 3rd AVENUE N 
2,2,845,.143,Residential,179900 CAD,241 Athabasca STREET W 
2,1,640,0.15,Residential,101900 CAD,623 7th AVENUE W 
2,1,1040,.107,Residential,92900 CAD,411 Railway Avenue 
3,2,1188,,Residential,154000 CAD,94 Hall STREET 
3,1,810,.103,Residential,169900 CAD,1015 Idylwyld DRIVE N 
3,1,1350,.072,Residential,184900 CAD,2227 Rae STREET 
3,,1047,.287,Residential,35000 CAD,203 Railway AVENUE 
3,1,918,.115,Residential,119900 CAD,915 King STREET 
2,1,908,.161,Residential,62500 CAD,367 8th AVENUE W 
4,2,905,,Residential,179900 CAD,25 21st STREET E 
1,1,788,,Residential,84500 CAD,"318 Franklin Street, Outlook "
2,1,744,.138,Residential,49999 CAD,214 Prince STREET 
2,1,792,,Residential,137900 CAD,317 2nd AVENUE E 
2,1,863,.117,Residential,179900 CAD,1064 Princess STREET 
3,2,885,,Residential,169900 CAD,1076 7th STREET E 
4,2,874,.115,Residential,87000 CAD,413 3rd STREET W 
,,,g>10,Residential,85000 CAD,RM 494 Canwood - 10 acres 
3,1,1132,.161,Residential,89900 CAD,405 Cypress STREET 
1,1,850,.287,Residential,79900 CAD,108 1st AVENUE E 
