Beds,Bath,Sqft,Price,Address,Province,Region
3.0,1.0,1630.0,225000.0,1368 Forties Rd. ,NS,Atlantic region
2.0,1.0,944.0,174500.0,111 Lakeshore Dr. ,NS,Atlantic region
4.0,2.0,4000.0,599000.0,1734 HWY 1 ,NS,Atlantic region
5.0,2.0,2721.0,690000.0,2591 Clarence Road ,NS,Atlantic region
15.0,6.0,6630.0,495000.0,4616 Highway 1 Weymouth ,NS,Atlantic region
5.0,3.0,3000.0,1295000.0,1218 Lake Pleasant Rd ,NS,Atlantic region
4.0,2.0,3800.0,849000.0,58 Pipers Lane ,NS,Atlantic region
5.0,5.0,2700.0,499950.0,372 ST George St ,NS,Atlantic region
5.0,4.0,4554.0,1379500.0,Lot CL21 75 Cairnstone Lane ,NS,Atlantic region
4.0,4.0,3060.0,349900.0,79 Glenmore Road ,NS,Atlantic region
4.0,1.0,1929.0,449900.0,8 & 12 MERRYS Road ,NS,Atlantic region
3.0,2.0,1709.0,250000.0,18 Cole Drive ,NS,Atlantic region
4.0,3.0,2636.0,299900.0,122 Thornhill Drive ,NS,Atlantic region
3.0,2.0,1408.0,249900.0,12 Ridgecrest Drive ,NS,Atlantic region
4.0,4.0,2082.0,439900.0,Lot 112A Sam Crescent ,NS,Atlantic region
4.0,3.0,1938.0,199000.0,193 Shore Road ,NS,Atlantic region
3.0,3.0,1699.0,349900.0,29 Orcadian Court ,NS,Atlantic region
5.0,3.0,2857.0,499900.0,21 Winston Drive ,NS,Atlantic region
4.0,3.0,2053.0,599900.0,119 Midnight Run ,NS,Atlantic region
4.0,4.0,2888.0,659900.0,111 Waxwing Lane ,NS,Atlantic region
4.0,4.0,2430.0,449900.0,65 Pearl Drive ,NS,Atlantic region
5.0,2.0,1600.0,139000.0,16 HEMLOCK Drive ,NS,Atlantic region
2.0,1.0,1162.0,99000.0,5902 West Dalhousie Road ,NS,Atlantic region
3.0,1.0,1046.0,250000.0,622 Bennetts Bay Road ,NS,Atlantic region
4.0,2.0,2166.0,349900.0,29 MARLBORO Drive ,NS,Atlantic region
8.0,5.0,6200.0,975000.0,610 Main Street ,NS,Atlantic region
4.0,3.0,1843.0,419900.0,60 Talon Drive ,NS,Atlantic region
2.0,2.0,743.0,536000.0,907 1650 Granville Street ,NS,Atlantic region
3.0,2.0,1720.0,299900.0,16 Spruce Drive ,NS,Atlantic region
5.0,4.0,3284.0,549000.0,782 Heckmans Island Road ,NS,Atlantic region
3.0,2.0,1350.0,149900.0,47 Cottage Street ,NS,Atlantic region
5.0,2.0,2268.0,399900.0,2 Serocco Crescent ,NS,Atlantic region
2.0,1.0,1441.0,1200000.0,87 Giles Drive ,NS,Atlantic region
4.0,4.0,2545.0,645000.0,65 Herring Cove Road ,NS,Atlantic region
3.0,1.0,1562.0,159900.0,2241 North Wallace Road ,NS,Atlantic region
5.0,2.0,2231.0,389900.0,133 White Hills Run ,NS,Atlantic region
1.0,2.0,1330.0,399000.0,5 Jaycor Court ,NS,Atlantic region
3.0,2.0,1192.0,224900.0,177 Flying Cloud Drive ,NS,Atlantic region
2.0,1.0,770.0,79900.0,7 Autumn Street ,NS,Atlantic region
3.0,1.0,1300.0,210000.0,41 Rand Street ,NS,Atlantic region
3.0,1.0,952.0,169900.0,34 Campbell Avenue ,NS,Atlantic region
3.0,1.0,1120.0,849000.0,2899 Cornwall Road ,NS,Atlantic region
3.0,1.0,1895.0,265000.0,55 Christies Road ,NS,Atlantic region
4.0,4.0,2720.0,719900.0,83 Tilbury Avenue ,NS,Atlantic region
3.0,2.0,2005.0,196000.0,84 Official Row ,NS,Atlantic region
3.0,2.0,440.0,349900.0,116 Halewood Drive ,NS,Atlantic region
3.0,2.0,1268.0,250000.0,21 Hillcrest Avenue ,NS,Atlantic region
2.0,1.0,952.0,239900.0,308 Highway 2 ,NS,Atlantic region
2.0,1.0,1106.0,69000.0,148 New Road ,NS,Atlantic region
3.0,3.0,1675.0,299900.0,701 Windemere Road ,NS,Atlantic region
2.0,1.0,1112.0,139900.0,465 MAIN Street ,NS,Atlantic region
4.0,4.0,2396.0,755000.0,116 Elizabeth Doane Drive ,NS,Atlantic region
4.0,4.0,2488.0,659900.0,123 Capstone Crescent ,NS,Atlantic region
3.0,1.0,1416.0,59900.0,54 Chapel Street ,NS,Atlantic region
3.0,1.0,1404.0,299900.0,53 Elm Street ,NS,Atlantic region
3.0,4.0,2077.0,674900.0,Lot 157 24 Chardonnay Court ,NS,Atlantic region
3.0,4.0,1688.0,389900.0,2B Rockhaven Drive ,NS,Atlantic region
3.0,3.0,2413.0,520000.0,17 Highland Avenue ,NS,Atlantic region
4.0,4.0,2239.0,699900.0,Lot 94 68 Tuscany Run ,NS,Atlantic region
4.0,3.0,2815.0,574900.0,15 Liscomb Court ,NS,Atlantic region
4.0,1.0,1259.0,59900.0,36 Pierce Street ,NS,Atlantic region
3.0,2.0,2280.0,425000.0,64 Robert Street ,NS,Atlantic region
2.0,1.0,613.0,275000.0,4065 MEDWAY RIVER Road ,NS,Atlantic region
5.0,2.0,2235.0,349000.0,137 Highway 12 ,NS,Atlantic region
3.0,2.0,2228.0,399000.0,424 County Line Road ,NS,Atlantic region
4.0,2.0,1980.0,299900.0,87 Brookview Drive ,NS,Atlantic region
4.0,2.0,1820.0,359900.0,103 Brentwood Avenue ,NS,Atlantic region
3.0,1.0,2159.0,224500.0,1448 Caledonia Marydale Road|Caledonia ,NS,Atlantic region
4.0,2.0,1400.0,289000.0,24 Rannoch Road ,NS,Atlantic region
3.0,1.0,1298.0,389900.0,67 Hazelhurst Street ,NS,Atlantic region
3.0,2.0,1650.0,525000.0,1041 Ridge Road ,NS,Atlantic region
